Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589662041994, 585299, 9216, -1440, 3168
1589662041996, 585310, 8800, 5520, 6160
1589662042005, 585322, 3584, 10224, 9184
1589662042021, 585334, -288, 11984, 13904
1589662042029, 585346, -2640, 13024, 19584
1589662042045, 585358, -2608, 13376, 20720
1589662042074, 585370, -2384, 12272, 16848
1589662042076, 585382, 3424, 10784, 12032
1589662042079, 585394, 6752, 8688, 7440
1589662042090, 585406, 8176, 4896, 2672
1589662042101, 585418, 8720, -832, -6080
1589662042114, 585430, 6880, -7232, -11216
1589662042125, 585442, 6864, -11824, -10352
1589662042141, 585454, 11776, -12160, -6192
1589662042149, 585466, 10992, -8336, -1120
1589662042165, 585478, 9120, -1040, 3360
1589662042191, 585490, 7584, 4288, 4992
1589662042194, 585502, 7216, 8576, 6256
1589662042199, 585514, 1680, 11040, 10736
1589662042209, 585526, -2336, 13648, 19200
1589662042225, 585538, -3504, 14448, 22976
1589662042234, 585550, -1424, 12992, 18464
1589662042245, 585562, -688, 10848, 13632
1589662042261, 585574, 6016, 8992, 8704
1589662042269, 585586, 8016, 6432, 3216
1589662042285, 585598, 8544, 32, -6304
1589662042310, 585610, 7968, -9600, -16240
1589662042315, 585622, 7936, -14560, -17632
1589662042317, 585634, 13824, -13312, -12016
1589662042330, 585646, 13824, -6576, -4688
1589662042341, 585658, 11712, 4528, 2080
1589662042354, 585670, 7504, 13872, 6000
1589662042365, 585682, 3248, 17840, 8496
1589662042381, 585694, 2640, 17120, 11968
1589662042389, 585706, -2432, 14320, 18560
1589662042405, 585718, -4096, 14160, 22880
1589662042430, 585730, -2672, 12784, 17808
1589662042432, 585742, 1664, 11104, 13408
1589662042437, 585755, 2736, 8624, 7824
1589662042449, 585766, 8048, 7440, 3264
1589662042465, 585778, 7840, 4192, -1280
1589662042474, 585790, 8864, -1776, -6880
1589662042501, 585802, 10336, -7040, -10944
1589662042504, 585814, 10640, -11968, -12480
1589662042509, 585826, 12432, -10496, -9264
1589662042541, 585838, 11072, -2928, -3456
1589662042553, 585850, 8928, 6656, 2240
1589662042555, 585862, 5872, 12736, 5216
1589662042559, 585874, 5376, 14016, 6864
1589662042570, 585886, 2208, 13056, 9248
1589662042581, 585898, -176, 11120, 14464
1589662042597, 585910, -3008, 10352, 20144
1589662042605, 585922, -3248, 11520, 21440
1589662042621, 585934, -1008, 11408, 17392
1589662042629, 585946, -352, 10496, 11360
1589662042674, 585958, 5648, 10448, 8096
1589662042693, 585970, 6672, 9776, 4672
1589662042695, 585982, 7360, 4720, -1008
1589662042697, 585994, 8272, -1984, -6304
1589662042700, 586006, 8720, -9984, -12176
1589662042703, 586019, 11664, -11120, -10656
1589662042714, 586030, 11168, -7168, -7136
1589662042725, 586042, 8960, -1360, -2784
1589662042741, 586054, 8112, 4800, 1360
1589662042749, 586066, 7680, 10064, 3680
1589662042781, 586078, 3968, 12448, 6864
1589662042784, 586090, 2000, 11952, 11120
1589662042786, 586102, -992, 10512, 16832
1589662042797, 586114, -3168, 10848, 22192
1589662042823, 586126, -3344, 11232, 21120
1589662042838, 586138, 192, 10544, 15376
1589662042840, 586150, 3968, 9840, 10384
1589662042855, 586162, 7040, 9264, 6528
1589662042858, 586174, 7488, 6416, 1248
1589662042869, 586186, 7424, 1600, -4960
1589662042897, 586198, 7504, -7376, -11440
1589662042901, 586210, 11248, -12432, -12304
1589662042905, 586222, 12960, -10016, -9056
1589662042923, 586234, 11296, -3392, -3520
1589662042929, 586246, 9968, 4016, 1632
1589662042945, 586258, 9376, 10816, 4112
1589662042955, 586270, 3552, 14240, 7808
1589662042966, 586282, 192, 14192, 10480
1589662042977, 586294, -3216, 12784, 14576
1589662042989, 586306, -4608, 12624, 18656
1589662043020, 586318, -4496, 13200, 20032
1589662043023, 586330, 1264, 13088, 16624
1589662043025, 586342, 3760, 11296, 10256
1589662043043, 586354, 5872, 8304, 4800
1589662043049, 586366, 7888, 2976, -512
1589662043063, 586378, 7920, -2720, -7280
1589662043074, 586390, 12864, -9968, -14000
1589662043085, 586402, 15872, -12000, -15904
1589662043101, 586414, 13520, -4160, -4832
1589662043109, 586426, 8928, 5168, 2864
1589662043141, 586438, 5936, 11536, 5232
1589662043165, 586450, 5168, 15520, 6672
1589662043168, 586462, 384, 15680, 9056
1589662043170, 586474, -976, 12960, 11344
1589662043173, 586487, -2128, 9952, 15120
1589662043181, 586498, -2800, 8704, 18704
1589662043197, 586510, -2848, 8416, 19248
1589662043205, 586522, 144, 8528, 14880
1589662043221, 586534, 2416, 9088, 9680
1589662043229, 586546, 5072, 9536, 6912
1589662043259, 586558, 6528, 9248, 4000
1589662043261, 586570, 6624, 5680, -64
1589662043276, 586582, 8528, -1984, -7440
1589662043279, 586594, 10336, -9952, -13760
1589662043294, 586606, 12592, -8992, -9904
1589662043301, 586618, 11632, -2816, -6064
1589662043317, 586630, 8624, 2608, -2736
1589662043325, 586642, 8416, 10304, 1600
1589662043341, 586654, 4096, 13424, 4656
1589662043349, 586666, 2272, 13168, 7472
1589662043375, 586678, 1264, 11296, 10736
1589662043377, 586690, 144, 9424, 12992
1589662043385, 586702, -304, 8496, 16640
1589662043401, 586714, -2576, 8720, 17952
1589662043409, 586726, -816, 9664, 15728
1589662043425, 586738, 1632, 10192, 11824
1589662043434, 586750, 2560, 9872, 8944
1589662043445, 586762, 2784, 8944, 6032
1589662043461, 586774, 5808, 6816, 1760
1589662043489, 586786, 8832, 1968, -5040
1589662043491, 586798, 10304, -5824, -11552
1589662043494, 586811, 11792, -8704, -12144
1589662043505, 586822, 12464, -5536, -9152
1589662043521, 586834, 12208, 2336, 2592
1589662043529, 586846, 5952, 8640, 8864
1589662043545, 586858, 1616, 11328, 10384
1589662043554, 586870, -1856, 12384, 16592
1589662043566, 586882, -5136, 12704, 21168
1589662043578, 586894, -5392, 12528, 21200
1589662043608, 586906, -1872, 11536, 16032
1589662043610, 586918, 2624, 9472, 10096
1589662043614, 586930, 6480, 8320, 7264
1589662043625, 586942, 8016, 7392, 5056
1589662043641, 586954, 8176, 3072, -2880
1589662043649, 586966, 8432, -5120, -13024
1589662043665, 586978, 8560, -10512, -13200
1589662043674, 586990, 12112, -7856, -6688
1589662043685, 587002, 11936, -2944, 1936
1589662043701, 587014, 11296, 2560, 5536
1589662043726, 587026, 4064, 7264, 7600
1589662043729, 587038, 2496, 8992, 7888
1589662043734, 587051, 1312, 9632, 12048
1589662043745, 587062, -112, 9680, 18880
1589662043781, 587074, -560, 9840, 21824
1589662043784, 587086, -704, 10320, 20784
1589662043786, 587098, 2000, 10304, 16224
1589662043794, 587111, 4960, 8608, 9472
1589662043805, 587122, 6352, 5040, 1280
1589662043821, 587134, 8256, 1648, -7920
1589662043846, 587146, 8128, -5936, -18640
1589662043849, 587158, 11488, -7760, -20448
1589662043854, 587171, 13840, -4848, -12320
1589662043865, 587182, 13760, 3840, 4096
1589662043880, 587194, 11136, 7600, 9424
1589662043889, 587206, 10352, 9968, 9296
1589662043905, 587218, 2336, 11984, 12208
1589662043914, 587230, -432, 10880, 15056
1589662043925, 587242, -1456, 8672, 17600
1589662043955, 587254, -960, 7600, 18320
1589662043980, 587266, -784, 6384, 15584
1589662043982, 587278, 3680, 5392, 10544
1589662043985, 587290, 5840, 4048, 5520
1589662043988, 587302, 7248, 2784, 2880
1589662043999, 587314, 7648, 2032, 2032
1589662044010, 587326, 7616, 1184, 1232
1589662044021, 587338, 6528, -304, 272
1589662044038, 587350, 6576, -1760, 256
1589662044045, 587362, 6944, -2032, 1568
1589662044074, 587374, 6864, -1600, 3216
1589662044088, 587386, 6704, -1328, 3984
1589662044090, 587398, 5984, -368, 5184
1589662044094, 587410, 5568, 608, 5184
1589662044119, 587422, 5152, 1136, 5392
1589662044121, 587434, 4880, 1712, 6528
1589662044136, 587446, 5312, 2064, 6720
1589662044143, 587458, 5296, 1936, 8432
1589662044154, 587470, 4560, 2304, 9344
1589662044165, 587482, 3760, 2528, 8704
