Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589661788265, 331582, -4048, -208, 8128
1589661788283, 331594, -3840, -112, 8208
1589661788290, 331607, -3696, -112, 8224
1589661788302, 331618, -3744, -240, 8000
1589661788338, 331630, -3904, -144, 9168
1589661788340, 331642, -4096, 272, 7984
1589661788343, 331654, -3600, 176, 7664
1589661788350, 331666, -3872, 224, 7856
1589661788362, 331678, -4032, 304, 7616
1589661788389, 331690, -3968, 240, 7296
1589661788392, 331702, -3872, 368, 7200
1589661788434, 331714, -3760, 32, 6784
1589661788458, 331726, -3424, -48, 6448
1589661788460, 331738, -3344, -176, 6288
1589661788463, 331750, -3232, -208, 5936
1589661788465, 331762, -3136, -192, 5600
1589661788468, 331774, -3024, 0, 5232
1589661788472, 331786, -2992, 96, 5072
1589661788483, 331798, -2656, -32, 4880
1589661788494, 331810, -2800, -80, 5264
1589661788507, 331822, -2736, -128, 5248
1589661788518, 331834, -2592, -80, 4944
1589661788534, 331846, -2064, -48, 4400
1589661788542, 331858, -1824, 32, 4048
1589661788577, 331870, -1664, 96, 3632
1589661788579, 331882, -1392, 240, 3152
1589661788582, 331894, -1312, 576, 2544
1589661788593, 331906, -336, 960, 1696
1589661788601, 331918, 288, 944, 688
1589661788618, 331930, 848, 864, 832
1589661788625, 331942, 1344, 816, 1232
1589661788642, 331954, 1728, 1008, 1776
1589661788650, 331966, 1824, 1136, 2016
1589661788661, 331978, 3360, 880, 1648
1589661788703, 331990, 3872, 1040, 1216
1589661788705, 332002, 4432, 1584, 768
1589661788708, 332014, 4848, 1648, 656
1589661788710, 332026, 4976, 1408, -160
1589661788722, 332038, 7184, 1136, -512
1589661788738, 332050, 8272, 896, -688
1589661788745, 332062, 10064, 624, -768
1589661788762, 332074, 10944, 592, 592
1589661788770, 332086, 11136, 1936, 1648
1589661788782, 332098, 12672, 3680, 2912
1589661788815, 332110, 14304, 3680, 4288
1589661788817, 332122, 15536, 2992, 6576
1589661788819, 332134, 15808, 2592, 9424
1589661788830, 332146, 15936, 2768, 10864
1589661788842, 332158, 17040, 2384, 9904
1589661788858, 332170, 17952, 2144, 8464
1589661788865, 332182, 19600, 1840, 8368
1589661788882, 332194, 20704, 1120, 8160
1589661788890, 332206, 21408, 1008, 8800
1589661788902, 332218, 21600, 832, 9328
1589661788929, 332230, 22480, 272, 9552
1589661788932, 332242, 22928, -336, 10720
1589661788938, 332255, 23184, -1488, 10768
1589661788954, 332266, 22816, -2192, 10384
1589661788962, 332278, 22720, -2336, 11184
1589661788978, 332290, 20192, -2336, 10992
1589661788985, 332302, 18992, -2080, 11216
1589661789002, 332314, 17584, -1984, 10320
1589661789010, 332326, 16496, -1936, 8688
1589661789022, 332338, 16288, -2096, 6960
1589661789060, 332350, 15728, -2576, 4016
1589661789077, 332362, 15056, -2656, 1392
1589661789079, 332374, 14240, -2816, 80
1589661789082, 332386, 14176, -2448, -496
1589661789084, 332398, 13744, -2208, -400
1589661789095, 332410, 13568, -2224, -1136
1589661789107, 332422, 12896, -2608, -1632
1589661789118, 332434, 12944, -2880, -1616
1589661789135, 332446, 12240, -2768, -320
1589661789141, 332458, 11488, -2736, 656
1589661789168, 332470, 11344, -2560, 1952
1589661789172, 332482, 10480, -1920, 4352
1589661789178, 332494, 9808, -1536, 5424
1589661789194, 332506, 9456, -1296, 5696
1589661789202, 332518, 9088, -816, 6304
1589661789238, 332530, 9136, -240, 6112
1589661789240, 332542, 7824, -96, 5120
1589661789243, 332554, 7520, -64, 4384
1589661789250, 332567, 7136, 256, 4672
1589661789262, 332578, 6848, 704, 5104
1589661789285, 332590, 6864, 624, 5184
1589661789288, 332602, 6704, 192, 4944
1589661789299, 332614, 6688, -320, 5296
1589661789310, 332626, 6944, -1120, 5760
1589661789322, 332638, 7056, -1456, 6544
1589661789337, 332650, 6960, -1808, 7280
1589661789360, 332663, 6928, -2240, 7280
1589661789375, 332674, 6960, -2560, 6976
1589661789378, 332686, 7104, -2384, 7776
1589661789407, 332698, 7280, -1920, 8624
1589661789423, 332710, 7888, -1712, 8576
1589661789428, 332722, 7984, -2240, 8176
1589661789430, 332734, 10224, -3056, 8096
1589661789433, 332746, 11952, -4112, 8128
1589661789454, 332758, 12960, -5456, 7984
1589661789457, 332770, 14208, -6016, 8560
1589661789465, 332782, 14592, -5968, 10096
1589661789482, 332794, 18096, -4512, 12448
1589661789490, 332806, 22000, -4176, 13168
1589661789520, 332818, 26496, -5792, 11984
1589661789524, 332830, 28352, -7392, 10912
1589661789527, 332842, 28848, -7872, 11088
1589661789538, 332854, 32624, -7408, 11792
1589661789556, 332866, 32640, -5536, 14896
1589661789562, 332878, 32640, -4000, 16784
1589661789574, 332890, 32640, -3968, 16080
1589661789587, 332902, 32640, -4336, 14944
1589661789598, 332914, 32640, -4272, 15424
1589661789614, 332926, 32640, -3104, 16864
1589661789640, 332938, 32640, -1216, 20656
1589661789643, 332950, 32640, -176, 23248
1589661789647, 332962, 32640, -448, 23472
1589661789658, 332974, 32640, 688, 23360
1589661789699, 332986, 32640, 2768, 24176
1589661789702, 332998, 32640, 2528, 26464
1589661789718, 333010, 32640, 3744, 30864
1589661789733, 333022, 32640, 4128, 28048
1589661789760, 333034, 32640, 5024, 14704
1589661789774, 333046, 32640, 2880, -11120
1589661789790, 333058, 32640, 256, -14256
1589661789792, 333070, 28032, 1712, 2880
1589661789794, 333082, 23056, 4480, 10720
1589661789797, 333094, 22160, 5056, 7984
1589661789799, 333106, 17184, 5248, 2304
1589661789802, 333119, 16608, 3552, -1632
1589661789818, 333130, 14976, 2464, -4064
1589661789825, 333142, 11472, 3360, -4880
1589661789845, 333154, 8448, 4160, -3888
1589661789850, 333166, 7600, 4832, -2480
1589661789874, 333178, 3520, 4432, -3040
1589661789877, 333190, 2704, 3728, -4848
1589661789887, 333202, 1632, 2832, -6784
1589661789898, 333214, 688, 2016, -6624
1589661789915, 333226, 400, 1008, -5840
1589661789922, 333238, -2016, 560, -6048
1589661789938, 333250, -3632, 1216, -5504
1589661789948, 333262, -5056, 2576, -5600
1589661789960, 333274, -6288, 3408, -6976
1589661789970, 333286, -6448, 2768, -6848
1589661789994, 333298, -6848, 2096, -5376
1589661789997, 333310, -6800, 1328, -4720
1589661790005, 333322, -6944, 1024, -3840
1589661790023, 333334, -7152, 944, -2992
1589661790030, 333346, -7184, 1136, -2736
1589661790042, 333358, -7632, 1392, -2928
1589661790057, 333370, -7568, 1152, -2704
1589661790065, 333382, -7520, 928, -2080
1589661790082, 333394, -7552, 896, -1408
1589661790109, 333406, -7680, 704, -1344
1589661790112, 333418, -7728, 752, -784
1589661790114, 333430, -7904, 768, -688
1589661790125, 333442, -7904, 1152, -1168
1589661790142, 333454, -8112, 1888, -1648
1589661790150, 333466, -8096, 1872, -1936
1589661790161, 333478, -8096, 1520, -1264
1589661790175, 333490, -7808, 1312, -688
1589661790187, 333502, -7392, 1088, -768
1589661790198, 333514, -7056, 1104, -528
1589661790229, 333526, -6640, 1104, -176
1589661790232, 333538, -6448, 784, -336
1589661790234, 333550, -5072, 640, -512
1589661790245, 333562, -4144, 688, -800
1589661790261, 333574, -3280, 784, -1216
1589661790270, 333586, -2656, 768, -1568
1589661790281, 333598, -2544, 784, -1168
1589661790298, 333610, -1744, 864, -1120
1589661790305, 333622, -1376, 832, -1184
1589661790340, 333634, -944, 720, -896
1589661790367, 333646, -576, 624, -608
1589661790369, 333658, -112, 528, -656
1589661790371, 333670, -32, 464, -432
1589661790374, 333682, 944, 272, -288
1589661790380, 333694, 1232, 288, 128
1589661790392, 333706, 1264, 416, 416
1589661790403, 333718, 1648, 672, 1328
1589661790414, 333730, 1712, 1040, 2128
1589661790425, 333742, 2384, 1184, 2656
1589661790442, 333754, 3024, 1200, 3168
1589661790467, 333766, 3664, 1136, 3904
1589661790469, 333778, 3952, 672, 4464
1589661790474, 333790, 4112, -272, 4720
1589661790485, 333802, 7136, -1232, 5280
1589661790514, 333814, 9040, -1616, 7312
1589661790517, 333826, 10048, -1168, 9712
1589661790522, 333838, 10368, -208, 11680
1589661790538, 333850, 10384, 1264, 12496
1589661790545, 333862, 10880, 1952, 12272
1589661790562, 333874, 11872, 1680, 12368
1589661790585, 333886, 13584, 736, 11856
1589661790587, 333898, 16416, 256, 12608
1589661790595, 333910, 17360, 1040, 14128
1589661790605, 333922, 17392, 2576, 15904
