Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589430684360, 1169495, 6320, -4816, -160
1589430684392, 1169527, 6240, -4928, -176
1589430684425, 1169559, 6304, -4672, -304
1589430684457, 1169592, 6352, -4704, -208
1589430684489, 1169624, 6304, -4752, -288
1589430684522, 1169656, 6352, -4784, -320
1589430684554, 1169689, 6288, -4672, -208
1589430684586, 1169721, 6288, -4688, -272
1589430684619, 1169753, 6320, -4704, -320
1589430684651, 1169785, 6240, -4704, -320
1589430684683, 1169818, 6304, -4784, -224
1589430684715, 1169850, 6352, -4656, -240
1589430684747, 1169882, 6320, -4752, -256
1589430684779, 1169915, 6272, -4672, -320
1589430684812, 1169947, 6352, -4736, -208
1589430684844, 1169979, 6352, -4688, -288
1589430684877, 1170011, 6336, -4704, -384
1589430684909, 1170044, 6352, -4752, -208
1589430684942, 1170076, 6320, -4720, -432
1589430684974, 1170108, 6352, -4656, -160
1589430685006, 1170141, 6368, -4656, -416
1589430685039, 1170173, 6368, -4688, -448
1589430685071, 1170205, 6240, -4768, -192
1589430685102, 1170238, 6352, -4656, -256
1589430685135, 1170270, 6288, -4672, -240
1589430685167, 1170302, 6272, -4768, -336
1589430685199, 1170334, 6288, -4688, -272
1589430685232, 1170367, 6368, -4656, -272
1589430685265, 1170399, 6288, -4656, -336
1589430685297, 1170431, 6288, -4608, -432
1589430685328, 1170464, 6336, -4656, -256
1589430685361, 1170496, 6352, -4752, -208
1589430685393, 1170528, 6336, -4736, -288
1589430685426, 1170560, 6272, -4688, -320
1589430685458, 1170593, 6240, -4688, -288
1589430685491, 1170625, 6304, -4736, -304
1589430685523, 1170657, 6304, -4688, -320
1589430685555, 1170690, 6336, -4688, -352
1589430685587, 1170722, 6288, -4704, -208
1589430685619, 1170754, 6384, -4656, -288
1589430685651, 1170786, 6256, -4704, -288
1589430685684, 1170819, 6304, -4704, -240
1589430685717, 1170851, 6320, -4736, -256
1589430685749, 1170883, 6304, -4752, -288
1589430685781, 1170916, 6288, -4688, -240
1589430685814, 1170948, 6320, -4672, -256
1589430685845, 1170980, 6352, -4688, -256
1589430685877, 1171013, 6352, -4752, -272
1589430685910, 1171045, 6352, -4736, -240
1589430685942, 1171077, 6272, -4656, -288
1589430685974, 1171109, 6288, -4688, -256
1589430686007, 1171142, 6320, -4784, -240
1589430686039, 1171174, 6320, -4704, -336
1589430686072, 1171206, 6336, -4736, -224
1589430686104, 1171239, 6336, -4672, -192
1589430686136, 1171271, 6304, -4688, -352
1589430686169, 1171303, 6304, -4752, -288
1589430686201, 1171335, 6336, -4768, -256
1589430686232, 1171368, 6272, -4720, -192
1589430686265, 1171400, 6352, -4656, -288
1589430686297, 1171432, 6352, -4672, -336
1589430686330, 1171465, 6336, -4624, -240
1589430686362, 1171497, 6336, -4752, -304
1589430686394, 1171529, 6320, -4688, -144
1589430686427, 1171561, 6384, -4560, -448
1589430686459, 1171594, 6288, -4720, -368
1589430686492, 1171626, 6288, -4768, -144
1589430686524, 1171658, 6304, -4768, -208
1589430686556, 1171691, 6336, -4656, -368
1589430686588, 1171723, 6288, -4672, -288
