Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429803929, 289052, -2080, -2288, 7456
1589429803962, 289084, -1920, -2160, 7456
1589429803993, 289116, -1840, -2448, 7456
1589429804026, 289149, -1792, -2352, 7456
1589429804058, 289181, -1696, -2464, 7744
1589429804090, 289213, -1824, -2528, 7872
1589429804123, 289246, -1760, -2304, 7792
1589429804155, 289278, -1696, -2128, 7328
1589429804187, 289310, -1600, -2128, 7504
1589429804220, 289342, -1440, -2256, 7632
1589429804252, 289375, -1264, -2560, 7808
1589429804284, 289407, -1360, -2064, 7808
1589429804316, 289439, -912, -3136, 8032
1589429804347, 289471, -912, -3184, 8480
1589429804378, 289502, -560, -3456, 8928
1589429804409, 289533, -512, -2976, 9440
1589429804441, 289564, -944, -3040, 9312
1589429804473, 289596, -1376, -2944, 9520
1589429804505, 289628, -2016, -2448, 9440
1589429804538, 289660, -2608, -1984, 9424
1589429804570, 289692, -3088, -2368, 8800
1589429804602, 289725, -3632, -3072, 8272
1589429804634, 289757, -3648, -1632, 6656
1589429804665, 289789, -3968, -576, 5232
1589429804698, 289821, -3648, -1120, 5344
1589429804729, 289853, -4336, -272, 7104
1589429804760, 289884, -4304, 496, 5440
1589429804790, 289914, -4224, 624, 5616
1589429804820, 289944, -4320, 880, 6944
1589429804851, 289975, -4624, 1104, 7584
1589429804881, 290006, -4592, 832, 5968
1589429804912, 290036, -4496, 1520, 5312
1589429804944, 290067, -4560, 2144, 5536
1589429804975, 290099, -4592, 1776, 5648
1589429805006, 290130, -4896, 2080, 6848
1589429805038, 290161, -4608, 2832, 6464
1589429805069, 290192, -4144, 3968, 3504
1589429805100, 290224, -4080, 4560, 2912
1589429805131, 290255, -3760, 5264, 1776
1589429805162, 290286, -2688, 4512, 1328
1589429805193, 290317, -1712, 5088, 2496
1589429805224, 290349, -624, 5936, 2592
1589429805254, 290379, -144, 7040, 1872
1589429805283, 290409, 688, 7552, 1120
1589429805312, 290439, 1536, 8960, 304
1589429805344, 290469, 3072, 10656, -368
1589429805376, 290499, 5360, 11152, -2000
1589429805408, 290531, 6960, 11520, -3616
1589429805442, 290563, 8704, 10928, -11136
1589429805474, 290597, 9024, 8128, -13904
1589429805506, 290629, 9232, 5200, -16768
1589429805538, 290661, 9376, 7200, -19136
1589429805572, 290693, 11088, 1648, -12960
1589429805605, 290727, 16112, -5568, -4624
1589429805638, 290760, 19120, -14608, 2592
1589429805673, 290793, 17584, -10000, 11408
1589429805705, 290828, 18480, -848, 23232
1589429805738, 290860, 8032, 13920, 24304
1589429805768, 290892, 3392, 9488, 23552
1589429805799, 290924, 896, 1744, 18288
1589429805830, 290954, 1136, 1248, 13920
1589429805859, 290985, 752, 4464, 9120
1589429805888, 291015, -32, 5568, 6416
1589429805919, 291045, -720, 2864, 5008
1589429805949, 291075, -128, 1504, 6384
1589429805978, 291105, -768, 480, 7952
1589429806007, 291135, -688, 128, 7456
1589429806036, 291165, -400, 240, 7680
1589429806067, 291195, -1008, 432, 7744
1589429806095, 291225, -256, 416, 7200
1589429806125, 291255, -400, 240, 6944
1589429806154, 291285, -352, 528, 6816
1589429806183, 291315, -48, 1024, 6336
1589429806214, 291345, -1248, 1200, 6208
1589429806246, 291375, -1248, 2752, 7744
1589429806277, 291405, -1360, 1680, 8384
1589429806307, 291435, -1360, 400, 9056
1589429806339, 291465, -1488, 2048, 9968
1589429806369, 291495, -1520, 1648, 8880
