Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429680883, 166004, -3248, -7072, 1568
1589429680915, 166036, -3296, -6944, 1648
1589429680948, 166068, -3248, -7040, 1552
1589429680980, 166101, -3248, -7008, 1744
1589429681012, 166133, -3184, -7056, 1680
1589429681044, 166165, -3200, -7024, 1600
1589429681076, 166197, -3184, -6976, 1680
1589429681109, 166230, -3200, -7104, 1584
1589429681141, 166262, -3152, -6928, 1664
1589429681174, 166294, -3136, -6992, 1616
1589429681206, 166327, -3120, -6992, 1616
1589429681238, 166359, -3184, -6944, 1680
1589429681270, 166391, -3152, -6800, 1632
1589429681302, 166424, -3264, -6704, 1552
1589429681335, 166456, -3536, -6736, 1344
1589429681366, 166488, -3392, -6720, 912
1589429681398, 166519, -2848, -7152, 896
1589429681429, 166551, -1904, -8176, 1520
1589429681461, 166583, -416, -9536, 3248
1589429681491, 166614, 416, -9312, 4384
1589429681522, 166644, 896, -10480, 3872
1589429681553, 166676, -48, -13088, 4768
1589429681586, 166707, -640, -10224, 2944
1589429681618, 166739, -592, -6256, 1392
1589429681647, 166770, -368, -4128, 768
1589429681679, 166801, -448, -4896, 1088
1589429681709, 166832, -416, -4560, 912
1589429681741, 166862, -432, -2288, -352
1589429681773, 166893, -1840, -1248, -4256
1589429681806, 166927, -3520, -3152, -3888
1589429681840, 166960, -3600, -2752, -4384
1589429681873, 166993, -3520, -3856, -4016
1589429681907, 167027, -2752, -2528, -5152
1589429681940, 167060, -1536, -896, -7440
1589429681973, 167092, -1264, -368, -12256
1589429682006, 167126, -2736, -1120, -11440
1589429682040, 167160, -2624, -3008, -8192
1589429682074, 167193, -2528, -3808, -8512
1589429682106, 167227, -1616, -3696, -8496
1589429682140, 167260, -1568, -3648, -9088
1589429682173, 167293, -1984, -5872, -4512
1589429682206, 167327, -16, -12160, -9936
1589429682240, 167359, 2144, -15440, -9456
1589429682273, 167392, 6272, -11616, -12256
1589429682306, 167427, 8992, -8592, -17952
1589429682340, 167460, 6160, -4208, -23920
1589429682375, 167493, 4384, -10880, -13648
1589429682408, 167528, 6208, -10736, -9168
1589429682442, 167561, 8320, -11920, -14144
1589429682477, 167595, 14112, -13696, -18240
1589429682513, 167631, 28592, -18784, -28688
1589429682548, 167666, 32640, -25984, -21744
1589429682582, 167702, 32640, -15328, 4496
1589429682615, 167735, 32208, -15648, 7088
1589429682648, 167768, 22768, -7552, -144
1589429682680, 167801, 17744, -9152, 2144
1589429682714, 167833, 14672, -11824, 11552
1589429682746, 167867, 7936, -8848, 20448
1589429682779, 167900, 4848, -8272, 12400
1589429682810, 167932, 3328, -8064, 8496
1589429682841, 167963, 2144, -8320, 9552
1589429682872, 167994, 288, -7456, 11600
1589429682904, 168026, -416, -5440, 6512
1589429682936, 168057, -1616, -4368, 1952
1589429682968, 168089, -3072, -8192, 2976
1589429683000, 168121, -3520, -7216, 2848
1589429683032, 168154, -3136, -6944, 2720
1589429683065, 168186, -2288, -7856, 1600
1589429683097, 168218, -2032, -5904, 1504
1589429683128, 168251, -2032, -5088, 640
1589429683161, 168282, -2896, -5472, -528
1589429683193, 168314, -4416, -4608, -448
1589429683226, 168346, -5808, -3968, -1408
1589429683260, 168380, -7584, -5200, -1408
1589429683293, 168413, -7824, -5424, -1872
1589429683325, 168446, -7904, -6096, 384
1589429683357, 168478, -7456, -6336, 1056
