Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429846000, 331125, -2944, 6560, 2784
1589429846031, 331156, -2816, 6592, 2688
1589429846063, 331187, -2944, 6608, 3264
1589429846094, 331218, -2896, 6624, 3232
1589429846125, 331250, -2864, 6688, 3312
1589429846156, 331281, -2832, 6576, 3312
1589429846188, 331312, -2848, 6624, 3104
1589429846219, 331343, -2736, 6592, 2976
1589429846250, 331375, -2768, 6672, 2976
1589429846282, 331406, -2736, 6784, 2848
1589429846312, 331437, -2704, 6720, 2896
1589429846344, 331468, -2720, 6912, 3008
1589429846375, 331500, -2752, 6816, 3088
1589429846407, 331531, -2720, 6752, 3184
1589429846438, 331562, -2672, 6800, 3184
1589429846469, 331593, -2656, 6672, 3296
1589429846500, 331625, -2688, 6592, 3232
1589429846531, 331656, -2656, 6736, 2928
1589429846563, 331687, -2528, 6816, 2896
1589429846594, 331718, -2368, 7184, 3184
1589429846626, 331750, -2432, 7360, 3536
1589429846657, 331781, -2432, 7744, 3440
1589429846688, 331812, -2288, 7616, 3024
1589429846719, 331843, -2272, 7600, 2688
1589429846750, 331875, -2464, 7520, 2784
1589429846781, 331906, -2656, 7392, 2720
1589429846812, 331937, -2688, 7088, 2672
1589429846844, 331968, -2800, 6976, 2496
1589429846875, 332000, -3056, 7040, 2608
1589429846906, 332031, -3264, 6736, 2416
1589429846938, 332062, -3488, 6368, 2816
1589429846969, 332093, -3632, 6352, 2944
1589429847000, 332125, -3792, 5888, 2720
1589429847031, 332156, -3824, 5904, 2736
1589429847063, 332187, -3712, 5376, 2368
1589429847094, 332218, -3584, 5024, 1920
1589429847125, 332250, -3280, 4496, 1648
1589429847156, 332281, -3408, 4416, 1056
1589429847187, 332312, -3552, 5120, 400
1589429847217, 332342, -3440, 4800, 848
1589429847247, 332372, -3920, 5168, 752
1589429847278, 332403, -3920, 4496, 1200
1589429847310, 332434, -3952, 3488, 2992
1589429847341, 332465, -4336, 2928, 3296
1589429847372, 332496, -4704, 3328, 2656
1589429847403, 332528, -4528, 1888, 3152
1589429847434, 332559, -4784, 720, 3920
1589429847464, 332589, -5024, 480, 2064
1589429847494, 332619, -4240, 256, 2128
1589429847526, 332650, -4704, -1104, 4432
1589429847557, 332682, -5264, -736, 2432
1589429847588, 332713, -4720, 192, 3232
1589429847618, 332743, -5264, 992, 6624
1589429847649, 332774, -5168, 2144, 6944
1589429847681, 332805, -5648, 3680, 6192
1589429847711, 332836, -5328, 352, 5824
1589429847741, 332866, -5104, 816, 7984
1589429847772, 332896, -5792, 2176, 8176
1589429847803, 332928, -5248, 1344, 6352
1589429847833, 332959, -4848, 944, 7744
1589429847865, 332989, -4768, 2080, 7104
1589429847896, 333020, -4272, 1184, 8512
1589429847927, 333052, -4096, 2272, 5904
1589429847958, 333083, -3312, 2304, 5472
1589429847990, 333114, -2432, 3232, 7008
1589429848021, 333145, -2304, 3664, 8064
1589429848052, 333177, -1712, 2400, 6640
1589429848083, 333208, -864, 1120, 6496
1589429848112, 333238, -128, 1488, 7600
1589429848142, 333268, 832, 3360, 8048
1589429848172, 333298, 1296, 4528, 9552
1589429848203, 333328, 1744, 3776, 8480
1589429848232, 333358, 2096, 4000, 8304
1589429848263, 333388, 2352, 4176, 9072
1589429848293, 333418, 2544, 4272, 8352
1589429848323, 333449, 2768, 3552, 8384
1589429848353, 333479, 2784, 3360, 8416
1589429848383, 333509, 2720, 3520, 7776
1589429848414, 333539, 3040, 2304, 7872
1589429848444, 333569, 2992, 2208, 8416
1589429848474, 333600, 2768, 2416, 8064
1589429848504, 333630, 2832, 1456, 8384
1589429848534, 333660, 2816, 2064, 9152
1589429848565, 333690, 2320, 1824, 9216
1589429848595, 333720, 2960, 1152, 8128
1589429848626, 333751, 2256, 2224, 9216
1589429848655, 333781, 3648, 2032, 7552
1589429848685, 333811, 3760, 2464, 8144
1589429848716, 333841, 3712, 3184, 6944
1589429848746, 333871, 3728, 3040, 8064
1589429848776, 333902, 3728, 2992, 8320
1589429848807, 333932, 3968, 2672, 7472
1589429848837, 333962, 3536, 2736, 8448
1589429848867, 333992, 3792, 2144, 8000
1589429848897, 334022, 3536, 3360, 7840
1589429848927, 334053, 3616, 2768, 8368
1589429848958, 334083, 3536, 3488, 7904
1589429848988, 334113, 3568, 2928, 7776
1589429849018, 334143, 3456, 3424, 7696
1589429849049, 334174, 3328, 3632, 7680
1589429849078, 334204, 3184, 3696, 7984
1589429849109, 334234, 3200, 3200, 8176
1589429849139, 334264, 3072, 3136, 7152
1589429849169, 334294, 2672, 3312, 7696
1589429849199, 334325, 2608, 3696, 7184
1589429849229, 334355, 2448, 3248, 6960
1589429849260, 334385, 2112, 3712, 7168
1589429849290, 334415, 1984, 4400, 6720
1589429849320, 334445, 1824, 3792, 6736
1589429849350, 334476, 1552, 4144, 6816
1589429849380, 334506, 1200, 4416, 6912
1589429849411, 334536, 1120, 4544, 6416
1589429849440, 334566, 992, 4800, 6608
1589429849470, 334596, 1040, 4432, 6448
1589429849499, 334626, 816, 5072, 5872
1589429849529, 334656, 816, 4784, 5552
1589429849558, 334686, 624, 4624, 5520
1589429849585, 334716, 64, 5184, 5792
1589429849614, 334746, -32, 5168, 5648
1589429849645, 334776, -144, 5136, 5232
1589429849674, 334806, -96, 5392, 4240
1589429849704, 334836, -128, 5552, 3920
1589429849734, 334866, -224, 6336, 4512
1589429849765, 334896, -208, 5536, 3712
1589429849795, 334926, -256, 6752, 3248
1589429849825, 334956, -720, 5872, 4176
1589429849855, 334986, -944, 6096, 2832
1589429849887, 335016, -1072, 5600, 2944
1589429849918, 335046, -1792, 7392, 2832
1589429849949, 335076, -2288, 5648, 3280
1589429849980, 335106, -2576, 5312, 3472
1589429850011, 335136, -3120, 5792, 2624
1589429850043, 335167, -3360, 4784, 2832
1589429850074, 335199, -4016, 4544, 2944
1589429850106, 335230, -4224, 5392, 3552
1589429850136, 335261, -4640, 5424, 4080
1589429850168, 335292, -4672, 5008, 2944
1589429850199, 335324, -4656, 4560, 1888
1589429850229, 335355, -5040, 4688, 832
1589429850260, 335385, -5488, 3104, 896
1589429850289, 335415, -5648, 3088, 656
1589429850320, 335445, -5728, 3872, 720
1589429850351, 335476, -5968, 3104, 1360
1589429850381, 335507, -6176, 3200, 640
1589429850413, 335537, -6272, 3072, 1504
1589429850443, 335568, -6496, 3040, 576
1589429850474, 335599, -6608, 3312, 1168
1589429850506, 335630, -6720, 3280, 2224
1589429850536, 335661, -6624, 3136, 1472
1589429850568, 335692, -6720, 3200, 1888
