Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589430800795, 1285931, -1728, 4848, 5472
1589430800827, 1285963, -1584, 4720, 5712
1589430800860, 1285996, -1632, 4656, 5568
1589430800891, 1286028, -1600, 4960, 5648
1589430800923, 1286060, -1472, 4864, 5616
1589430800956, 1286092, -1376, 5120, 5664
1589430800988, 1286125, -1328, 5184, 5712
1589430801021, 1286157, -1184, 5248, 5744
1589430801053, 1286189, -1216, 5264, 5936
1589430801085, 1286222, -1168, 5424, 6016
1589430801118, 1286254, -1248, 5168, 5632
1589430801150, 1286286, -1248, 5264, 5888
1589430801183, 1286318, -1392, 5072, 5616
1589430801215, 1286351, -1440, 5248, 5856
1589430801246, 1286383, -1408, 4896, 5600
1589430801279, 1286415, -1360, 5056, 5920
1589430801311, 1286448, -1280, 5024, 5760
1589430801343, 1286480, -1312, 5056, 5776
1589430801376, 1286512, -1344, 5040, 5552
1589430801408, 1286545, -1248, 5024, 5568
1589430801441, 1286577, -1056, 4976, 5600
1589430801472, 1286609, -928, 5104, 5648
1589430801503, 1286640, -544, 5264, 5760
1589430801535, 1286672, -144, 5456, 5904
1589430801565, 1286703, 160, 5584, 5984
1589430801595, 1286733, 608, 5600, 5920
1589430801624, 1286763, 992, 5888, 5728
1589430801656, 1286793, 1328, 6144, 5920
1589430801687, 1286825, 1424, 6352, 6224
1589430801718, 1286856, 1088, 6288, 5712
1589430801749, 1286887, 784, 6800, 4832
1589430801779, 1286917, 704, 5984, 4688
1589430801808, 1286948, 48, 5536, 5520
1589430801839, 1286978, -176, 4688, 5488
1589430801871, 1287008, -448, 3568, 4752
1589430801902, 1287039, -560, 3696, 4688
1589430801934, 1287071, -816, 5264, 5872
1589430801965, 1287102, -800, 4432, 5872
1589430801996, 1287133, -1184, 4432, 6112
1589430802029, 1287165, -1408, 4448, 6832
1589430802061, 1287198, -3392, 2960, 7616
1589430802094, 1287230, -5584, -2000, 4784
1589430802128, 1287263, -8064, -4976, 4128
1589430802161, 1287297, -9200, -5424, 4784
1589430802195, 1287330, -9632, -4864, 6288
1589430802228, 1287363, -9024, -4448, 4384
1589430802261, 1287397, -7888, -3632, 2240
1589430802295, 1287430, -7296, -3920, 4800
1589430802328, 1287463, -6208, -2928, 5312
1589430802361, 1287497, -5120, -3248, 4912
1589430802394, 1287530, -4272, -1648, 5536
1589430802426, 1287563, -2912, 144, 5472
1589430802459, 1287595, -2304, -1552, 3680
1589430802486, 1287628, 0, 256, 4944
1589430802516, 1287658, 768, 3488, 7008
1589430802548, 1287688, 1248, 1232, 6416
1589430802579, 1287718, 4000, 3536, 9184
1589430802611, 1287748, 4240, 6288, 7600
1589430802642, 1287779, 6736, 5472, 8208
1589430802674, 1287810, 6368, 4144, 12624
1589430802706, 1287842, 5680, 3872, 11072
1589430802737, 1287875, 5952, 5056, 9200
1589430802769, 1287906, 5936, 3824, 8672
1589430802799, 1287937, 5264, 3424, 8032
1589430802831, 1287968, 5024, 3056, 5888
1589430802862, 1288000, 4992, 3056, 6160
1589430802893, 1288031, 5680, 3536, 8000
1589430802925, 1288062, 5120, 1872, 7104
1589430802956, 1288093, 5056, 1920, 6080
1589430802986, 1288125, 5168, 928, 7328
1589430803016, 1288155, 5056, 656, 7888
1589430803046, 1288185, 5376, 560, 6784
1589430803077, 1288215, 4784, 832, 6768
1589430803108, 1288246, 3680, -192, 7024
1589430803139, 1288277, 832, -2512, 8208
1589430803172, 1288308, -736, -5152, 6928
1589430803206, 1288340, -2144, -7328, 10400
1589430803241, 1288375, -1744, -5072, 10816
1589430803273, 1288409, -608, -2368, 9488
1589430803303, 1288441, 80, -2256, 8672
1589430803334, 1288472, 416, -1360, 9312
1589430803364, 1288503, 752, -624, 7696
1589430803394, 1288533, 992, -560, 8080
1589430803427, 1288563, 1232, -1072, 8192
1589430803459, 1288596, 1152, -1024, 7680
1589430803490, 1288628, 1216, -832, 8336
1589430803522, 1288659, 1360, -736, 7632
1589430803553, 1288690, 1312, -528, 8016
1589430803584, 1288722, 1456, -960, 8416
1589430803617, 1288753, 1488, -1072, 7072
1589430803649, 1288785, 1280, -1056, 7792
