Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589430876542, 1361679, -5776, 4176, 3248
1589430876574, 1361711, -5632, 3984, 3184
1589430876606, 1361743, -5648, 4208, 3232
1589430876638, 1361776, -5728, 4176, 3152
1589430876670, 1361808, -5696, 4368, 3216
1589430876702, 1361840, -5648, 4064, 3328
1589430876735, 1361872, -5680, 4176, 3344
1589430876767, 1361905, -5600, 4144, 3328
1589430876800, 1361937, -5584, 4080, 3456
1589430876832, 1361969, -5552, 4192, 3488
1589430876864, 1362002, -5616, 4224, 3408
1589430876897, 1362034, -5664, 4368, 3376
1589430876929, 1362066, -5744, 4320, 3312
1589430876962, 1362098, -5776, 4112, 3280
1589430876993, 1362131, -5856, 3984, 3200
1589430877025, 1362163, -6032, 3776, 3312
1589430877058, 1362195, -6384, 3376, 2832
1589430877090, 1362228, -6704, 3136, 2464
1589430877122, 1362260, -6848, 2944, 2672
1589430877155, 1362292, -6784, 3088, 3152
1589430877187, 1362325, -6704, 3440, 3296
1589430877220, 1362357, -6672, 3536, 3360
1589430877252, 1362389, -6608, 3376, 3472
1589430877284, 1362421, -6432, 3072, 3328
1589430877317, 1362454, -6240, 3248, 3344
1589430877349, 1362486, -6000, 3312, 3552
1589430877380, 1362518, -5760, 3488, 3632
1589430877413, 1362551, -5552, 3856, 3232
1589430877445, 1362583, -5248, 3680, 3088
1589430877478, 1362615, -4752, 3408, 3136
1589430877510, 1362647, -4160, 3040, 3344
1589430877543, 1362680, -3616, 3920, 3392
1589430877575, 1362712, -3568, 5552, 3376
1589430877607, 1362744, -3520, 5120, 2944
1589430877639, 1362777, -3488, 4560, 3088
1589430877672, 1362809, -3392, 5664, 2960
1589430877704, 1362841, -3472, 5600, 3296
1589430877736, 1362873, -3360, 4880, 3776
1589430877768, 1362906, -3360, 5248, 4064
1589430877800, 1362938, -2992, 4768, 2960
1589430877833, 1362970, -2480, 5632, 3984
1589430877865, 1363003, -2544, 5536, 4864
1589430877897, 1363035, -2048, 4928, 4384
1589430877930, 1363067, -1728, 5392, 4176
1589430877962, 1363100, -1376, 5952, 4864
1589430877995, 1363132, -1360, 5264, 5008
1589430878026, 1363164, -784, 5712, 4528
1589430878057, 1363195, -752, 5840, 4960
1589430878089, 1363227, -640, 4176, 4944
1589430878118, 1363258, 256, 6192, 5776
1589430878148, 1363288, 400, 6928, 6160
1589430878180, 1363318, 1296, 6736, 7136
1589430878211, 1363350, 1152, 7184, 8336
1589430878242, 1363381, 1168, 5568, 6624
1589430878273, 1363412, 1040, 5648, 6640
1589430878304, 1363443, 544, 4880, 6112
1589430878334, 1363473, -32, 3920, 5392
1589430878364, 1363504, -80, 3504, 5952
1589430878396, 1363534, -128, 4272, 6816
1589430878427, 1363565, -608, 3520, 7968
1589430878458, 1363596, -640, 2208, 9760
1589430878491, 1363628, -1056, 2640, 10528
1589430878523, 1363661, -1776, 2192, 9184
1589430878556, 1363693, -1824, 1568, 7872
1589430878588, 1363726, -2288, 1376, 7168
1589430878620, 1363758, -2592, 1200, 6544
1589430878652, 1363790, -2928, 240, 6336
1589430878684, 1363821, -3120, -848, 6816
1589430878717, 1363854, -3728, -1216, 5440
1589430878750, 1363887, -3840, -2320, 5280
1589430878784, 1363920, -4032, -2032, 5360
1589430878818, 1363954, -4032, -2832, 4400
1589430878851, 1363987, -4000, -3568, 5168
1589430878884, 1364020, -3888, -4144, 4832
1589430878917, 1364054, -3760, -4064, 4752
1589430878950, 1364087, -3488, -3232, 5248
1589430878984, 1364120, -3008, -3984, 5232
1589430879017, 1364154, -2784, -4848, 6960
1589430879050, 1364187, -2400, -5584, 7984
1589430879084, 1364220, -1872, -5568, 7536
1589430879116, 1364254, -688, -5568, 8032
1589430879148, 1364286, 192, -4608, 9264
1589430879179, 1364317, 800, -3040, 9376
1589430879211, 1364348, 1088, -2432, 7920
1589430879244, 1364381, 1664, -2928, 6960
1589430879276, 1364413, 2832, -2304, 7328
1589430879307, 1364445, 3136, -1568, 9872
1589430879340, 1364478, 3184, -2736, 8112
1589430879372, 1364510, 3808, -2064, 8800
1589430879406, 1364542, 3776, -1472, 10496
1589430879439, 1364576, 3728, -2352, 10352
1589430879471, 1364609, 3536, -3040, 7664
1589430879504, 1364641, 3888, -1840, 7424
1589430879536, 1364673, 3904, -1456, 7616
1589430879569, 1364706, 3600, -1904, 7328
1589430879601, 1364738, 3200, -1920, 8000
1589430879633, 1364770, 2816, -3024, 6464
1589430879665, 1364803, 2320, -2944, 7072
1589430879697, 1364835, 2080, -2512, 6704
