Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589430896005, 1381143, 5024, -6064, 752
1589430896036, 1381174, 4960, -6000, 800
1589430896067, 1381206, 4960, -6080, 976
1589430896099, 1381237, 4976, -6032, 1104
1589430896130, 1381269, 4944, -6128, 896
1589430896161, 1381301, 4944, -6032, 800
1589430896193, 1381332, 4992, -6224, 688
1589430896224, 1381363, 4912, -6064, 880
1589430896256, 1381394, 4960, -6128, 896
1589430896287, 1381426, 4896, -6032, 736
1589430896318, 1381457, 4944, -6128, 720
1589430896350, 1381488, 4880, -5968, 768
1589430896381, 1381519, 4896, -6048, 432
1589430896412, 1381551, 4800, -6288, 656
1589430896445, 1381582, 4976, -6096, 1088
1589430896476, 1381614, 5248, -6512, 1248
1589430896507, 1381646, 5680, -7600, 864
1589430896540, 1381678, 6080, -7680, 1232
1589430896572, 1381710, 7024, -9376, 2480
1589430896604, 1381742, 6880, -9024, 5504
1589430896637, 1381774, 6640, -9280, 5600
1589430896669, 1381807, 7104, -8768, 6080
1589430896702, 1381839, 5904, -4608, 4720
1589430896734, 1381871, 4640, -1536, 2032
1589430896763, 1381904, 2944, 896, -80
1589430896796, 1381934, 2272, 2096, -1904
1589430896828, 1381965, 2384, 3904, -4064
1589430896859, 1381997, 2464, 4096, -6704
1589430896891, 1382030, 5792, 96, -10656
1589430896926, 1382061, 11808, -7312, -10080
1589430896962, 1382096, 16624, -10480, -3024
1589430896997, 1382132, 19184, -11376, 13120
1589430897032, 1382167, 12464, -9040, 25312
1589430897065, 1382202, 7392, -8336, 15168
1589430897097, 1382235, 8016, -4944, 6384
1589430897129, 1382267, 7760, -640, 2288
1589430897160, 1382298, 5712, 3088, 2256
1589430897191, 1382330, 4080, 6048, -112
1589430897223, 1382361, 3024, 7248, -4288
1589430897255, 1382393, 2960, 5760, -8576
1589430897289, 1382426, 6080, 3008, -13872
1589430897324, 1382459, 13168, -3952, -16448
1589430897359, 1382494, 21168, -17312, -320
1589430897394, 1382529, 19024, -14336, 17712
1589430897429, 1382564, 11504, -7776, 22224
1589430897463, 1382598, 12528, -13072, 9920
1589430897497, 1382633, 14320, -8688, 2416
1589430897530, 1382666, 14480, -1184, -496
1589430897560, 1382699, 9792, 4400, 384
1589430897591, 1382730, 5376, 6944, 2688
1589430897622, 1382761, 2352, 6960, 3056
1589430897653, 1382792, 1376, 7200, 1840
1589430897686, 1382823, 3056, 6080, -3536
1589430897719, 1382856, 5648, 1408, -11280
1589430897753, 1382889, 8592, -3312, -16208
1589430897790, 1382923, 13696, -11024, -19360
1589430897824, 1382960, 22480, -16400, -480
1589430897859, 1382994, 22352, -5696, 21616
1589430897892, 1383029, 9088, -6720, 15408
1589430897926, 1383062, 9760, -16976, 6768
1589430897959, 1383095, 12560, -13936, 6480
1589430897993, 1383130, 14672, -5952, 2016
1589430898022, 1383163, 13040, 816, 80
1589430898053, 1383193, 9904, 4368, 1664
1589430898085, 1383223, 5936, 6240, 4144
1589430898116, 1383255, 3168, 8432, 4032
1589430898148, 1383286, 3056, 8864, -272
1589430898180, 1383317, 4176, 7984, -6368
1589430898213, 1383349, 6944, 3664, -11488
1589430898248, 1383383, 14560, -8992, -14992
1589430898283, 1383418, 14992, -23504, -1120
1589430898317, 1383454, 6736, -23824, 3888
1589430898351, 1383487, 4800, -14304, 1840
1589430898384, 1383520, 6720, -7728, -2144
1589430898416, 1383554, 6912, -7296, -240
1589430898447, 1383586, 6928, -4688, 352
1589430898480, 1383617, 5248, -1088, -944
