Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429735770, 220893, 592, -6256, -4592
1589429735802, 220924, 560, -6176, -4720
1589429735832, 220956, 672, -6288, -4704
1589429735864, 220987, 736, -6304, -4736
1589429735896, 221018, 640, -6128, -4672
1589429735927, 221049, 672, -6256, -4784
1589429735958, 221081, 624, -6224, -4496
1589429735989, 221112, 640, -6288, -4640
1589429736020, 221143, 704, -6352, -4784
1589429736052, 221174, 672, -6272, -4608
1589429736083, 221206, 720, -6160, -4640
1589429736114, 221237, 752, -6064, -4704
1589429736145, 221268, 768, -6048, -4432
1589429736176, 221299, 720, -6224, -4688
1589429736208, 221331, 608, -6240, -4880
1589429736239, 221362, 464, -6432, -4944
1589429736271, 221393, 160, -7024, -4768
1589429736302, 221424, -208, -7248, -5200
1589429736335, 221457, -528, -6944, -5872
1589429736368, 221489, -704, -6064, -5808
1589429736399, 221521, -592, -5744, -5456
1589429736432, 221554, -496, -5088, -5616
1589429736464, 221586, -208, -4816, -5840
1589429736494, 221618, 0, -4560, -5520
1589429736524, 221648, 256, -4192, -5440
1589429736556, 221679, 496, -4000, -4864
1589429736587, 221710, 736, -3424, -4672
1589429736618, 221741, 912, -3184, -4592
1589429736651, 221772, 1104, -3440, -4432
1589429736683, 221805, 1264, -3280, -4608
1589429736715, 221837, 1536, -3248, -4848
1589429736747, 221869, 1984, -3456, -5040
1589429736780, 221902, 2528, -3824, -5776
1589429736812, 221934, 2752, -4256, -4576
1589429736844, 221966, 3056, -5056, -5360
1589429736876, 221998, 3536, -4640, -5888
1589429736909, 222031, 4192, -4224, -6080
1589429736941, 222063, 4672, -4800, -5904
1589429736974, 222095, 5568, -4704, -5920
1589429737006, 222128, 6736, -5104, -6240
1589429737038, 222160, 6256, -3424, -5888
1589429737071, 222192, 7680, -3568, -4896
1589429737102, 222224, 7872, -3456, -3664
1589429737135, 222257, 7680, -3136, -4688
1589429737167, 222289, 7488, -3808, -3312
1589429737199, 222321, 6832, -4576, -3296
1589429737232, 222354, 6256, -4704, -4368
1589429737264, 222386, 6016, -4848, -4704
1589429737296, 222418, 5600, -2736, -5760
1589429737328, 222450, 5232, -1728, -7152
1589429737361, 222483, 5232, -1440, -6720
1589429737393, 222515, 5584, -1552, -7024
1589429737426, 222547, 5840, -1952, -8256
1589429737458, 222580, 6464, -1968, -6896
1589429737491, 222612, 7328, -2560, -6624
1589429737522, 222644, 7968, -2112, -8496
1589429737556, 222677, 9296, -1600, -10896
1589429737590, 222710, 10272, -2000, -8768
1589429737623, 222743, 10560, -4352, -10016
1589429737656, 222778, 10512, -4656, -8624
1589429737689, 222811, 9792, -4512, -9456
1589429737722, 222843, 9024, -5088, -10800
1589429737756, 222877, 9184, -3984, -13600
1589429737790, 222910, 11504, -4880, -12160
1589429737824, 222944, 14144, -4416, -5680
1589429737855, 222978, 12432, -704, -2352
1589429737887, 223010, 9696, -624, -2112
1589429737916, 223041, 7392, -144, 752
1589429737945, 223071, 4752, 928, 2176
1589429737976, 223101, 1952, 1120, 1776
1589429738006, 223131, -320, -240, 1232
1589429738037, 223161, -2016, 256, -2256
1589429738069, 223191, -3280, -128, -3552
1589429738102, 223223, -3760, -192, -4800
1589429738134, 223256, -3920, -768, -4832
1589429738167, 223288, -3792, -368, -4416
