Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589779644649, 48511, -576, 0, 8064
1589779644661, 48522, -576, 0, 8224
1589779644671, 48533, -560, 32, 8144
1589779644683, 48544, -544, 32, 8080
1589779644694, 48555, -592, 0, 8048
1589779644704, 48566, -624, -160, 7920
1589779644715, 48577, -688, -224, 7760
1589779644727, 48588, -800, -320, 7792
1589779644738, 48599, -688, -304, 7920
1589779644749, 48610, -704, -208, 7888
1589779644761, 48621, -640, -16, 7776
1589779644772, 48632, -688, 304, 7728
1589779644782, 48643, -656, 416, 7712
1589779644793, 48654, -544, 384, 7856
1589779644804, 48665, -464, 304, 8016
1589779644815, 48676, -416, 80, 7920
1589779644826, 48687, -496, 0, 7792
1589779644837, 48698, -400, 48, 7872
1589779644848, 48709, -448, 80, 7792
1589779644859, 48720, -464, 192, 7792
1589779644869, 48731, -544, 336, 7776
1589779644881, 48742, -528, 384, 7760
1589779644893, 48753, -592, 304, 7792
1589779644903, 48764, -592, 0, 7776
1589779644914, 48775, -496, -256, 7872
1589779644925, 48786, -496, -416, 7984
1589779644935, 48797, -416, -528, 7760
1589779644947, 48808, -304, -496, 7888
1589779644958, 48819, -496, -112, 7840
1589779644968, 48830, -656, 96, 7648
1589779644980, 48841, -688, 272, 7200
1589779644991, 48852, -656, 256, 7136
1589779645001, 48863, -880, 240, 6992
1589779645013, 48874, -912, 128, 6640
1589779645024, 48885, -848, -16, 6256
1589779645036, 48896, -592, -80, 6144
1589779645046, 48907, -528, -208, 6304
1589779645056, 48918, 528, -160, 6768
1589779645068, 48929, 1120, 480, 7584
1589779645079, 48940, 1184, 976, 7328
1589779645090, 48951, 1088, 1408, 6784
1589779645101, 48962, 1248, 1568, 6176
1589779645112, 48973, 1856, 1680, 5664
1589779645123, 48984, 1968, 2336, 5248
1589779645133, 48995, 3792, 2896, 5344
1589779645145, 49006, 5184, 3824, 6016
1589779645157, 49017, 6128, 4064, 6256
1589779645167, 49028, 6736, 4128, 6432
1589779645178, 49039, 6784, 4320, 5920
1589779645190, 49050, 7696, 6192, 5744
1589779645199, 49061, 8352, 10736, 6128
1589779645211, 49072, 10256, 16368, 8320
1589779645222, 49083, 12528, 21072, 11504
1589779645233, 49094, 13072, 22752, 11264
1589779645244, 49105, 15024, 17856, 8000
1589779645255, 49116, 15888, 10688, 6352
