Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589779727689, 131550, -5920, 608, -5360
1589779727700, 131561, -5776, 592, -5520
1589779727710, 131572, -5664, 528, -5520
1589779727722, 131583, -5648, 480, -5408
1589779727732, 131594, -5584, 464, -5232
1589779727744, 131605, -5632, 496, -5248
1589779727755, 131616, -5840, 576, -5280
1589779727766, 131627, -5888, 544, -5296
1589779727776, 131638, -5904, 496, -5312
1589779727788, 131649, -5984, 400, -5904
1589779727799, 131660, -6000, 368, -6000
1589779727811, 131671, -5840, 400, -5856
1589779727821, 131682, -5728, 480, -5344
1589779727831, 131693, -5728, 656, -4752
1589779727843, 131704, -5760, 608, -5088
1589779727854, 131715, -5952, 496, -5376
1589779727865, 131726, -6000, 352, -5440
1589779727876, 131737, -5904, 384, -5328
1589779727886, 131748, -5824, 560, -5440
1589779727897, 131759, -5856, 752, -5488
1589779727909, 131770, -5904, 592, -5360
1589779727920, 131781, -5904, 368, -5312
1589779727931, 131792, -5776, 240, -5120
1589779727942, 131803, -5648, 256, -4960
1589779727953, 131814, -5632, 448, -4976
1589779727963, 131825, -5664, 512, -4960
1589779727975, 131836, -5744, 608, -5264
1589779727986, 131847, -5696, 560, -5440
1589779727997, 131858, -5680, 400, -5456
1589779728008, 131869, -5760, 480, -5600
1589779728019, 131880, -5696, 640, -5664
1589779728030, 131891, -5696, 704, -5680
1589779728040, 131902, -5440, 656, -5744
1589779728052, 131913, -5600, 480, -6016
1589779728063, 131924, -5520, 400, -6368
1589779728073, 131935, -5456, 432, -6656
1589779728084, 131946, -5472, 384, -6736
1589779728096, 131957, -5392, 432, -7168
1589779728107, 131968, -5232, 192, -7536
1589779728118, 131979, -5216, -192, -7840
1589779728128, 131990, -5232, -608, -8448
1589779728140, 132001, -5296, -752, -9680
1589779728152, 132012, -5824, -672, -10624
1589779728161, 132023, -5360, -544, -10768
1589779728172, 132034, -4688, -800, -11168
1589779728184, 132045, -4752, -1152, -12336
1589779728195, 132056, -4720, -1744, -13264
1589779728206, 132067, -5280, -2528, -14736
1589779728217, 132078, -6016, -2784, -16448
1589779728228, 132089, -6000, -2672, -16912
1589779728240, 132100, -5264, -2864, -16864
1589779728250, 132111, -5104, -2192, -17664
1589779728261, 132122, -4208, -1984, -18192
1589779728271, 132133, -2912, -2032, -17456
1589779728283, 132144, -1648, -2704, -16560
1589779728294, 132155, -1408, -3472, -17248
1589779728305, 132166, -1440, -4096, -18384
1589779728316, 132177, -352, -5168, -17632
1589779728328, 132188, 240, -4432, -17776
1589779728338, 132199, 1312, -3712, -17936
1589779728349, 132210, 3904, -2992, -15600
1589779728360, 132221, 5744, -2656, -14544
1589779728371, 132232, 7056, -1984, -15600
1589779728381, 132243, 7584, -2144, -14976
1589779728393, 132254, 15280, -1808, -11552
1589779728403, 132265, 20384, -736, -4272
1589779728415, 132276, 19888, -944, -3008
1589779728426, 132287, 18672, -2784, -5872
1589779728437, 132298, 18720, -5504, -6160
1589779728449, 132309, 22192, -6160, -4688
1589779728459, 132320, 25648, -6704, -192
1589779728471, 132331, 29376, -4496, 5248
1589779728481, 132342, 31808, 3552, 12112
1589779728493, 132353, 31744, 9616, 20976
1589779728502, 132364, 27584, 8592, 26640
1589779728514, 132375, 21504, 944, 26256
1589779728525, 132386, 16480, -4976, 23504
1589779728536, 132397, 12624, -8064, 21264
1589779728548, 132408, 12032, -6944, 20832
1589779728558, 132419, 9648, -4640, 19936
1589779728570, 132430, 8832, -2832, 19328
1589779728580, 132441, 8848, -2448, 19968
1589779728590, 132452, 8640, -1824, 20512
1589779728601, 132463, 8560, -1664, 19872
1589779728613, 132474, 7504, -1872, 18544
1589779728624, 132485, 6368, -2240, 16352
