Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589780055663, 459526, -2736, -1120, 8432
1589780055675, 459537, -2080, -1008, 9680
1589780055686, 459548, -2816, -1808, 8080
1589780055697, 459559, -3136, -2416, 6128
1589780055707, 459570, -2864, -2016, 5856
1589780055719, 459581, -2656, -1632, 6576
1589780055730, 459592, -2672, -1600, 7088
1589780055741, 459603, -2736, -1824, 7200
1589780055752, 459614, -2416, -2048, 7008
1589780055762, 459625, -2224, -2256, 7488
1589780055774, 459636, -2320, -2560, 7840
1589780055784, 459647, -2368, -2784, 7536
1589780055796, 459658, -2352, -2832, 6432
1589780055807, 459669, -2720, -2512, 6224
1589780055817, 459680, -3056, -1472, 7168
1589780055828, 459691, -3424, -1168, 6960
1589780055840, 459702, -3520, -992, 7136
1589780055850, 459713, -3312, -1488, 7136
1589780055862, 459724, -2720, -1776, 7232
1589780055872, 459735, -2672, -1952, 7120
1589780055884, 459746, -2992, -1840, 7504
1589780055895, 459757, -3136, -2096, 7424
1589780055906, 459768, -3120, -2416, 7440
1589780055917, 459779, -3216, -2336, 7456
1589780055928, 459790, -3776, -1744, 7856
1589780055939, 459801, -3856, -1344, 8032
1589780055950, 459812, -3712, -1264, 8256
1589780055960, 459823, -3712, -1248, 8864
1589780055972, 459834, -4032, -1216, 9200
1589780055983, 459845, -4096, -1344, 9264
1589780055993, 459856, -4272, -1408, 9968
1589780056005, 459867, -3696, -2464, 10992
1589780056016, 459878, -3504, -2864, 10672
1589780056026, 459889, -3568, -2032, 10832
1589780056038, 459900, -3664, -624, 11184
1589780056049, 459911, -3664, 16, 11424
1589780056060, 459922, -3936, 624, 11232
1589780056070, 459933, -4048, 896, 10864
1589780056082, 459944, -4080, 976, 10608
1589780056093, 459955, -3952, 1008, 10432
1589780056104, 459966, -3904, 736, 10240
1589780056115, 459977, -4016, 960, 9984
1589780056126, 459988, -4096, 1664, 10144
1589780056136, 459999, -4064, 2400, 10304
1589780056148, 460010, -3984, 2592, 10416
1589780056158, 460021, -2896, 2256, 10352
1589780056170, 460032, -2496, 1104, 9680
1589780056181, 460043, -2736, 288, 8864
1589780056191, 460054, -3168, -352, 7584
1589780056202, 460065, -3248, -736, 6624
1589780056214, 460076, -2784, -272, 6240
