Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589779658850, 62712, 80, -624, 7808
1589779658862, 62723, 272, -608, 7984
1589779658873, 62734, 304, -528, 7728
1589779658884, 62745, 240, -368, 7952
1589779658895, 62756, 336, -288, 7888
1589779658905, 62767, 448, -304, 8032
1589779658917, 62778, 240, -384, 7968
1589779658928, 62789, 256, -480, 7904
1589779658939, 62800, 336, -640, 7888
1589779658950, 62811, 256, -592, 7968
1589779658960, 62822, 128, -384, 7856
1589779658972, 62833, 64, -192, 7712
1589779658983, 62844, 32, -144, 7600
1589779658993, 62855, -48, -176, 7648
1589779659005, 62866, 112, -272, 7792
1589779659015, 62877, 96, -416, 7744
1589779659027, 62888, 48, -576, 7600
1589779659037, 62899, 208, -640, 8000
1589779659049, 62910, 416, -640, 8080
1589779659060, 62921, 352, -672, 8000
1589779659071, 62932, 272, -608, 7888
1589779659082, 62943, 240, -576, 7856
1589779659092, 62954, 176, -240, 8112
1589779659104, 62965, 96, 0, 7776
1589779659115, 62976, 224, -224, 7856
1589779659126, 62987, 272, -656, 7984
1589779659137, 62998, 192, -1056, 7920
1589779659148, 63009, -16, -1456, 7776
1589779659159, 63020, 0, -1456, 8016
1589779659170, 63031, 128, -1280, 7920
1589779659181, 63042, 96, -784, 8032
1589779659192, 63053, 272, -464, 8064
1589779659203, 63064, 224, -240, 8128
1589779659214, 63075, 336, -512, 8160
1589779659225, 63086, 400, -1088, 8128
1589779659237, 63097, 336, -1920, 7904
1589779659247, 63108, -112, -2224, 7904
1589779659257, 63119, -432, -2480, 7840
1589779659269, 63130, -560, -2464, 7808
1589779659280, 63141, -544, -2528, 7472
1589779659291, 63152, -560, -2816, 7408
1589779659302, 63163, -640, -3408, 7568
1589779659314, 63174, -544, -3152, 7728
1589779659324, 63185, -752, -4288, 7776
1589779659335, 63196, -912, -5552, 8032
1589779659345, 63207, -960, -6912, 7728
1589779659357, 63218, -1168, -8576, 7792
1589779659368, 63229, -928, -10192, 7136
1589779659379, 63240, -464, -11616, 6608
1589779659390, 63251, 368, -13264, 6592
1589779659401, 63262, 1520, -15088, 6848
1589779659412, 63273, 2352, -16800, 7184
1589779659424, 63284, 2672, -18208, 6976
1589779659435, 63295, 4528, -18832, 6128
1589779659445, 63306, 5424, -18912, 4656
1589779659456, 63317, 5968, -18880, 3392
1589779659467, 63328, 6128, -18384, 2816
1589779659478, 63339, 6320, -18896, 1552
1589779659489, 63350, 8896, -20432, 640
1589779659501, 63361, 10624, -21744, 960
1589779659512, 63372, 12912, -22144, 768
1589779659522, 63383, 15904, -21808, -224
1589779659534, 63394, 16832, -20960, -1440
1589779659544, 63405, 24880, -19696, -2256
1589779659555, 63416, 30496, -17120, -3344
1589779659567, 63427, 32512, -14384, -5376
1589779659577, 63438, 32640, -5072, -1600
1589779659588, 63449, 32640, 10464, 4848
1589779659599, 63460, 30144, 17136, 4768
1589779659610, 63471, 18512, 25104, -912
1589779659621, 63482, 13504, 24688, -7088
1589779659632, 63493, 12528, 14192, 1072
1589779659643, 63504, 12592, 5152, 7424
1589779659654, 63515, 14320, 976, 9488
1589779659665, 63526, 14544, 2592, 9056
1589779659676, 63537, 14368, 5216, 8752
1589779659687, 63548, 12640, 9824, 10112
1589779659698, 63559, 9664, 12544, 7904
1589779659710, 63570, 7168, 12368, 3744
1589779659720, 63581, 6704, 8768, 1968
1589779659731, 63592, 5088, 5280, 2736
1589779659743, 63603, 4944, 1680, 4384
1589779659753, 63614, 4976, 512, 5856
1589779659764, 63625, 4736, 768, 6688
1589779659775, 63636, 4704, 1488, 7168
1589779659786, 63647, 4016, 1744, 7248
1589779659797, 63658, 3568, 1888, 7296
1589779659808, 63669, 3120, 1664, 6672
1589779659819, 63680, 3328, 1664, 7584
1589779659829, 63691, 3024, 1584, 6784
1589779659841, 63702, 2832, 752, 6928
1589779659851, 63713, 2960, 96, 7424
1589779659863, 63724, 3392, -272, 8544
1589779659874, 63735, 3824, -256, 10064
1589779659885, 63746, 3808, 272, 10224
1589779659896, 63757, 2784, 896, 9248
1589779659907, 63768, 1744, 1136, 7696
1589779659918, 63779, 1200, 1184, 6896
1589779659930, 63790, 1104, 720, 6480
1589779659940, 63801, 1552, 368, 7376
1589779659951, 63812, 1936, 208, 7952
1589779659961, 63823, 2048, 208, 9008
1589779659973, 63834, 2272, 400, 9104
1589779659984, 63845, 1728, 672, 8432
1589779659994, 63856, 1312, 768, 8064
1589779660006, 63867, 704, 880, 7232
1589779660016, 63878, 592, 688, 6880
1589779660028, 63889, 480, 368, 7056
1589779660038, 63900, 864, -144, 7392
1589779660050, 63911, 1440, -688, 7952
1589779660061, 63922, 1712, -848, 8400
1589779660071, 63933, 1776, -672, 8624
1589779660083, 63944, 1280, -416, 8144
