Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589779910431, 314293, -544, 1520, 7920
1589779910442, 314304, -624, 1344, 7856
1589779910454, 314315, -976, 1168, 7616
1589779910464, 314326, -1200, 992, 7232
1589779910475, 314337, -1232, 992, 7184
1589779910485, 314348, -1520, 1024, 7040
1589779910497, 314359, -1296, 1264, 7392
1589779910507, 314370, -1072, 1552, 7552
1589779910519, 314381, -832, 1792, 7648
1589779910530, 314392, -752, 1792, 7696
1589779910541, 314403, -864, 1504, 7792
1589779910552, 314414, -976, 1072, 7712
1589779910562, 314425, -1184, 992, 7488
1589779910574, 314436, -1360, 1008, 7296
1589779910585, 314447, -1264, 960, 7360
1589779910597, 314458, -1168, 1040, 7472
1589779910607, 314469, -1152, 1264, 7776
1589779910618, 314480, -752, 1488, 7888
1589779910630, 314491, -896, 1456, 7856
1589779910639, 314502, -912, 1184, 7856
1589779910651, 314513, -1088, 1088, 7840
1589779910662, 314524, -1168, 1152, 7648
1589779910673, 314535, -1424, 1120, 7504
1589779910683, 314546, -1248, 944, 7456
1589779910694, 314557, -1008, 1232, 7856
1589779910706, 314568, -752, 1472, 8224
1589779910717, 314579, -688, 1632, 8080
1589779910728, 314590, -672, 1440, 8048
1589779910739, 314601, -784, 1248, 7824
1589779910749, 314612, -928, 1184, 7744
1589779910761, 314623, -1056, 1216, 7392
1589779910772, 314634, -1072, 1696, 7328
1589779910783, 314645, -1088, 2336, 7504
1589779910794, 314656, -992, 3136, 7584
1589779910806, 314667, -928, 3760, 7632
1589779910816, 314678, -768, 4032, 7648
1589779910827, 314689, -752, 4064, 7600
1589779910839, 314700, -736, 4112, 7696
1589779910848, 314711, -560, 4240, 7584
1589779910860, 314722, -528, 4512, 7488
1589779910872, 314733, -544, 4848, 7136
1589779910882, 314744, -624, 5232, 7008
1589779910894, 314755, -576, 5840, 6960
1589779910904, 314766, -528, 6448, 7248
1589779910915, 314777, -240, 6592, 7440
1589779910926, 314788, -352, 6464, 7216
1589779910937, 314799, -304, 6320, 6880
1589779910949, 314810, -176, 6128, 6432
1589779910958, 314821, -128, 5744, 6784
1589779910970, 314832, 256, 5408, 7120
1589779910981, 314843, 64, 5296, 7280
1589779910992, 314854, 32, 5136, 7344
1589779911003, 314865, 112, 4800, 7360
1589779911013, 314876, 144, 4368, 7120
1589779911024, 314887, 96, 4224, 6752
1589779911036, 314898, 496, 4176, 7232
1589779911046, 314909, 1296, 3968, 7920
1589779911058, 314920, 1424, 3616, 8320
1589779911070, 314931, 1392, 3184, 8112
1589779911079, 314942, 1648, 2784, 8400
1589779911091, 314953, 2032, 2384, 8800
1589779911103, 314964, 1952, 2112, 8736
1589779911113, 314975, 2080, 1472, 8464
1589779911124, 314986, 2064, 1312, 8352
1589779911134, 314997, 1808, 1136, 8096
1589779911146, 315008, 1584, 880, 7696
1589779911157, 315019, 1488, 608, 7408
1589779911168, 315030, 1232, 128, 7184
1589779911179, 315041, 1232, -656, 7376
1589779911191, 315052, 1264, -1136, 7424
1589779911201, 315063, 1296, -1296, 7808
1589779911212, 315074, 1120, -1216, 7696
1589779911224, 315085, 944, -1136, 7632
1589779911233, 315096, 928, -1344, 7488
1589779911245, 315107, 752, -1536, 7408
1589779911256, 315118, 832, -1792, 7104
1589779911267, 315129, 384, -2096, 7072
1589779911278, 315140, 208, -2400, 7248
1589779911289, 315151, 128, -2576, 7360
1589779911300, 315162, 256, -2832, 7232
1589779911311, 315173, 272, -2896, 7408
1589779911322, 315184, 32, -2512, 7072
1589779911333, 315195, 288, -2368, 7088
1589779911345, 315206, 352, -2720, 7120
1589779911355, 315217, 384, -3312, 6800
1589779911367, 315228, 288, -4016, 6800
1589779911377, 315239, 208, -4528, 6688
1589779911388, 315250, 0, -4960, 6416
1589779911399, 315261, -208, -4752, 6320
1589779911411, 315272, -112, -4080, 6768
1589779911421, 315283, -64, -3280, 6752
1589779911432, 315294, 48, -2384, 6928
1589779911443, 315305, 544, -1696, 7152
1589779911455, 315316, 784, -1392, 6992
1589779911465, 315327, 1008, -1168, 6656
1589779911476, 315338, 1008, -1632, 7040
1589779911487, 315349, 16, -3152, 6480
1589779911498, 315360, -160, -4128, 5904
1589779911509, 315371, -32, -4432, 6032
1589779911520, 315382, 560, -4320, 6336
1589779911531, 315393, 1232, -3616, 6128
1589779911542, 315404, 1872, -2544, 5920
1589779911553, 315415, 2032, -1296, 6192
1589779911564, 315426, 2480, -880, 6976
1589779911575, 315437, 2176, -1312, 7152
1589779911586, 315448, 1968, -1632, 7056
1589779911598, 315459, 2096, -1744, 7056
1589779911608, 315470, 2240, -1888, 6784
1589779911619, 315481, 3104, -1904, 6336
1589779911631, 315492, 3936, -2128, 5920
1589779911641, 315503, 4416, -2192, 5616
1589779911653, 315514, 4944, -1568, 5776
1589779911663, 315525, 5104, -64, 6432
1589779911675, 315536, 5696, 544, 6800
1589779911685, 315547, 5536, 224, 6992
1589779911696, 315558, 5632, -176, 6848
1589779911707, 315569, 5952, -112, 6752
1589779911718, 315580, 6144, 192, 6352
1589779911729, 315591, 7408, 704, 6400
1589779911740, 315602, 7904, 2704, 7088
1589779911751, 315613, 8288, 4960, 7920
1589779911761, 315624, 8944, 7616, 9424
1589779911773, 315635, 9136, 8624, 9808
1589779911784, 315646, 8656, 8032, 9632
1589779911794, 315657, 8512, 6432, 8144
1589779911805, 315668, 7216, 5280, 6720
1589779911817, 315679, 6912, 4416, 6256
1589779911828, 315690, 6912, 4608, 6656
1589779911839, 315701, 7264, 6048, 7200
1589779911850, 315712, 7216, 8032, 8064
1589779911861, 315723, 7760, 8864, 8304
1589779911871, 315734, 7984, 9344, 8128
1589779911883, 315745, 7616, 9056, 8064
1589779911894, 315756, 7376, 8416, 7584
1589779911904, 315767, 7216, 7696, 6560
1589779911916, 315778, 6128, 7056, 5984
1589779911927, 315789, 5760, 5632, 5408
1589779911939, 315800, 5536, 5040, 5040
1589779911949, 315811, 5376, 4784, 5024
1589779911960, 315822, 5392, 4640, 5168
1589779911971, 315833, 5808, 5168, 5568
1589779911982, 315844, 5856, 6096, 5728
1589779911993, 315855, 5648, 6464, 5760
1589779912004, 315866, 5392, 6352, 5552
1589779912015, 315877, 5296, 6192, 5056
1589779912026, 315888, 4544, 5952, 4576
1589779912037, 315899, 4384, 5696, 4480
1589779912047, 315910, 4320, 6032, 4704
1589779912059, 315921, 4544, 6688, 5200
1589779912070, 315932, 4608, 7072, 5184
1589779912081, 315943, 4800, 7088, 4848
