Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589779934884, 338746, -2032, -1040, 7328
1589779934895, 338757, -1760, -1312, 7552
1589779934907, 338768, -1696, -1344, 7936
1589779934917, 338779, -1728, -1056, 7584
1589779934928, 338790, -2064, -1216, 7568
1589779934939, 338801, -1728, -1072, 7824
1589779934950, 338812, -1600, -736, 8064
1589779934961, 338823, -1616, -688, 8032
1589779934972, 338834, -1616, -864, 7616
1589779934983, 338845, -2016, -1088, 7504
1589779934995, 338856, -2032, -1312, 7504
1589779935005, 338867, -1872, -1472, 7664
1589779935016, 338878, -1632, -1328, 7808
1589779935027, 338889, -1760, -912, 7744
1589779935038, 338900, -1632, -912, 7840
1589779935048, 338911, -1760, -800, 7824
1589779935060, 338922, -1808, -912, 7728
1589779935071, 338933, -1808, -832, 7728
1589779935083, 338944, -1760, -960, 7776
1589779935093, 338955, -1712, -1056, 7792
1589779935105, 338966, -1696, -1056, 7760
1589779935115, 338977, -1664, -960, 7872
1589779935126, 338988, -1648, -640, 7808
1589779935137, 338999, -1808, -496, 7760
1589779935147, 339010, -1824, -592, 7584
1589779935159, 339021, -1776, -608, 7728
1589779935171, 339032, -1696, -576, 7952
1589779935181, 339043, -1808, -784, 8000
1589779935192, 339054, -1760, -848, 8016
1589779935203, 339065, -1888, -880, 7968
1589779935215, 339076, -1984, -800, 8000
1589779935225, 339087, -2304, -720, 7792
1589779935236, 339098, -2368, -352, 8144
1589779935247, 339109, -2480, -16, 8320
1589779935258, 339120, -2544, 16, 8640
1589779935270, 339131, -2416, -288, 9152
1589779935280, 339142, -2496, -448, 9312
1589779935291, 339153, -2432, -768, 9360
1589779935302, 339164, -2512, -1280, 9200
1589779935313, 339175, -2544, -1696, 9472
1589779935324, 339186, -2400, -2208, 9792
1589779935335, 339197, -2688, -2688, 9712
1589779935346, 339208, -2816, -2960, 10192
1589779935357, 339219, -3008, -3536, 10128
1589779935369, 339230, -3136, -3728, 9760
1589779935379, 339241, -3104, -3600, 9440
1589779935390, 339252, -2432, -3664, 9328
1589779935401, 339263, -2368, -3808, 9040
1589779935412, 339274, -2336, -4160, 9072
1589779935423, 339285, -2336, -4784, 9232
1589779935434, 339296, -2384, -5808, 9024
1589779935446, 339307, -2432, -6480, 8720
1589779935456, 339318, -2496, -6496, 8160
1589779935467, 339329, -2384, -5888, 7712
1589779935478, 339340, -2464, -4720, 6976
1589779935489, 339351, -2416, -4176, 6512
1589779935500, 339362, -2320, -3952, 6080
1589779935511, 339373, -2384, -4480, 5360
1589779935522, 339384, -2176, -5280, 5152
1589779935534, 339395, -2336, -5776, 4720
1589779935544, 339406, -2208, -5520, 4544
1589779935555, 339417, -1872, -4720, 4480
