Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589644615396, 291633, -800, 1200, 7824
1589644615408, 291644, -784, 1152, 8000
1589644615419, 291655, -736, 1024, 8096
1589644615429, 291666, -784, 736, 7984
1589644615441, 291677, -768, 640, 7936
1589644615451, 291688, -736, 688, 8176
1589644615462, 291699, -736, 688, 8256
1589644615474, 291710, -816, 816, 7968
1589644615484, 291721, -800, 976, 7760
1589644615495, 291732, -832, 928, 7840
1589644615506, 291743, -800, 928, 8032
1589644615517, 291754, -624, 1024, 8064
1589644615529, 291765, -736, 1008, 7872
1589644615539, 291776, -880, 944, 7648
1589644615551, 291787, -848, 960, 7488
1589644615563, 291798, -912, 880, 7392
1589644615572, 291809, -800, 944, 7520
1589644615584, 291820, -736, 1056, 7712
1589644615595, 291831, -688, 1104, 7888
1589644615606, 291842, -560, 1024, 8048
1589644615617, 291853, -560, 1040, 8064
1589644615628, 291864, -576, 1072, 8048
1589644615639, 291875, -592, 1040, 8176
1589644615649, 291886, -512, 1008, 7856
1589644615661, 291897, -864, 1104, 7696
1589644615672, 291908, -896, 1072, 7904
1589644615682, 291919, -944, 832, 8096
1589644615693, 291930, -896, 704, 8064
1589644615704, 291941, -800, 720, 8160
1589644615716, 291952, -608, 976, 8224
1589644615726, 291963, -448, 1184, 8096
1589644615738, 291974, -336, 1232, 7920
1589644615748, 291985, -144, 1232, 7760
1589644615759, 291996, -48, 1200, 7632
1589644615771, 292007, 112, 1040, 7696
1589644615781, 292018, 288, 480, 8000
1589644615792, 292029, 400, -512, 8448
1589644615803, 292040, 400, -1040, 8544
1589644615815, 292051, 544, -1600, 8256
1589644615826, 292062, 720, -1952, 7472
1589644615837, 292073, 1024, -1968, 7472
1589644615848, 292084, 1248, -1936, 7408
1589644615859, 292095, 1424, -1984, 7808
1589644615870, 292106, 1424, -2304, 8464
1589644615880, 292117, 1952, -2880, 9408
1589644615892, 292128, 2560, -3712, 10192
1589644615903, 292139, 2576, -4880, 10448
1589644615913, 292150, 3200, -5872, 10768
1589644615924, 292161, 3856, -6496, 11088
1589644615935, 292172, 4048, -6528, 11408
1589644615946, 292183, 5008, -6784, 11360
1589644615957, 292194, 5360, -6496, 11296
1589644615969, 292205, 6096, -5616, 11776
1589644615979, 292216, 6656, -5344, 12480
1589644615991, 292227, 7088, -5616, 12736
1589644616001, 292238, 7392, -5840, 12976
1589644616012, 292249, 7520, -6192, 13184
1589644616023, 292260, 7952, -6640, 13296
1589644616035, 292271, 8144, -6688, 13280
1589644616045, 292282, 8112, -6432, 12720
1589644616056, 292293, 7824, -6448, 12624
1589644616068, 292304, 8064, -6480, 12336
1589644616078, 292315, 8496, -6448, 12464
1589644616090, 292326, 9008, -6032, 12192
1589644616101, 292337, 9504, -4880, 12064
1589644616112, 292348, 10032, -2880, 12384
1589644616123, 292359, 10320, -1584, 12720
1589644616134, 292370, 10560, -512, 13232
1589644616145, 292381, 10576, 112, 15312
1589644616156, 292392, 10512, 288, 15424
1589644616167, 292403, 10160, -304, 14608
1589644616177, 292414, 9840, -1120, 13696
