Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589645070021, 746263, -2368, 608, 7776
1589645070033, 746274, -2480, 560, 7728
1589645070045, 746285, -2496, 544, 7616
1589645070056, 746296, -2560, 496, 7440
1589645070065, 746307, -2512, 448, 7456
1589645070077, 746318, -2464, 384, 7472
1589645070089, 746329, -2448, 384, 7568
1589645070099, 746340, -2416, 368, 7584
1589645070110, 746351, -2464, 368, 7616
1589645070121, 746362, -2512, 448, 7552
1589645070132, 746373, -2528, 464, 7760
1589645070143, 746384, -2432, 624, 7760
1589645070154, 746395, -2496, 656, 7744
1589645070164, 746406, -2464, 592, 7744
1589645070176, 746417, -2480, 624, 7584
1589645070187, 746428, -2496, 624, 7504
1589645070198, 746439, -2416, 496, 7632
1589645070209, 746450, -2512, 416, 7616
1589645070220, 746461, -2480, 448, 7616
1589645070231, 746472, -2432, 432, 7584
1589645070243, 746483, -2480, 368, 7648
1589645070253, 746494, -2496, 368, 7632
1589645070263, 746505, -2448, 384, 7664
1589645070275, 746516, -2496, 400, 7600
1589645070286, 746527, -2464, 432, 7632
1589645070297, 746538, -2464, 448, 7664
1589645070308, 746549, -2544, 496, 7600
1589645070320, 746560, -2480, 480, 7552
1589645070330, 746571, -2512, 464, 7536
1589645070342, 746582, -2576, 400, 7616
1589645070352, 746593, -2528, 416, 7504
1589645070363, 746604, -2592, 368, 7344
1589645070374, 746615, -2528, 368, 7056
1589645070386, 746626, -2528, 416, 7136
1589645070397, 746637, -2544, 352, 7072
1589645070407, 746648, -2608, 240, 7104
1589645070418, 746659, -2656, 288, 7200
1589645070429, 746670, -2640, 320, 7120
1589645070440, 746681, -2672, 240, 6960
1589645070451, 746692, -2640, 144, 6896
1589645070462, 746703, -2688, 208, 6864
1589645070474, 746714, -2656, 240, 6752
1589645070484, 746725, -2656, 32, 6816
1589645070495, 746736, -2512, 160, 7072
1589645070506, 746747, -2560, 352, 7248
1589645070518, 746758, -2496, 160, 7040
1589645070528, 746769, -2480, 80, 6736
1589645070538, 746780, -2480, 208, 6448
1589645070551, 746791, -2416, 272, 6288
1589645070561, 746802, -2480, 288, 6160
1589645070572, 746813, -2288, 400, 5712
1589645070583, 746824, -2192, 656, 5296
1589645070594, 746835, -2208, 736, 5200
1589645070605, 746846, -1824, 752, 5120
1589645070616, 746857, -1712, 768, 4896
1589645070626, 746868, -1744, 880, 4864
1589645070639, 746879, -1632, 704, 5056
1589645070649, 746890, -1888, 464, 4944
1589645070661, 746901, -1984, -112, 4656
1589645070670, 746912, -1952, -448, 4304
1589645070682, 746923, -2032, -560, 3952
1589645070693, 746934, -2096, -464, 3664
1589645070703, 746945, -2048, -704, 3456
1589645070715, 746956, -2000, -736, 3344
1589645070726, 746967, -1744, -800, 3360
1589645070737, 746978, -1632, -656, 3056
1589645070748, 746989, -1360, -576, 3152
1589645070759, 747000, -1200, -304, 3264
1589645070770, 747011, -976, 144, 3184
1589645070781, 747022, -784, 496, 3376
1589645070792, 747033, -736, 656, 3584
1589645070803, 747044, -736, 1056, 3888
1589645070815, 747055, -656, 1344, 4160
