Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589644974630, 650871, -3472, -4096, 6080
1589644974640, 650882, -3456, -4176, 5904
1589644974652, 650893, -3392, -4080, 5792
1589644974663, 650904, -3504, -3920, 5936
1589644974673, 650915, -3472, -3856, 5968
1589644974684, 650926, -3472, -3824, 6144
1589644974695, 650937, -3424, -3904, 6304
1589644974706, 650948, -3408, -4080, 6400
1589644974717, 650959, -3440, -3952, 6224
1589644974729, 650970, -3488, -3888, 6000
1589644974740, 650981, -3504, -3904, 5952
1589644974751, 650992, -3392, -3968, 5968
1589644974761, 651003, -3440, -4048, 5984
1589644974772, 651014, -3376, -4048, 6064
1589644974783, 651025, -3392, -4032, 6048
1589644974794, 651036, -3376, -4096, 5984
1589644974805, 651047, -3456, -4064, 6000
1589644974816, 651058, -3392, -4080, 6016
1589644974827, 651069, -3424, -4096, 5968
1589644974838, 651080, -3488, -4096, 5808
1589644974850, 651091, -3376, -4096, 5888
1589644974860, 651102, -3456, -4000, 5872
1589644974872, 651113, -3408, -4000, 5824
1589644974883, 651124, -3408, -3936, 5616
1589644974894, 651135, -3456, -3936, 5776
1589644974905, 651146, -3472, -3968, 5776
1589644974916, 651157, -3504, -3872, 5632
1589644974927, 651168, -3472, -4000, 5968
1589644974938, 651179, -3440, -4000, 6048
1589644974948, 651190, -3392, -4096, 6080
1589644974959, 651201, -3344, -4064, 5984
1589644974971, 651212, -3456, -3952, 5872
1589644974981, 651223, -3472, -3888, 5776
1589644974993, 651234, -3456, -3824, 5824
1589644975004, 651245, -3456, -3840, 5808
1589644975014, 651256, -3360, -3792, 5792
1589644975025, 651267, -3392, -3824, 5808
1589644975037, 651278, -3328, -4000, 5984
1589644975047, 651289, -3408, -4224, 5952
1589644975059, 651300, -3488, -4208, 5904
1589644975070, 651311, -3440, -4256, 6144
1589644975080, 651322, -3360, -4224, 6240
1589644975092, 651333, -3424, -4320, 6272
1589644975102, 651344, -3376, -4608, 6208
1589644975113, 651355, -3392, -4944, 6416
1589644975125, 651366, -3344, -5408, 6464
1589644975136, 651377, -3408, -5872, 6896
1589644975147, 651388, -3456, -6256, 6976
1589644975157, 651399, -3424, -6816, 6960
1589644975169, 651410, -3456, -7552, 6656
1589644975179, 651421, -3424, -7872, 6192
