Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589645002172, 678415, 640, -512, 8112
1589645002184, 678426, 656, -608, 8096
1589645002195, 678437, 656, -608, 8016
1589645002206, 678448, 640, -592, 8032
1589645002217, 678459, 592, -512, 7920
1589645002228, 678470, 624, -480, 8016
1589645002239, 678481, 624, -432, 8064
1589645002249, 678492, 640, -480, 8064
1589645002261, 678503, 608, -512, 8144
1589645002271, 678514, 672, -624, 8032
1589645002282, 678525, 720, -688, 7856
1589645002294, 678536, 624, -560, 7840
1589645002304, 678547, 640, -512, 7872
1589645002316, 678558, 688, -432, 8032
1589645002326, 678569, 768, -368, 7856
1589645002337, 678580, 736, -448, 7872
1589645002349, 678591, 784, -432, 7904
1589645002360, 678602, 832, -464, 8016
1589645002371, 678613, 720, -480, 7952
1589645002382, 678624, 656, -544, 8016
1589645002393, 678635, 688, -624, 7968
1589645002403, 678646, 672, -592, 7968
1589645002414, 678657, 608, -480, 7920
1589645002426, 678668, 624, -512, 7904
1589645002437, 678679, 592, -560, 7872
1589645002448, 678690, 640, -560, 7904
1589645002458, 678701, 624, -592, 7984
1589645002470, 678712, 592, -624, 7904
1589645002481, 678723, 560, -624, 7808
1589645002492, 678734, 608, -672, 7648
1589645002503, 678745, 640, -704, 7696
1589645002514, 678756, 608, -736, 7616
1589645002525, 678767, 608, -688, 7440
1589645002536, 678778, 576, -624, 7408
1589645002547, 678789, 464, -656, 7328
1589645002558, 678800, 512, -656, 7152
1589645002569, 678811, 528, -992, 6736
1589645002580, 678822, 272, -1168, 7232
1589645002590, 678833, 112, -1632, 7248
1589645002601, 678844, -16, -2400, 8032
1589645002613, 678855, 432, -2528, 10704
1589645002625, 678866, 1312, -2544, 15280
1589645002634, 678877, 1840, -656, 22992
1589645002647, 678888, 1888, 2336, 29008
1589645002658, 678899, 1536, 5008, 30128
1589645002668, 678910, 2208, 5312, 26160
1589645002678, 678921, 2496, 4384, 21184
1589645002690, 678932, 3216, 3104, 17488
1589645002701, 678943, 2832, 1536, 14624
1589645002712, 678954, 2720, 16, 11984
1589645002722, 678965, 3056, -848, 10144
1589645002734, 678976, 3040, -880, 9248
1589645002745, 678987, 2992, -384, 8608
1589645002757, 678998, 2624, -80, 8128
1589645002766, 679009, 2496, -32, 6992
1589645002778, 679020, 2448, 128, 5792
1589645002789, 679031, 2000, 592, 5456
1589645002800, 679042, 1664, 784, 4704
1589645002811, 679053, 1520, 944, 2608
1589645002822, 679064, 1536, 720, 1072
1589645002833, 679075, 1312, 160, -432
1589645002844, 679086, 992, -208, -2784
1589645002855, 679097, 832, -848, -4544
1589645002865, 679108, 256, -1664, -6560
1589645002878, 679119, -80, -1872, -8208
1589645002888, 679130, -96, -864, -9040
1589645002899, 679141, -512, 48, -8928
1589645002910, 679152, -656, 752, -8480
1589645002921, 679163, -496, 608, -7904
1589645002932, 679174, -384, 288, -7440
1589645002942, 679185, -256, 16, -6656
1589645002955, 679196, -176, -384, -5328
1589645002965, 679207, 80, -496, -4480
1589645002976, 679218, 272, -736, -3936
1589645002987, 679229, 464, -1136, -3264
1589645002998, 679240, 496, -1488, -2416
1589645003010, 679251, 1088, -1488, -1744
1589645003020, 679262, 1408, -1280, -1152
1589645003030, 679273, 1440, -1968, 1648
1589645003043, 679284, 3600, -3248, 6736
1589645003053, 679295, 4224, -4240, 13936
1589645003064, 679306, 4288, -4016, 24304
1589645003075, 679317, 4256, -3616, 30976
1589645003086, 679328, 2512, 0, 32544
1589645003096, 679339, 464, 4528, 32640
1589645003108, 679350, -928, 4944, 32640
1589645003119, 679361, -1488, 3696, 32144
1589645003130, 679372, -1584, 1264, 28736
1589645003140, 679383, -2192, 416, 25088
1589645003153, 679394, -2320, 256, 21024
1589645003164, 679405, -2160, -272, 17568
1589645003175, 679416, -2016, -1200, 16480
1589645003186, 679427, -1040, -1744, 16256
1589645003196, 679438, -640, -1840, 16064
1589645003207, 679449, -512, -1120, 14928
1589645003219, 679460, 160, -944, 13376
1589645003229, 679471, 624, -1392, 11328
1589645003240, 679482, 928, -1632, 8480
1589645003251, 679493, 912, -1760, 6144
1589645003263, 679504, 848, -1728, 3856
1589645003273, 679515, 752, -1392, 992
1589645003284, 679526, 848, -1072, -800
1589645003295, 679537, 608, -832, -2544
1589645003306, 679548, 400, -512, -4432
1589645003317, 679559, 416, -320, -5472
1589645003328, 679570, -48, -48, -5744
1589645003339, 679581, -256, 176, -5264
1589645003350, 679592, -352, 640, -4944
1589645003360, 679603, -400, 880, -5008
1589645003373, 679614, -256, 1008, -5104
1589645003383, 679625, -272, 720, -5088
1589645003394, 679636, 48, 528, -4768
1589645003405, 679647, 288, 288, -4672
1589645003415, 679658, 672, 32, -4464
1589645003427, 679669, 736, -112, -4432
1589645003437, 679680, 832, -528, -3792
1589645003449, 679691, 944, -1216, -3056
1589645003460, 679702, 1040, -1648, -2896
1589645003471, 679713, 1376, -1744, -2304
1589645003482, 679724, 1664, -1376, 64
1589645003493, 679735, 1712, -1616, 3344
1589645003504, 679746, 2672, -2992, 7088
1589645003515, 679757, 3280, -3104, 13184
1589645003526, 679768, 3440, -2416, 23552
1589645003537, 679779, 2624, -3040, 29088
1589645003548, 679790, 1904, -2336, 32320
1589645003559, 679801, 384, 1312, 32640
1589645003570, 679812, -304, 2640, 32640
1589645003581, 679823, -960, 2960, 31904
1589645003593, 679834, -1680, 2192, 28384
1589645003604, 679845, -1696, 1136, 25408
1589645003615, 679856, -1744, 976, 22784
1589645003625, 679867, -1440, 112, 19456
1589645003636, 679878, -1280, -576, 18000
1589645003646, 679889, 16, -480, 17776
1589645003658, 679900, 240, -16, 17696
1589645003669, 679911, 400, 352, 16768
1589645003680, 679922, 1376, 320, 15104
1589645003691, 679933, 1888, -176, 13136
1589645003703, 679944, 1936, -544, 10000
1589645003713, 679955, 2544, -1024, 6880
1589645003724, 679966, 2768, -1872, 3728
1589645003735, 679977, 2576, -2416, 1104
1589645003746, 679988, 2288, -2288, 288
1589645003757, 679999, 1744, -1584, -112
1589645003768, 680010, 1392, -832, -1344
1589645003779, 680021, 1392, -224, -2896
1589645003790, 680032, 800, 0, -4400
1589645003801, 680043, 448, 128, -5792
1589645003812, 680054, 320, 368, -6032
1589645003822, 680065, 32, 640, -6096
1589645003834, 680076, 0, 1104, -5984
1589645003845, 680087, 48, 1024, -5568
1589645003856, 680098, 32, 1104, -5360
1589645003867, 680109, -32, 1200, -5152
1589645003878, 680120, 16, 1360, -4912
1589645003889, 680131, -32, 1328, -5328
1589645003900, 680142, 80, 1504, -5344
1589645003911, 680153, 256, 1328, -4864
1589645003922, 680164, 400, 848, -4336
1589645003932, 680175, 512, 400, -3536
1589645003944, 680186, 704, -496, -2160
1589645003955, 680197, 720, -1904, -1200
1589645003967, 680208, 1184, -2624, -496
1589645003977, 680219, 1424, -2928, 32
1589645003987, 680230, 1600, -2512, 496
1589645003999, 680241, 2576, -2256, 1600
1589645004010, 680252, 3824, -4432, 4032
1589645004021, 680263, 4624, -5760, 8512
1589645004031, 680274, 4464, -3984, 12704
1589645004043, 680285, 3856, -2432, 15600
1589645004054, 680296, 4720, -4320, 17104
1589645004065, 680307, 5904, -5648, 19984
1589645004076, 680318, 6688, -5664, 24896
1589645004088, 680329, 6352, -4064, 30256
1589645004098, 680340, 5984, -3376, 30624
1589645004109, 680351, 3216, -2368, 28976
1589645004120, 680362, 2832, -272, 26976
1589645004131, 680373, 2800, 1536, 26752
1589645004142, 680384, 1296, 2064, 26400
1589645004152, 680395, 240, 1872, 25072
1589645004164, 680406, 96, 944, 22320
1589645004175, 680417, 160, -912, 20032
1589645004186, 680428, 432, -2432, 19008
1589645004197, 680439, 592, -3424, 19184
1589645004208, 680450, 720, -3440, 18992
1589645004219, 680461, 640, -2368, 18432
1589645004231, 680472, 912, -1936, 16912
1589645004241, 680483, 1504, -1696, 15888
1589645004252, 680494, 1760, -1504, 14656
1589645004263, 680505, 1920, -960, 12864
1589645004274, 680516, 1856, -992, 10704
1589645004285, 680527, 2240, -1168, 8208
1589645004297, 680538, 2512, -1520, 5856
1589645004308, 680549, 2544, -1552, 3360
1589645004318, 680560, 2400, -1056, 1648
1589645004329, 680571, 2304, -1008, -96
1589645004341, 680582, 2192, -1120, -2144
1589645004351, 680593, 1760, -768, -2528
1589645004363, 680604, 1248, -192, -1648
1589645004373, 680615, 1008, 992, -2464
1589645004385, 680626, 608, 1328, -3728
1589645004395, 680637, 176, 1184, -4256
1589645004407, 680648, 0, 800, -5184
1589645004417, 680659, -16, 176, -6576
1589645004427, 680670, -240, -16, -7712
1589645004439, 680681, -256, 256, -8192
1589645004450, 680692, -272, 704, -7840
1589645004461, 680703, -48, 1024, -7040
1589645004472, 680714, 208, 944, -6048
1589645004483, 680725, 720, 512, -4896
1589645004494, 680736, 960, 96, -3904
