Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589644669901, 346138, 7504, -592, -2688
1589644669912, 346149, 7168, -1216, -3008
1589644669923, 346160, 7248, -1616, -3008
1589644669934, 346171, 7328, -1616, -2976
1589644669945, 346182, 7472, -1456, -3424
1589644669956, 346193, 7344, -1376, -3520
1589644669966, 346204, 7328, -2064, -3536
1589644669978, 346215, 7680, -2384, -2976
1589644669989, 346226, 7360, -2768, -3040
1589644670000, 346237, 7712, -2448, -3248
1589644670011, 346248, 7568, -1216, -3184
1589644670021, 346259, 7360, -400, -2928
1589644670032, 346270, 7104, 208, -3040
1589644670043, 346281, 7072, -496, -2512
1589644670055, 346292, 7024, -1680, -2144
1589644670066, 346303, 6912, -2768, -2928
1589644670077, 346314, 7040, -3344, -3904
1589644670088, 346325, 8352, -2672, -4208
1589644670099, 346336, 8368, -2512, -4272
1589644670110, 346347, 8320, -3312, -3984
1589644670121, 346358, 8096, -3648, -4640
1589644670132, 346369, 7952, -3840, -4736
1589644670142, 346380, 8368, -4288, -3808
1589644670153, 346391, 8736, -4128, -3776
1589644670165, 346402, 8464, -3328, -3952
1589644670176, 346413, 8112, -3984, -3968
1589644670187, 346424, 8096, -4928, -4064
1589644670198, 346435, 8944, -4880, -3760
1589644670209, 346446, 8880, -4176, -4224
1589644670219, 346457, 8624, -5536, -5248
1589644670231, 346468, 8672, -6304, -6064
1589644670242, 346479, 8720, -6448, -5456
1589644670253, 346490, 8704, -6224, -5264
1589644670264, 346501, 8496, -5376, -4608
1589644670275, 346512, 8880, -4336, -3632
1589644670286, 346523, 8720, -2256, -3600
1589644670297, 346534, 8512, -1328, -3776
1589644670307, 346545, 8256, -1952, -4192
1589644670320, 346556, 8224, -3568, -5632
1589644670329, 346567, 8288, -4416, -6528
1589644670341, 346578, 7936, -5648, -6656
1589644670352, 346589, 7808, -5856, -5120
1589644670363, 346600, 7504, -4960, -4048
1589644670374, 346611, 6912, -4144, -3168
1589644670385, 346622, 6208, -2560, -2272
1589644670395, 346633, 6224, -400, -528
1589644670406, 346644, 6688, 1568, -336
1589644670417, 346655, 5936, 2896, -112
1589644670429, 346666, 5072, 1216, -64
1589644670439, 346677, 4480, -256, -576
1589644670451, 346688, 3984, -1152, -992
1589644670462, 346699, 3408, -2048, -1616
1589644670473, 346710, 3376, -1936, -1760
1589644670484, 346721, 3296, -1056, -1248
1589644670495, 346732, 3040, -448, -496
1589644670505, 346743, 3024, -208, -256
1589644670516, 346754, 3040, 368, -48
1589644670527, 346765, 2448, 544, 256
1589644670539, 346776, 2352, 144, 1744
1589644670550, 346787, 2416, -560, 2752
1589644670560, 346798, 2592, -832, 2848
1589644670572, 346809, 3136, -1200, 2624
1589644670583, 346820, 3232, -1424, 2000
1589644670593, 346831, 3168, -1008, 1280
1589644670604, 346842, 3440, -1280, 912
1589644670615, 346853, 4256, -1328, 784
1589644670627, 346864, 3952, -1616, 592
1589644670638, 346875, 3232, -2416, -144
1589644670648, 346886, 3280, -3072, -592
1589644670659, 346897, 2032, -3072, -944
1589644670670, 346908, 1600, -3328, 112
1589644670682, 346919, 1712, -3280, 3072
1589644670693, 346930, 4864, -2176, 4992
1589644670704, 346941, 6288, -640, 5200
1589644670714, 346952, 7104, 336, 3664
1589644670725, 346963, 7072, 640, 2112
1589644670737, 346974, 6576, 544, 1008
1589644670748, 346985, 6368, -1680, 800
1589644670759, 346996, 4608, -608, 400
1589644670770, 347007, 4000, -880, 1440
1589644670780, 347018, 5136, -1472, 4800
1589644670791, 347029, 5520, -752, 6432
1589644670802, 347040, 6688, -976, 7312
1589644670814, 347051, 8288, -1632, 7120
1589644670824, 347062, 8848, -656, 7216
1589644670835, 347073, 11968, 1168, 6784
1589644670847, 347084, 12656, 2800, 7360
1589644670858, 347095, 13376, 3088, 8288
1589644670869, 347106, 13168, 2864, 7968
1589644670880, 347117, 13536, 2576, 8080
1589644670890, 347128, 14096, 2592, 8848
1589644670902, 347139, 14192, 2608, 10304
1589644670912, 347150, 17344, 2608, 11680
1589644670924, 347161, 19776, 1648, 12560
1589644670935, 347172, 20304, 1472, 12624
1589644670946, 347183, 24288, 2352, 12992
1589644670957, 347194, 26128, 3328, 13680
1589644670967, 347205, 26352, 3552, 14000
1589644670979, 347216, 26768, 2912, 13344
1589644670989, 347227, 27232, 1792, 12976
1589644671001, 347238, 26896, 1424, 12496
1589644671012, 347249, 27264, 288, 12128
1589644671024, 347260, 27072, -352, 11808
1589644671035, 347271, 26928, -1296, 12096
1589644671046, 347282, 27040, -1328, 12096
1589644671056, 347293, 27968, -592, 12544
1589644671067, 347304, 28288, -144, 13488
1589644671077, 347315, 28432, -240, 14528
1589644671089, 347326, 27456, -1296, 14832
1589644671100, 347337, 26208, -3360, 13792
1589644671111, 347348, 26048, -4880, 11920
1589644671122, 347359, 24832, -4736, 10672
1589644671133, 347370, 23712, -4176, 10144
1589644671144, 347381, 22560, -2400, 10016
1589644671154, 347392, 21296, -1184, 10112
1589644671165, 347403, 20656, -1888, 10624
1589644671177, 347414, 19792, -3280, 10656
1589644671188, 347425, 19456, -4112, 11088
1589644671199, 347436, 16640, -3872, 12352
1589644671210, 347447, 15888, -3312, 12784
1589644671221, 347458, 15824, -2384, 12176
1589644671232, 347469, 14608, -1824, 10624
1589644671243, 347480, 15088, -1520, 8192
1589644671253, 347491, 13904, -64, 5408
1589644671264, 347502, 12336, 1296, 6096
1589644671276, 347513, 11824, 832, 7744
1589644671287, 347524, 11648, 432, 7168
1589644671297, 347535, 11840, 64, 4592
1589644671309, 347546, 11520, 240, 2416
1589644671320, 347557, 9872, 1616, 1936
1589644671331, 347568, 10000, -576, -1808
1589644671342, 347579, 11184, -1648, -6544
1589644671353, 347590, 8112, -4128, -13328
1589644671364, 347601, 7104, -5504, -13216
1589644671375, 347612, 3728, -6256, -8784
1589644671386, 347623, 3824, -5568, -3712
1589644671397, 347634, 2320, -3264, 496
1589644671408, 347645, 1584, -2400, 2080
1589644671418, 347656, 944, -2640, 2320
1589644671429, 347667, -144, -2512, 1824
1589644671441, 347678, -736, -2128, 2176
1589644671452, 347689, -896, -1232, 3296
1589644671463, 347700, -944, 176, 4512
1589644671473, 347711, -848, 1840, 4624
1589644671485, 347722, -1264, 1920, 3472
1589644671496, 347733, -1392, 1936, 2512
1589644671507, 347744, -1536, 2000, 1520
1589644671518, 347755, -2000, 1376, 1504
1589644671528, 347766, -2064, 656, 2304
1589644671539, 347777, -2592, 800, 3216
1589644671550, 347788, -2768, 800, 4400
1589644671562, 347799, -3136, 592, 5840
1589644671573, 347810, -4128, -624, 6288
1589644671584, 347821, -4704, -2656, 5936
1589644671595, 347832, -5120, -4208, 5840
1589644671606, 347843, -5008, -4672, 6336
1589644671616, 347854, -4816, -4640, 6112
1589644671628, 347865, -4368, -3552, 5840
1589644671640, 347876, -4240, -2608, 5840
1589644671650, 347887, -4288, -1712, 5952
1589644671661, 347898, -4560, -1392, 4752
1589644671673, 347909, -4912, -1664, 4272
1589644671684, 347920, -4640, -1920, 5488
1589644671694, 347931, -4656, -1264, 6368
1589644671705, 347942, -4480, -592, 7200
1589644671716, 347953, -4544, -464, 7648
1589644671727, 347964, -4672, -1024, 7648
1589644671738, 347975, -4368, -2000, 7104
1589644671749, 347986, -4640, -2272, 5856
1589644671760, 347997, -4752, -1712, 5888
1589644671772, 348008, -4608, -1024, 5856
1589644671783, 348019, -4640, -784, 5888
1589644671793, 348030, -4656, -1408, 6144
1589644671804, 348041, -4496, -2208, 5936
1589644671815, 348052, -4864, -2432, 5920
1589644671826, 348063, -5088, -2208, 6448
1589644671837, 348074, -4544, -1360, 7200
1589644671848, 348085, -4448, -1008, 7120
1589644671859, 348096, -4896, -192, 6400
1589644671870, 348107, -4864, -944, 5936
1589644671881, 348118, -4848, -1712, 5872
1589644671892, 348129, -4816, -2288, 6592
1589644671903, 348140, -4752, -2320, 6912
1589644671914, 348151, -4704, -2784, 7424
