Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663467330, 252887, 3088, 4640, 5600
1589663467361, 252918, 3072, 4624, 5520
1589663467391, 252948, 3040, 4688, 5552
1589663467421, 252978, 3120, 4640, 5440
1589663467451, 253008, 3056, 4640, 5488
1589663467481, 253038, 3056, 4640, 5568
1589663467512, 253069, 3072, 4672, 5520
1589663467542, 253099, 3040, 4704, 5520
1589663467572, 253129, 3056, 4592, 5552
1589663467602, 253159, 3088, 4480, 5664
1589663467632, 253189, 3200, 4496, 5520
1589663467662, 253220, 3136, 4544, 5584
1589663467693, 253250, 3104, 4560, 5568
1589663467722, 253280, 3040, 4560, 5616
1589663467753, 253310, 3056, 4592, 5680
1589663467784, 253340, 3088, 4592, 5600
1589663467813, 253371, 3008, 4688, 5584
1589663467843, 253401, 3088, 4640, 5616
1589663467874, 253431, 3136, 4592, 5632
1589663467904, 253461, 3120, 4560, 5536
1589663467934, 253491, 3072, 4656, 5600
1589663467964, 253522, 3104, 4576, 5712
1589663467994, 253552, 3040, 4544, 5600
1589663468025, 253582, 3184, 4528, 5456
1589663468055, 253612, 3200, 4592, 5536
1589663468085, 253643, 3200, 4560, 5600
1589663468116, 253673, 3152, 4544, 5632
1589663468145, 253703, 3088, 4512, 5600
1589663468176, 253733, 3088, 4528, 5504
1589663468207, 253763, 3072, 4688, 5408
1589663468237, 253794, 3088, 4656, 5568
1589663468266, 253824, 3200, 4544, 5616
1589663468297, 253854, 3120, 4592, 5616
1589663468327, 253884, 3024, 4720, 5680
1589663468358, 253914, 3072, 4704, 5664
1589663468388, 253945, 3120, 4608, 5584
1589663468417, 253975, 3136, 4592, 5584
1589663468447, 254005, 3104, 4544, 5440
1589663468478, 254035, 3008, 4672, 5440
1589663468509, 254065, 3120, 4576, 5552
1589663468539, 254096, 3152, 4480, 5632
1589663468569, 254126, 3072, 4608, 5808
1589663468599, 254156, 3120, 4736, 5472
1589663468629, 254186, 3056, 4704, 5328
1589663468659, 254216, 3088, 4592, 5584
1589663468689, 254247, 3200, 4608, 5568
1589663468720, 254277, 3024, 4640, 5552
1589663468750, 254307, 2992, 4672, 5568
1589663468780, 254337, 3104, 4576, 5616
1589663468811, 254368, 3136, 4480, 5584
1589663468841, 254398, 3056, 4640, 5504
1589663468870, 254428, 3040, 4624, 5504
1589663468901, 254458, 3120, 4544, 5568
1589663468931, 254488, 3088, 4592, 5632
1589663468961, 254519, 2976, 4752, 5536
1589663468992, 254549, 2912, 4800, 5568
1589663469022, 254579, 3024, 4688, 5520
1589663469052, 254609, 3040, 4608, 5568
1589663469082, 254639, 3040, 4640, 5552
1589663469112, 254670, 2960, 4656, 5648
1589663469143, 254700, 3008, 4704, 5472
1589663469173, 254730, 3024, 4624, 5520
1589663469203, 254760, 3072, 4592, 5440
1589663469233, 254790, 3040, 4576, 5488
1589663469263, 254821, 3152, 4640, 5584
1589663469294, 254851, 3200, 4576, 5568
1589663469324, 254881, 3152, 4496, 5648
1589663469354, 254911, 3008, 4640, 5600
1589663469384, 254941, 3008, 4784, 5488
1589663469414, 254972, 3008, 4752, 5440
1589663469445, 255002, 3040, 4720, 5456
1589663469475, 255032, 3088, 4688, 5424
1589663469505, 255062, 2992, 4704, 5440
1589663469535, 255093, 3072, 4672, 5424
1589663469565, 255123, 3088, 4640, 5568
1589663469596, 255153, 3072, 4640, 5504
1589663469626, 255183, 3008, 4688, 5632
1589663469657, 255213, 2896, 4656, 5600
1589663469686, 255244, 3008, 4720, 5728
1589663469716, 255274, 3072, 4784, 5696
1589663469746, 255304, 2800, 4800, 5680
1589663469777, 255334, 2912, 4640, 5504
1589663469808, 255364, 3008, 4672, 5488
1589663469838, 255395, 2960, 4720, 5568
1589663469868, 255425, 2896, 4704, 5584
1589663469898, 255455, 3008, 4656, 5568
1589663469928, 255485, 3088, 4688, 5552
1589663469959, 255515, 3104, 4704, 5616
1589663469989, 255546, 2960, 4688, 5504
1589663470018, 255576, 2944, 4816, 5424
1589663470048, 255606, 2992, 4800, 5488
1589663470079, 255636, 2928, 4880, 5648
1589663470110, 255666, 2912, 4912, 5568
1589663470140, 255697, 2928, 4800, 5312
1589663470170, 255727, 2944, 4736, 5408
1589663470200, 255757, 2976, 4768, 5488
1589663470230, 255787, 3088, 4688, 5584
1589663470260, 255818, 2944, 4736, 5520
1589663470290, 255848, 3072, 4672, 5456
1589663470320, 255878, 3104, 4624, 5584
1589663470351, 255908, 3088, 4528, 5536
