Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663268800, 54354, 928, -1840, 7760
1589663268830, 54384, 1024, -1936, 7744
1589663268859, 54414, 992, -1872, 7808
1589663268889, 54443, 1072, -1952, 7776
1589663268919, 54473, 1136, -2064, 7936
1589663268950, 54503, 1200, -2128, 7856
1589663268980, 54534, 1296, -2176, 8016
1589663269010, 54564, 1232, -2192, 7744
1589663269040, 54594, 1040, -2192, 7408
1589663269070, 54624, 880, -2352, 7408
1589663269099, 54653, 880, -2944, 7728
1589663269129, 54683, 1184, -3728, 8048
1589663269158, 54713, 704, -4176, 7760
1589663269188, 54742, 608, -4720, 7600
1589663269217, 54771, 1088, -5376, 7856
1589663269248, 54801, 1168, -6112, 7936
1589663269278, 54832, 4160, -6368, 7856
1589663269308, 54862, 4912, -4944, 7984
1589663269338, 54892, 4896, -2768, 8512
1589663269367, 54922, 4816, -480, 8832
1589663269396, 54951, 4016, 1904, 9600
1589663269426, 54981, 2416, 3600, 9136
1589663269455, 55010, 2912, 3632, 8208
1589663269484, 55039, 3440, 4512, 7808
1589663269513, 55068, 1904, 6896, 7312
1589663269543, 55097, 1200, 7456, 6240
1589663269572, 55126, 1136, 7680, 6160
1589663269601, 55156, 3344, 8032, 7168
1589663269630, 55185, 4560, 8608, 8144
1589663269659, 55214, 4432, 9696, 9072
1589663269689, 55243, 5184, 10176, 9744
1589663269719, 55273, 6432, 9936, 9632
1589663269747, 55302, 8080, 9712, 9440
1589663269778, 55332, 10576, 9424, 8032
1589663269808, 55362, 12448, 9856, 6560
1589663269839, 55392, 17296, 11904, 8784
1589663269871, 55423, 32576, -9488, 13280
1589663269905, 55456, 32608, -21552, 12640
1589663269937, 55489, 13072, -15472, 2672
1589663269967, 55521, 6368, -9504, 4800
1589663269997, 55551, 6064, -7120, 4736
1589663270027, 55582, 2832, -2336, 8304
1589663270055, 55612, 320, 352, 7424
1589663270082, 55639, 1344, 96, 6960
1589663270110, 55666, 1664, 208, 8528
1589663270139, 55694, 1632, -384, 9344
1589663270166, 55723, 1120, 48, 7776
1589663270193, 55750, 304, 656, 6832
1589663270221, 55777, 704, 112, 7744
1589663270250, 55804, 1440, -528, 8448
1589663270279, 55834, 1264, -208, 8384
1589663270307, 55863, 1152, 320, 8240
1589663270334, 55891, 576, 560, 8432
1589663270362, 55918, 576, 480, 8048
1589663270389, 55945, 720, 480, 7728
1589663270416, 55972, 720, 272, 7696
1589663270443, 55999, 640, 288, 8000
1589663270470, 56026, 608, 368, 7984
1589663270496, 56053, 912, 176, 8144
1589663270522, 56081, 944, 64, 8336
1589663270549, 56107, 1008, 32, 8576
1589663270576, 56134, 864, 144, 8256
1589663270604, 56161, 304, 336, 8224
1589663270630, 56188, 992, 80, 8480
