Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663400898, 186455, -4160, 96, 6032
1589663400928, 186484, -4352, 448, 5440
1589663400959, 186515, -4576, 1088, 4672
1589663400991, 186546, -5152, 2480, 4752
1589663401023, 186577, -5280, 3360, 5008
1589663401054, 186608, -4944, 3664, 4624
1589663401084, 186640, -3920, 3872, 4160
1589663401116, 186671, -3232, 4848, 3568
1589663401147, 186702, -3168, 6448, 2864
1589663401179, 186733, -2016, 7568, 2256
1589663401209, 186765, -1696, 8416, 1664
1589663401240, 186796, -1072, 9280, 1616
1589663401271, 186827, -944, 9920, 1200
1589663401300, 186857, 48, 10768, 2736
1589663401332, 186886, -112, 12544, 3392
1589663401363, 186918, -832, 13504, 2336
1589663401395, 186949, -1008, 12720, 2224
1589663401426, 186981, -960, 12128, 464
1589663401456, 187011, -656, 12240, 416
1589663401487, 187042, -1232, 11792, 640
1589663401518, 187073, -1280, 11536, 672
1589663401550, 187104, -1888, 10512, 1072
1589663401581, 187136, -1856, 8592, 896
1589663401612, 187167, -2064, 7488, 1728
1589663401643, 187198, -2064, 7056, 1696
1589663401676, 187229, -3936, 7408, -1056
1589663401707, 187261, -5056, 8192, -3248
1589663401740, 187294, -5872, 8720, -4320
1589663401772, 187326, -5536, 8336, -5168
1589663401805, 187358, -4656, 8032, -5584
1589663401837, 187391, -5184, 8272, -6448
1589663401869, 187423, -4032, 7984, -5616
1589663401902, 187455, -3968, 7936, -5520
1589663401932, 187487, -672, 7680, -4864
1589663401963, 187519, 1936, 6720, -3536
1589663401995, 187550, 4768, 4384, -2816
1589663402023, 187581, 7552, 1760, 48
1589663402053, 187609, 6096, 1776, -112
1589663402085, 187640, 12992, 880, -1472
1589663402116, 187671, 17840, -1904, 240
1589663402148, 187702, 18480, -8304, -480
1589663402181, 187734, 27840, -17440, 1072
1589663402213, 187768, 26192, -17920, 384
1589663402248, 187800, 24800, -11664, -896
1589663402280, 187833, 27216, -9392, -208
1589663402311, 187866, 31200, -5280, 3824
1589663402343, 187898, 32640, 2768, 8240
1589663402376, 187929, 32112, 15136, 11456
1589663402410, 187962, 31760, 32496, 17152
1589663402442, 187996, 26032, 27856, 6592
1589663402475, 188028, 27328, 32608, 4144
1589663402508, 188060, -2752, 32640, -2128
1589663402540, 188094, -3584, 29040, 1472
1589663402573, 188126, -1264, 15264, 10208
1589663402605, 188159, -192, 15872, 4400
1589663402637, 188191, -464, 15760, -6832
1589663402667, 188223, 208, 12672, -144
1589663402699, 188253, -1072, 12640, 3008
1589663402732, 188285, -2352, 13120, 1872
1589663402764, 188318, -2480, 10720, -112
1589663402793, 188350, 1264, 7904, 944
1589663402823, 188379, 1120, 6752, 2464
1589663402854, 188409, -368, 7328, 1168
1589663402883, 188440, -864, 7408, -32
1589663402912, 188469, -608, 7440, 496
1589663402942, 188498, -384, 7424, 1568
1589663402972, 188528, -528, 7312, 1808
1589663403002, 188558, -400, 7600, 1312
1589663403033, 188589, -752, 7824, 2144
1589663403063, 188619, -496, 7136, 2320
1589663403093, 188649, -384, 6480, 1200
1589663403122, 188679, -256, 6640, -96
1589663403152, 188708, -288, 7408, 1552
1589663403184, 188739, -1408, 8128, 2144
