Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663769919, 555480, -1600, -128, 7984
1589663769950, 555512, -1632, -128, 8000
1589663769982, 555543, -1536, -128, 7952
1589663770013, 555574, -1568, -128, 7936
1589663770044, 555605, -1584, -128, 8032
1589663770074, 555637, -1568, -64, 7968
1589663770104, 555667, -1616, -64, 7968
1589663770136, 555697, -1616, -128, 7968
1589663770166, 555728, -1664, -96, 7952
1589663770196, 555758, -1664, -96, 7856
1589663770226, 555789, -1680, -32, 7984
1589663770257, 555819, -1600, -80, 8000
1589663770288, 555849, -1584, -112, 8016
1589663770318, 555880, -1664, -64, 7968
1589663770347, 555911, -1728, 16, 8000
1589663770378, 555940, -1616, -144, 8000
1589663770410, 555971, -1504, -240, 7984
1589663770440, 556002, -1632, -32, 7968
1589663770469, 556032, -1744, 16, 7984
1589663770499, 556062, -1552, -80, 8336
1589663770531, 556092, -1472, -272, 8368
1589663770562, 556123, -1728, -448, 8848
1589663770594, 556154, -2080, -192, 10320
1589663770625, 556187, -2800, 240, 11456
1589663770656, 556218, -2576, 272, 12320
1589663770688, 556249, -3216, 496, 11232
1589663770718, 556280, -3424, 48, 10368
1589663770749, 556311, -3792, -256, 9104
1589663770781, 556342, -3952, -480, 8704
1589663770811, 556373, -4064, 112, 7616
1589663770840, 556403, -4576, -48, 7024
1589663770870, 556433, -4352, 48, 5056
1589663770900, 556463, -4656, 368, 4000
1589663770931, 556493, -4608, 592, 2944
1589663770959, 556523, -4672, 992, 512
1589663770991, 556552, -4896, 1584, -1136
1589663771024, 556584, -4128, 1456, -2064
1589663771057, 556617, -4688, 1392, -3600
1589663771089, 556649, -5344, 1952, -4096
1589663771121, 556681, -5280, 1936, -5008
1589663771154, 556714, -5136, 1616, -4800
1589663771186, 556746, -5712, 1840, -4272
1589663771217, 556778, -6448, 2032, -4144
1589663771250, 556811, -6512, 2224, -3872
1589663771283, 556843, -6688, 2256, -3120
1589663771314, 556875, -6720, 2336, -3360
1589663771347, 556907, -6800, 2304, -3344
1589663771379, 556940, -6976, 2592, -3440
1589663771412, 556972, -6672, 2272, -3360
1589663771444, 557004, -6704, 2240, -3808
1589663771476, 557037, -6720, 2256, -4096
1589663771508, 557069, -6272, 2048, -3760
1589663771541, 557101, -6688, 2256, -3872
1589663771573, 557133, -6432, 2272, -3920
1589663771606, 557166, -6272, 2080, -3952
1589663771638, 557198, -6576, 2288, -3840
1589663771670, 557230, -6640, 2256, -3808
1589663771703, 557263, -6448, 2112, -3872
1589663771735, 557295, -6528, 2256, -3840
1589663771767, 557327, -6560, 2320, -3904
1589663771799, 557359, -6576, 2272, -4240
1589663771832, 557392, -6496, 2304, -3984
1589663771864, 557424, -6512, 2112, -3904
1589663771896, 557456, -6160, 2032, -3984
1589663771929, 557489, -6464, 2240, -3952
1589663771961, 557521, -6432, 2256, -4000
1589663771993, 557553, -6352, 2080, -4240
1589663772026, 557586, -6368, 2256, -4080
1589663772057, 557618, -6496, 2176, -4032
1589663772089, 557650, -6496, 2112, -3984
1589663772122, 557682, -6416, 2224, -3920
1589663772154, 557715, -6496, 2336, -3872
1589663772186, 557747, -6400, 2240, -4160
1589663772218, 557779, -6304, 2112, -4192
1589663772251, 557812, -6288, 2128, -3984
1589663772283, 557844, -6400, 2176, -3904
1589663772315, 557876, -6368, 2128, -4032
1589663772348, 557908, -6368, 2112, -4016
1589663772380, 557941, -6368, 2080, -3936
1589663772413, 557973, -6304, 2144, -4000
1589663772445, 558005, -6544, 2176, -4000
1589663772478, 558038, -6448, 2128, -4144
1589663772510, 558070, -6544, 2128, -3904
1589663772542, 558102, -6512, 2160, -3792
1589663772574, 558134, -6448, 2144, -4112
1589663772606, 558167, -6400, 2160, -3904
1589663772639, 558199, -6560, 2192, -3952
1589663772671, 558231, -6288, 2064, -4096
1589663772703, 558264, -6496, 2064, -4080
1589663772736, 558296, -6560, 2192, -3872
1589663772768, 558328, -6352, 2128, -3664
1589663772800, 558361, -6224, 2112, -3888
1589663772833, 558393, -6432, 2048, -4144
1589663772865, 558425, -6448, 2016, -3920
1589663772897, 558457, -6480, 2096, -3840
1589663772930, 558490, -6544, 2112, -3824
1589663772962, 558522, -6640, 2256, -3920
1589663772994, 558554, -6720, 2336, -3760
1589663773026, 558587, -6640, 2224, -3856
1589663773059, 558619, -6672, 2224, -3760
1589663773090, 558651, -6528, 2160, -3920
1589663773123, 558683, -6464, 2048, -4016
1589663773156, 558716, -6432, 2016, -3792
1589663773188, 558748, -6480, 2128, -3888
1589663773220, 558780, -6480, 2176, -3808
1589663773252, 558813, -6416, 2016, -4128
1589663773285, 558845, -6400, 2000, -3904
1589663773317, 558877, -6576, 2192, -3840
1589663773349, 558909, -6640, 2192, -3728
1589663773382, 558942, -6512, 2112, -3936
1589663773414, 558974, -6544, 2096, -3776
1589663773446, 559006, -6544, 2112, -3712
1589663773479, 559039, -6320, 2064, -3600
1589663773511, 559071, -6352, 2000, -3856
1589663773543, 559103, -6688, 2080, -3920
1589663773576, 559136, -6544, 2144, -3872
1589663773607, 559168, -6496, 2256, -3888
1589663773640, 559200, -6416, 2224, -3824
1589663773672, 559232, -6624, 2320, -3776
1589663773705, 559265, -6560, 2304, -3456
1589663773737, 559297, -6736, 2352, -3824
