Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663282421, 67979, 32, 544, 8016
1589663282447, 68006, 32, 480, 7920
1589663282473, 68032, 96, 528, 7904
1589663282500, 68058, 128, 640, 7984
1589663282528, 68085, -64, 864, 8000
1589663282557, 68112, -368, 1344, 7760
1589663282586, 68141, -912, 2192, 8352
1589663282616, 68170, -1152, 3312, 8944
1589663282646, 68200, -1056, 3968, 9328
1589663282673, 68231, 48, 4096, 9792
1589663282701, 68258, 608, 3968, 9568
1589663282729, 68286, 848, 4144, 9568
1589663282757, 68314, 832, 4784, 9936
1589663282787, 68342, 432, 5344, 10224
1589663282815, 68371, 416, 5872, 9744
1589663282843, 68399, 752, 4816, 9504
1589663282872, 68427, 2048, 3296, 8416
1589663282901, 68457, 2448, 2528, 8288
1589663282930, 68486, 4672, 1408, 7264
1589663282958, 68515, 5648, 896, 5344
1589663282988, 68543, 5664, -320, 3216
1589663283019, 68572, 5792, -1904, 3040
1589663283049, 68602, 7648, -5296, 2768
1589663283078, 68633, 8176, -9680, 992
1589663283107, 68662, 8176, -13680, 32
1589663283137, 68691, 9152, -16016, 448
1589663283167, 68721, 11216, -18336, 80
1589663283200, 68751, 13424, -17648, -496
1589663283232, 68784, 12864, -14496, -720
1589663283264, 68816, 13440, -11712, 2240
1589663283297, 68848, 13424, -10128, 6336
1589663283328, 68880, 17008, -9136, 9136
1589663283360, 68912, 19648, -6784, 11024
1589663283393, 68944, 19936, -2992, 15376
1589663283424, 68976, 21344, 1600, 14240
1589663283455, 69008, 21536, 7568, 11264
1589663283487, 69039, 21008, 19168, 17232
1589663283519, 69071, 19872, 24176, 11312
1589663283549, 69103, -240, 19152, 9760
1589663283578, 69134, 3632, 9376, 6848
1589663283608, 69163, 3152, 3792, 4304
1589663283637, 69192, 3808, 4480, 5424
1589663283666, 69221, 3568, 5632, 9072
1589663283695, 69250, -416, 5200, 8464
1589663283724, 69279, 480, 2960, 7936
1589663283752, 69308, 2272, 384, 8256
1589663283780, 69336, 1424, 560, 8128
1589663283808, 69364, 160, 1168, 7728
1589663283836, 69392, 144, 1296, 8448
1589663283863, 69420, 576, 160, 8064
1589663283891, 69447, 624, -560, 8032
1589663283920, 69475, 768, -272, 7680
1589663283946, 69503, 768, 144, 7920
1589663283972, 69530, 496, 48, 8304
1589663284000, 69557, 448, -256, 8992
1589663284029, 69585, 320, -176, 8416
1589663284056, 69613, 448, 128, 7744
1589663284083, 69640, 416, -16, 8224
1589663284111, 69667, 928, -448, 7712
1589663284139, 69695, 624, -240, 8144
1589663284165, 69723, 80, 288, 8192
