Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663431680, 217235, -5232, 2944, 5328
1589663431711, 217267, -5248, 2784, 5552
1589663431743, 217298, -5184, 2944, 5664
1589663431773, 217329, -5040, 3056, 5760
1589663431805, 217360, -5248, 3184, 5712
1589663431836, 217392, -5312, 3024, 5728
1589663431867, 217423, -5024, 3024, 5568
1589663431898, 217454, -5040, 3056, 5584
1589663431929, 217485, -5040, 2976, 5360
1589663431961, 217517, -4960, 2800, 5264
1589663431992, 217548, -4896, 2736, 5280
1589663432023, 217579, -4880, 2736, 5280
1589663432055, 217610, -4912, 2672, 5280
1589663432086, 217642, -5056, 2880, 5296
1589663432117, 217673, -5040, 2928, 5360
1589663432148, 217704, -5136, 3024, 5520
1589663432180, 217735, -4960, 2944, 5552
1589663432211, 217767, -4976, 2816, 5424
1589663432243, 217798, -4928, 2752, 5360
1589663432273, 217829, -4832, 2704, 5424
1589663432305, 217860, -4864, 2768, 5440
1589663432336, 217892, -4816, 2912, 5328
1589663432367, 217923, -4960, 2832, 5280
1589663432399, 217954, -4976, 2896, 5280
1589663432430, 217985, -5104, 3008, 5344
1589663432461, 218017, -5280, 3344, 5360
1589663432493, 218048, -5264, 3952, 5680
1589663432524, 218079, -6016, 5344, 6048
1589663432555, 218110, -6512, 6848, 6272
1589663432586, 218142, -6672, 7328, 5840
1589663432617, 218173, -5904, 6608, 5008
1589663432648, 218204, -5568, 6080, 4160
1589663432680, 218235, -5088, 5552, 3360
1589663432711, 218267, -5040, 4704, 2720
1589663432742, 218298, -4096, 3744, 2240
1589663432774, 218329, -3632, 3104, 2048
1589663432805, 218360, -3184, 2448, 2048
1589663432836, 218392, -2544, 1568, 1808
1589663432868, 218423, -2544, 1488, 1840
1589663432898, 218454, -2576, 768, 1888
1589663432928, 218484, -496, -496, 2400
1589663432959, 218515, -368, -1088, 3008
1589663432991, 218546, -128, -1184, 3872
1589663433020, 218577, -64, -1104, 5232
1589663433050, 218607, 192, -336, 5408
1589663433078, 218636, 736, 976, 6336
1589663433107, 218665, 672, 1568, 6912
1589663433137, 218694, 1584, 2384, 8560
1589663433168, 218724, 1776, 3632, 10064
1589663433199, 218755, 1872, 5712, 9600
1589663433229, 218785, 1024, 6176, 9872
1589663433260, 218816, 1632, 7072, 10816
1589663433290, 218847, 928, 8784, 10016
1589663433321, 218877, 1104, 7856, 9520
1589663433352, 218907, 1248, 7056, 10720
1589663433383, 218938, 3488, 8176, 10544
1589663433415, 218970, 3088, 10368, 10528
1589663433448, 219002, 1856, 12368, 10288
1589663433480, 219034, 1824, 11984, 11120
1589663433511, 219067, 2416, 13728, 8528
1589663433543, 219098, 3008, 12432, 7408
1589663433574, 219129, 3952, 11648, 6512
1589663433605, 219160, 2736, 12336, 5360
1589663433636, 219192, 2672, 11872, 4928
1589663433667, 219223, 2304, 10688, 4880
1589663433698, 219254, 1536, 10064, 4352
1589663433729, 219285, 1152, 9280, 3920
1589663433759, 219316, 1056, 8672, 4368
1589663433789, 219346, 1424, 8128, 5168
1589663433818, 219376, -48, 8096, 3616
1589663433849, 219405, -464, 7888, 3936
1589663433878, 219435, -48, 6704, 4592
1589663433908, 219464, -384, 5584, 3840
1589663433939, 219495, -1376, 5376, 3072
1589663433970, 219526, -2096, 4896, 2960
1589663434002, 219557, -2272, 4080, 2768
1589663434033, 219588, -1856, 2944, 2512
1589663434064, 219620, -1632, 2032, 3008
1589663434096, 219651, -1248, 1104, 2640
1589663434126, 219682, -1328, 224, 2832
1589663434157, 219712, -1248, -384, 3344
1589663434189, 219744, -1664, -1072, 3824
1589663434222, 219776, -1856, -2080, 4320
1589663434254, 219808, -2464, -3024, 5904
1589663434286, 219841, -2384, -3760, 6960
1589663434318, 219873, -2880, -3440, 7472
1589663434351, 219905, -3440, -2384, 8336
1589663434383, 219937, -3872, -1248, 8304
1589663434412, 219970, -3888, 32, 8080
1589663434443, 219999, -4208, 544, 8080
1589663434474, 220029, -4416, 1152, 7472
1589663434505, 220060, -4720, 1568, 6912
1589663434536, 220092, -4800, 1776, 6960
1589663434567, 220123, -4288, 1872, 6864
1589663434599, 220154, -4336, 2080, 6912
1589663434630, 220185, -4192, 1920, 6912
1589663434661, 220217, -4192, 1792, 7088
1589663434693, 220248, -3904, 1648, 6896
1589663434724, 220279, -3936, 1664, 6656
1589663434755, 220310, -4016, 1488, 6496
1589663434786, 220342, -3920, 1376, 6592
1589663434817, 220373, -3968, 1184, 6304
1589663434848, 220404, -3952, 1040, 6368
