Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663585699, 371257, -2192, -720, 7568
1589663585730, 371288, -2416, -560, 7568
1589663585762, 371319, -2688, -512, 7712
1589663585792, 371351, -2608, -560, 7904
1589663585824, 371382, -2448, -704, 7984
1589663585855, 371413, -2528, -800, 7696
1589663585886, 371444, -2560, -736, 7824
1589663585917, 371476, -2432, -864, 7776
1589663585949, 371507, -2464, -928, 7664
1589663585980, 371538, -2480, -704, 7664
1589663586011, 371569, -2256, -928, 7424
1589663586043, 371601, -2208, -912, 7520
1589663586074, 371632, -2336, -656, 7616
1589663586105, 371663, -2368, -448, 7344
1589663586136, 371694, -2544, -192, 7312
1589663586167, 371726, -2656, -64, 7312
1589663586195, 371756, -2736, 0, 7776
1589663586226, 371784, -2608, -144, 8288
1589663586257, 371815, -2608, -880, 9136
1589663586291, 371846, -2544, -1264, 10496
1589663586324, 371880, -3216, -1488, 10944
1589663586357, 371913, -2608, -2496, 11504
1589663586390, 371946, -2512, -4144, 11248
1589663586421, 371980, -48, -5200, 10576
1589663586451, 372011, 256, -5584, 9792
1589663586482, 372041, 400, -5392, 9056
1589663586512, 372071, 288, -5104, 8272
1589663586543, 372102, 304, -4736, 6960
1589663586573, 372132, 624, -4512, 5184
1589663586604, 372162, 1040, -3984, 4320
1589663586634, 372193, 944, -3024, 3760
1589663586664, 372223, 96, -1392, 3056
1589663586694, 372253, -592, -304, 2480
1589663586723, 372283, -496, -32, 1744
1589663586750, 372312, 816, 352, 528
1589663586779, 372339, 800, 2416, 1392
1589663586808, 372368, 672, 4416, 1040
1589663586840, 372397, -672, 4880, -1216
1589663586870, 372429, -1456, 8496, 304
1589663586902, 372459, -1536, 11552, 1840
1589663586933, 372491, -3712, 11904, 976
1589663586965, 372522, -4256, 13536, 1840
1589663586998, 372555, -4432, 15184, 2768
1589663587030, 372587, -5648, 15024, 2368
1589663587063, 372619, -5632, 13712, 3632
1589663587095, 372652, -2224, 11696, 4864
1589663587126, 372684, -1984, 9584, 6352
1589663587155, 372715, 1936, 6816, 6384
1589663587186, 372745, 1936, 4240, 6912
1589663587217, 372776, 2416, 2384, 7296
1589663587247, 372806, 4384, -368, 6288
1589663587278, 372836, 3680, -2240, 6048
1589663587309, 372867, 3104, -2464, 6720
1589663587340, 372898, 4016, -4064, 8160
1589663587371, 372930, 4064, -5584, 8192
1589663587403, 372961, 5456, -5072, 9968
1589663587435, 372992, 5472, -4176, 10976
1589663587467, 373025, 5392, -2896, 10832
1589663587498, 373057, 4224, 304, 11712
1589663587529, 373087, 4064, 2368, 12864
1589663587560, 373118, 4192, 3984, 13056
1589663587592, 373150, 3568, 6240, 12896
1589663587623, 373181, 2576, 7728, 12688
1589663587654, 373212, 2704, 8480, 12928
1589663587686, 373243, 2352, 11696, 11616
1589663587717, 373276, 2368, 10672, 9728
1589663587747, 373307, 2512, 8592, 7744
1589663587778, 373337, 3424, 9024, 6176
1589663587808, 373367, 2688, 8128, 4096
1589663587838, 373397, 2256, 7184, 2608
1589663587868, 373428, 1632, 6368, 2928
1589663587898, 373458, 1440, 5184, 2896
1589663587928, 373488, 1360, 4048, 3248
1589663587958, 373518, 976, 3152, 3872
1589663587987, 373547, 576, 3104, 5296
1589663588016, 373577, 528, 2704, 6848
1589663588046, 373606, 656, 2256, 6400
1589663588075, 373635, 224, 2064, 6928
1589663588104, 373664, 224, 2016, 7808
1589663588133, 373693, 288, 1888, 7152
1589663588163, 373722, 304, 1808, 6944
1589663588191, 373752, 192, 1808, 7952
1589663588221, 373781, 192, 1856, 7264
1589663588250, 373810, 304, 1984, 7504
1589663588278, 373839, 224, 2000, 7840
1589663588308, 373868, 128, 2000, 7680
1589663588337, 373897, 256, 1872, 7840
1589663588365, 373927, 48, 1904, 8080
1589663588394, 373955, 64, 1856, 7648
1589663588422, 373983, 128, 1888, 7872
1589663588451, 374012, 272, 1776, 7840
1589663588480, 374041, 96, 2064, 7696
1589663588510, 374069, -176, 2256, 7680
1589663588539, 374100, 144, 2128, 7744
1589663588568, 374129, 384, 1824, 7824
1589663588598, 374158, 192, 1904, 7552
1589663588627, 374187, 144, 1856, 7968
