Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663620779, 406339, -480, 992, 7888
1589663620808, 406368, -528, 992, 8032
1589663620838, 406397, -544, 1072, 8096
1589663620868, 406428, -464, 1008, 8048
1589663620898, 406458, -512, 1040, 8096
1589663620928, 406488, -496, 1056, 8000
1589663620959, 406518, -560, 1104, 8048
1589663620989, 406548, -544, 1024, 8016
1589663621018, 406579, -464, 944, 7968
1589663621047, 406608, -384, 896, 7904
1589663621076, 406637, -416, 960, 7920
1589663621105, 406666, -432, 912, 7920
1589663621134, 406695, -416, 944, 8288
1589663621164, 406724, -352, 944, 8048
1589663621193, 406754, -592, 1024, 8192
1589663621224, 406784, -576, 1056, 8624
1589663621254, 406814, -976, 1312, 9072
1589663621285, 406844, -1040, 1328, 9456
1589663621318, 406875, -1264, 1424, 10992
1589663621350, 406908, -1232, 1376, 12944
1589663621383, 406940, -1248, 2464, 14864
1589663621413, 406972, -384, 384, 14816
1589663621443, 407003, -1664, 112, 8464
1589663621473, 407033, -1776, 304, 2672
1589663621501, 407063, -3360, 96, 624
1589663621532, 407091, -4144, -16, 1136
1589663621562, 407121, -4240, -288, 848
1589663621593, 407152, -6880, -544, 1456
1589663621625, 407183, -7488, -1120, 1376
1589663621657, 407215, -8192, -1744, -576
1589663621690, 407247, -7408, -1008, -640
1589663621721, 407280, -7472, 2256, 4000
1589663621753, 407311, -2576, -288, -2032
1589663621785, 407343, 2368, -2736, -1456
1589663621816, 407375, 4368, 2624, 6816
1589663621846, 407406, 4560, 6544, 9968
1589663621876, 407436, 2288, 8832, 9664
1589663621909, 407466, -1744, 15792, 20784
1589663621943, 407499, -5664, 19120, 21200
1589663621976, 407533, -2128, 11536, 14336
1589663622004, 407566, 0, 6512, 7104
1589663622034, 407593, 880, 1632, -3280
1589663622066, 407623, 3472, -7808, -8704
1589663622100, 407656, 6592, -13808, -10656
1589663622132, 407690, 2800, -2704, -1264
1589663622163, 407722, 2384, 12368, 9888
1589663622197, 407754, -7968, 20768, 22960
1589663622231, 407787, -3680, 13952, 22448
1589663622261, 407820, -160, 8096, 13024
1589663622293, 407852, -704, 1968, -1360
1589663622325, 407883, 2224, -4864, -8128
1589663622358, 407915, 2640, -7440, -7472
1589663622385, 407947, 544, 1216, 272
1589663622419, 407975, -3264, 12192, 12048
1589663622452, 408009, -2720, 15616, 24992
1589663622483, 408042, 256, 9040, 21072
1589663622513, 408072, 1152, 3632, 8208
1589663622544, 408103, -1264, 224, -4240
1589663622576, 408134, -48, -5536, -10576
1589663622608, 408166, -224, -2560, -7664
1589663622638, 408198, -224, 7072, 8224
1589663622670, 408229, 640, 14272, 27168
1589663622700, 408260, 784, 7040, 27328
1589663622731, 408290, 3264, 5584, 17296
1589663622764, 408321, -3984, 4464, -3040
1589663622798, 408354, -12464, 2992, -19136
1589663622831, 408388, -11952, 1904, -1040
1589663622864, 408421, 10912, 3616, 24944
1589663622895, 408454, 9888, 2096, 28112
1589663622925, 408485, 1088, -352, 6368
1589663622960, 408515, -15904, 5392, -24080
1589663622992, 408549, -7664, 7216, -2304
1589663623023, 408582, 8224, 2672, 23552
1589663623055, 408613, 9008, -1248, 23648
1589663623088, 408645, -5824, 2416, -7984
1589663623121, 408678, -11376, 7936, -5248
1589663623152, 408711, 4480, 3856, 20240
1589663623185, 408742, 7984, -2768, 25456
1589663623218, 408774, -8016, 2384, -13424
1589663623250, 408808, -9136, 7520, -3472
1589663623282, 408840, 7312, 1840, 24672
1589663623314, 408871, 8336, -4096, 18928
1589663623348, 408904, -11120, 4768, -11632
1589663623380, 408938, -9744, 8160, -2080
1589663623410, 408970, -8688, 80, 24576
1589663623443, 409000, 5280, -4400, 17648
1589663623477, 409033, -12416, 5552, -10384
1589663623509, 409067, -13136, 7536, 4688
1589663623542, 409099, 8032, -1920, 24224
1589663623571, 409132, 96, -2960, 4896
1589663623604, 409161, -12256, 6208, -6816
1589663623637, 409194, -12096, 6576, 8976
1589663623669, 409227, 5744, -2448, 19216
1589663623701, 409259, -4112, -416, -2464
1589663623732, 409291, -7840, 5568, -800
1589663623764, 409322, -608, 3248, 13184
1589663623793, 409354, 592, -640, 10288
1589663623823, 409384, 256, 1392, 4496
1589663623854, 409413, -3552, 2704, 6592
1589663623885, 409444, -2768, 2224, 7904
1589663623916, 409475, -2704, 1920, 6768
1589663623948, 409507, -2768, 1792, 7008
1589663623979, 409538, -2672, 1728, 6912
1589663624010, 409569, -2960, 1904, 6432
