Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589511076352, 254649, 1008, -16, 7728
1589511076363, 254660, 944, -16, 7840
1589511076374, 254671, 896, 16, 7840
1589511076386, 254682, 912, -32, 7856
1589511076396, 254693, 960, -32, 7968
1589511076407, 254704, 960, -16, 7872
1589511076418, 254715, 992, -16, 7824
1589511076428, 254726, 944, 0, 7760
1589511076440, 254737, 912, 32, 7760
1589511076450, 254748, 944, 0, 7712
1589511076462, 254759, 928, 16, 7616
1589511076473, 254770, 1056, 16, 7712
1589511076484, 254781, 976, 16, 7664
1589511076495, 254792, 992, -16, 7472
1589511076506, 254803, 960, -32, 7728
1589511076517, 254814, 928, 0, 7776
1589511076528, 254825, 928, 16, 7712
1589511076539, 254836, 896, 64, 7856
1589511076550, 254847, 896, 80, 7888
1589511076561, 254858, 912, 80, 7824
1589511076572, 254869, 816, 32, 7824
1589511076583, 254880, 976, 16, 7792
1589511076594, 254891, 976, -80, 7856
1589511076605, 254902, 928, -16, 7760
1589511076616, 254913, 976, 0, 7728
1589511076627, 254924, 896, 16, 7584
1589511076638, 254935, 912, 0, 7696
1589511076649, 254946, 944, 64, 7712
1589511076660, 254957, 944, 176, 7824
1589511076671, 254968, 928, 32, 7696
1589511076682, 254979, 992, 0, 7664
1589511076693, 254990, 976, 0, 7632
1589511076704, 255001, 816, 80, 7744
1589511076715, 255012, 928, 48, 7808
1589511076726, 255023, 880, 48, 7872
1589511076738, 255034, 912, 80, 7904
1589511076748, 255045, 816, 48, 7856
1589511076759, 255056, 880, 64, 7920
1589511076769, 255067, 896, 16, 7824
1589511076781, 255078, 928, -16, 7840
1589511076791, 255089, 928, 0, 7824
1589511076803, 255100, 928, 16, 7808
1589511076814, 255111, 928, -48, 7824
1589511076825, 255122, 976, -80, 7776
1589511076836, 255133, 976, 0, 7776
1589511076847, 255144, 960, 0, 7680
1589511076858, 255155, 960, 16, 7664
1589511076869, 255166, 1008, -16, 7648
1589511076880, 255177, 976, 16, 7616
1589511076891, 255188, 992, 48, 7616
1589511076902, 255199, 928, 48, 7632
1589511076913, 255210, 976, 96, 7712
1589511076924, 255221, 912, 96, 7776
1589511076935, 255232, 944, 128, 7792
1589511076946, 255243, 848, 64, 7824
1589511076957, 255254, 784, 80, 7872
1589511076968, 255265, 864, 64, 7872
1589511076979, 255276, 896, 80, 7856
1589511076990, 255287, 896, 80, 7856
1589511077001, 255298, 928, 96, 7824
1589511077012, 255309, 928, 96, 7808
1589511077023, 255320, 960, 16, 7760
1589511077034, 255331, 992, 0, 7824
1589511077045, 255342, 976, 16, 7776
1589511077056, 255353, 1024, -48, 7760
1589511077067, 255364, 1040, 16, 7600
1589511077078, 255375, 976, 0, 7664
1589511077089, 255386, 896, -48, 7680
1589511077100, 255397, 928, 0, 7680
1589511077111, 255408, 944, 0, 7728
1589511077122, 255419, 960, -32, 7872
1589511077133, 255430, 880, -16, 7840
1589511077143, 255441, 864, 0, 7888
1589511077154, 255452, 832, 96, 7888
1589511077166, 255463, 896, 32, 7904
1589511077176, 255474, 864, 48, 7888
1589511077188, 255485, 880, -16, 7792
1589511077199, 255496, 912, -32, 7808
1589511077210, 255507, 944, -16, 7744
1589511077221, 255518, 832, -16, 7568
1589511077232, 255529, 912, 0, 7632
1589511077243, 255540, 944, -16, 7664
1589511077254, 255551, 1008, 16, 7760
1589511077265, 255562, 944, 80, 7696
1589511077276, 255573, 912, 48, 7664
1589511077287, 255584, 928, 96, 7568
1589511077298, 255595, 880, 48, 7696
1589511077309, 255606, 880, 64, 7728
1589511077320, 255617, 784, 80, 7744
1589511077331, 255628, 864, 80, 7824
1589511077342, 255639, 832, 80, 7872
1589511077353, 255650, 848, 32, 7952
1589511077364, 255661, 896, 64, 7904
1589511077375, 255672, 928, 16, 7872
1589511077386, 255683, 912, 0, 7824
1589511077397, 255694, 992, 16, 7760
1589511077408, 255705, 960, 48, 7728
1589511077419, 255716, 976, 16, 7680
1589511077430, 255727, 992, 16, 7648
1589511077441, 255738, 1024, 32, 7648
1589511077452, 255749, 1008, 32, 7664
1589511077463, 255760, 928, 32, 7744
1589511077474, 255771, 944, 0, 7824
1589511077485, 255782, 960, 48, 7808
1589511077496, 255793, 912, 64, 7840
1589511077506, 255804, 928, 80, 7712
1589511077517, 255815, 944, 0, 7744
1589511077528, 255826, 928, 32, 7776
1589511077539, 255837, 960, 0, 7712
1589511077551, 255848, 912, -48, 7760
1589511077562, 255859, 944, -16, 7776
1589511077573, 255870, 880, 48, 7792
1589511077584, 255881, 832, 96, 7808
1589511077595, 255892, 880, 48, 7872
1589511077606, 255903, 880, 64, 7856
1589511077617, 255914, 848, 64, 7856
1589511077628, 255925, 864, 16, 7824
1589511077639, 255936, 912, 0, 7776
1589511077650, 255947, 896, 0, 7648
1589511077661, 255958, 976, -16, 7712
1589511077672, 255969, 960, 0, 7632
1589511077683, 255980, 992, 32, 7648
1589511077694, 255991, 944, 32, 7648
1589511077705, 256002, 944, 64, 7776
1589511077716, 256013, 912, 80, 7856
1589511077727, 256024, 864, 32, 7824
1589511077738, 256035, 864, 16, 7840
1589511077749, 256046, 784, 0, 7744
1589511077760, 256057, 896, 16, 7728
1589511077771, 256068, 848, -128, 7808
1589511077782, 256079, 912, -48, 7792
1589511077793, 256090, 944, 16, 7808
1589511077804, 256101, 928, 64, 7744
1589511077815, 256112, 992, 48, 7760
1589511077826, 256123, 896, 48, 7792
1589511077837, 256134, 944, 48, 7824
1589511077848, 256145, 912, 0, 7808
1589511077859, 256156, 880, -16, 7856
1589511077870, 256167, 896, 32, 7776
1589511077881, 256178, 1024, 48, 7824
1589511077891, 256189, 912, 32, 7712
1589511077902, 256200, 992, 64, 7744
1589511077914, 256211, 976, -48, 7712
1589511077925, 256222, 896, 32, 7744
1589511077935, 256233, 928, 16, 7872
1589511077947, 256244, 800, -16, 7872
1589511077958, 256255, 896, 48, 7936
1589511077968, 256266, 880, 0, 7904
1589511077980, 256277, 832, -16, 7888
1589511077991, 256288, 880, -48, 7808
1589511078002, 256299, 864, 0, 7824
1589511078013, 256310, 880, 16, 7744
1589511078024, 256321, 896, 32, 7760
1589511078035, 256332, 896, 48, 7648
1589511078046, 256343, 800, 48, 7680
1589511078057, 256354, 864, 16, 7776
1589511078068, 256365, 864, 48, 7664
1589511078079, 256376, 848, 80, 7680
1589511078090, 256387, 928, 64, 7600
1589511078101, 256398, 896, 0, 7584
1589511078112, 256409, 944, 16, 7568
1589511078123, 256420, 928, 0, 7648
