Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589510876871, 55164, 1808, 176, 7504
1589510876882, 55175, 1712, 160, 7696
1589510876893, 55186, 1696, 224, 7744
1589510876904, 55197, 1728, 336, 7664
1589510876916, 55208, 1664, 304, 7680
1589510876926, 55219, 1664, 336, 7632
1589510876937, 55230, 1680, 224, 7648
1589510876948, 55241, 1792, 208, 7584
1589510876959, 55252, 1744, 256, 7552
1589510876970, 55263, 1760, 256, 7568
1589510876981, 55274, 1792, 224, 7632
1589510876992, 55285, 1696, 240, 7728
1589510877003, 55296, 1664, 192, 7744
1589510877014, 55307, 1680, 208, 7696
1589510877025, 55318, 1696, 240, 7648
1589510877036, 55329, 1664, 192, 7568
1589510877047, 55340, 1776, 176, 7472
1589510877058, 55351, 1840, 128, 7440
1589510877069, 55362, 1808, 112, 7504
1589510877080, 55373, 1808, 96, 7568
1589510877091, 55384, 1824, 144, 7520
1589510877102, 55395, 1920, 224, 7584
1589510877114, 55406, 1872, 256, 7664
1589510877125, 55417, 1904, 304, 7760
1589510877136, 55428, 1888, 208, 7792
1589510877147, 55439, 1984, 160, 7856
1589510877157, 55450, 2048, 144, 7856
1589510877168, 55461, 2096, 176, 7904
1589510877179, 55472, 2288, 112, 7856
1589510877190, 55483, 2352, 112, 7760
1589510877201, 55494, 2336, 96, 7648
1589510877212, 55505, 2544, 128, 7504
1589510877223, 55516, 2640, 192, 7344
1589510877234, 55527, 2704, 208, 7248
1589510877245, 55538, 2896, 272, 7120
1589510877256, 55549, 2928, 176, 7088
1589510877267, 55560, 2912, 128, 6880
1589510877278, 55571, 3200, 208, 6608
1589510877289, 55582, 3472, 224, 6432
1589510877300, 55593, 3600, 352, 5952
1589510877311, 55604, 3728, 480, 5552
1589510877322, 55615, 3872, 896, 4992
1589510877333, 55626, 3808, 1568, 4576
1589510877344, 55637, 3744, 2000, 4160
1589510877355, 55648, 3888, 2224, 3536
1589510877366, 55659, 3856, 2096, 2480
1589510877377, 55670, 3792, 2240, 1504
1589510877388, 55681, 3696, 2768, 608
1589510877399, 55692, 3664, 3488, 0
1589510877410, 55703, 2480, 4240, -288
1589510877421, 55714, 1936, 4944, -592
1589510877432, 55725, 1712, 5744, -304
1589510877443, 55736, -592, 6432, 384
1589510877454, 55747, -1984, 7264, 1136
1589510877466, 55758, -2384, 7904, 2288
1589510877477, 55769, -5344, 8160, 3120
1589510877488, 55780, -6848, 7920, 3808
1589510877499, 55791, -7088, 6784, 4128
1589510877510, 55802, -9952, 5024, 4672
1589510877521, 55813, -11840, 2688, 5920
1589510877532, 55824, -12544, 96, 7168
1589510877543, 55835, -15744, -1328, 8464
1589510877554, 55846, -17184, -2816, 10176
1589510877565, 55857, -17504, -5776, 11952
1589510877576, 55868, -19952, -8736, 13568
1589510877587, 55879, -20064, -11024, 14672
1589510877598, 55890, -19936, -12192, 14880
1589510877609, 55901, -17456, -11728, 14496
1589510877619, 55912, -16320, -10976, 14096
1589510877630, 55923, -16160, -9840, 13440
1589510877641, 55934, -15328, -8864, 12384
1589510877652, 55945, -15648, -8112, 10624
1589510877663, 55956, -15712, -7536, 9408
1589510877674, 55967, -16336, -7360, 8208
1589510877685, 55978, -16272, -7712, 7168
1589510877696, 55989, -16224, -8352, 6560
1589510877707, 56000, -15552, -8896, 6208
1589510877718, 56011, -15024, -9360, 6912
1589510877729, 56022, -14976, -10336, 7968
1589510877740, 56033, -16224, -11056, 9312
1589510877752, 56044, -16928, -11600, 10832
1589510877763, 56055, -16992, -11344, 11040
1589510877774, 56066, -16368, -11008, 10960
1589510877785, 56077, -16576, -10768, 11424
1589510877796, 56088, -16560, -9792, 11936
1589510877807, 56099, -16400, -8816, 12432
1589510877818, 56110, -16736, -8192, 12656
1589510877829, 56121, -16960, -7904, 12784
1589510877840, 56132, -18096, -7568, 12704
1589510877851, 56143, -17984, -7120, 11904
1589510877862, 56154, -17808, -6544, 11184
1589510877873, 56165, -16464, -6256, 10960
1589510877884, 56176, -15872, -5456, 10688
1589510877895, 56187, -15552, -4912, 9936
1589510877906, 56198, -12992, -4512, 9392
1589510877917, 56209, -12224, -4000, 8624
1589510877928, 56220, -12032, -3216, 7824
1589510877939, 56231, -11040, -2176, 7248
1589510877950, 56242, -10624, -1200, 6752
1589510877961, 56253, -10512, -480, 5984
1589510877971, 56264, -9184, 0, 5168
1589510877983, 56275, -8352, 80, 4016
1589510877993, 56286, -8080, -48, 3232
1589510878004, 56297, -6240, -352, 2336
1589510878015, 56308, -5168, -528, 1136
1589510878026, 56319, -4144, -688, 496
1589510878037, 56330, -3248, -752, 128
1589510878048, 56341, -2384, -1056, -832
1589510878059, 56352, -1472, -1280, -1056
1589510878070, 56363, -864, -1344, -960
1589510878081, 56374, -624, -1024, -864
1589510878092, 56385, -624, -352, -1328
1589510878103, 56396, -288, -80, -1792
1589510878114, 56407, 48, -464, -2576
1589510878125, 56418, 304, -832, -3296
1589510878136, 56429, 288, -1104, -3776
1589510878147, 56440, 496, -1216, -4288
1589510878158, 56451, 800, -1392, -4608
1589510878169, 56462, 864, -1344, -4944
1589510878180, 56473, 1216, -1600, -5280
1589510878192, 56484, 1328, -2384, -5200
1589510878202, 56495, 1280, -2960, -5216
1589510878213, 56506, 2160, -3728, -5104
1589510878225, 56517, 2976, -4784, -4912
1589510878236, 56528, 3744, -6032, -4544
1589510878247, 56539, 4256, -7728, -4080
1589510878258, 56550, 4448, -8352, -3536
1589510878269, 56561, 4736, -8304, -2928
1589510878280, 56572, 4640, -7888, -2080
1589510878291, 56583, 4304, -7392, -1200
1589510878302, 56594, 3984, -6944, -528
1589510878313, 56605, 3440, -6208, 128
1589510878324, 56616, 3504, -5872, 656
1589510878335, 56627, 3440, -5744, 1088
1589510878345, 56638, 2832, -5536, 1360
1589510878356, 56649, 2432, -5232, 1136
1589510878367, 56660, 2256, -4816, 768
1589510878378, 56671, 1760, -4480, -16
1589510878389, 56682, 1312, -4592, -336
1589510878400, 56693, 960, -5088, -688
1589510878411, 56704, 272, -5600, -1136
1589510878422, 56715, 64, -5680, -1248
1589510878433, 56726, -96, -5648, -1456
1589510878444, 56737, -592, -5136, -1760
1589510878455, 56748, -848, -4640, -1856
1589510878466, 56759, -1088, -4272, -1856
1589510878477, 56770, -1856, -4048, -1472
1589510878488, 56781, -2896, -3728, -1168
1589510878499, 56792, -4048, -3136, -528
