Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371245515, 347610, -32, 112, 8240
1590371245526, 347621, -16, 96, 8256
1590371245537, 347632, -32, 96, 8288
1590371245549, 347643, -32, 64, 8304
1590371245559, 347654, -48, 96, 8256
1590371245570, 347665, -16, 64, 8256
1590371245581, 347676, -32, 64, 8224
1590371245593, 347687, -64, 112, 8192
1590371245603, 347698, -48, 112, 8256
1590371245614, 347709, -48, 96, 8224
1590371245625, 347720, 16, 96, 8256
1590371245636, 347731, 0, 80, 8224
1590371245648, 347742, -32, 112, 8272
1590371245658, 347753, 48, 64, 8256
1590371245669, 347764, 0, 112, 8160
1590371245682, 347775, -48, 96, 8192
1590371245691, 347786, -48, 80, 8240
1590371245702, 347797, -16, 96, 8176
1590371245713, 347808, -32, 48, 8272
1590371245724, 347819, -16, 112, 8272
1590371245735, 347830, -32, 80, 8256
1590371245747, 347841, -64, 96, 8304
1590371245757, 347852, 32, 80, 8256
1590371245768, 347863, -16, 96, 8256
1590371245779, 347874, -32, 80, 8240
1590371245790, 347885, -32, 48, 8224
1590371245801, 347896, -64, 96, 8272
1590371245812, 347907, -16, 80, 8272
1590371245823, 347918, -48, 112, 8240
1590371245834, 347929, -48, 96, 8224
1590371245845, 347940, -64, 80, 8368
1590371245854, 347951, 16, 112, 8240
1590371245867, 347962, -32, 112, 8256
1590371245878, 347973, 16, 96, 8352
1590371245890, 347984, -64, 128, 8272
1590371245899, 347995, 0, 64, 8240
1590371245911, 348006, -16, 96, 8176
1590371245923, 348017, -16, 112, 8272
1590371245934, 348028, -48, 128, 8320
1590371245944, 348039, 0, 128, 8272
1590371245955, 348050, -64, 112, 8224
1590371245966, 348061, -32, 96, 8176
1590371245977, 348072, -48, 112, 8176
1590371245988, 348083, -32, 64, 8272
1590371245999, 348094, 0, 112, 8176
1590371246011, 348105, -48, 112, 8224
1590371246021, 348116, -32, 96, 8224
1590371246033, 348127, -80, 96, 8272
1590371246043, 348138, -32, 128, 8256
1590371246055, 348149, -48, 96, 8384
1590371246066, 348160, 48, 112, 8256
1590371246077, 348171, -16, 112, 8288
1590371246088, 348182, -64, 80, 8144
1590371246098, 348193, -48, 80, 8224
1590371246109, 348204, -48, 112, 8304
1590371246120, 348215, -64, 112, 8224
1590371246131, 348226, -48, 80, 8256
1590371246140, 348237, -32, 48, 8352
1590371246153, 348248, -32, 80, 8352
1590371246164, 348259, -32, 96, 8272
1590371246175, 348270, -16, 112, 8288
1590371246186, 348281, -16, 96, 8272
1590371246197, 348292, -64, 96, 8288
1590371246209, 348303, -48, 128, 8208
1590371246219, 348314, -80, 80, 8208
1590371246230, 348325, -48, 64, 8288
1590371246240, 348336, 64, 96, 8208
1590371246253, 348347, -32, 96, 8320
1590371246263, 348358, -48, 48, 8320
1590371246274, 348369, -96, 64, 8224
1590371246285, 348380, -32, 80, 8272
1590371246296, 348391, -64, 96, 8160
1590371246307, 348402, -48, 80, 8288
1590371246318, 348413, -80, 80, 8224
1590371246329, 348424, -16, 80, 8256
1590371246339, 348435, -64, 80, 8256
1590371246349, 348446, -32, 96, 8272
1590371246363, 348457, -144, 112, 8304
1590371246373, 348468, -48, 96, 8304
1590371246384, 348479, -48, 80, 8256
