Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590370961614, 63708, -784, 5008, 6304
1590370961624, 63719, -704, 4960, 6176
1590370961636, 63730, -736, 5024, 6384
1590370961646, 63741, -752, 4992, 6416
1590370961656, 63751, 0, 1, 0
1590370961766, 63861, 0, 1960, 16380
1590370961779, 63872, -816, 4928, 6416
1590370961788, 63883, -704, 4960, 6368
1590370961800, 63894, -752, 4960, 6384
1590370961811, 63905, -784, 4960, 6304
1590370961822, 63916, -864, 4976, 6432
1590370961833, 63927, -672, 4960, 6336
1590370961843, 63938, -704, 4928, 6416
1590370961854, 63949, -720, 5008, 6320
1590370961866, 63960, -736, 4960, 6272
1590370961877, 63971, -784, 5040, 6208
1590370961888, 63982, -736, 4944, 6224
1590370961898, 63993, -784, 4976, 6272
1590370961910, 64004, -704, 4992, 6240
1590370961920, 64015, -608, 5008, 6256
1590370961931, 64026, -480, 5120, 6288
1590370961943, 64037, -400, 5264, 6272
1590370961954, 64048, -464, 5504, 6144
1590370961965, 64059, -464, 5648, 5968
1590370961976, 64070, -288, 5872, 5856
1590370961987, 64081, -160, 6000, 5744
1590370961998, 64092, -128, 6128, 5584
1590370962008, 64103, 384, 6192, 5456
1590370962020, 64114, 640, 6464, 5280
1590370962031, 64125, 704, 6800, 4736
1590370962042, 64136, 1088, 7104, 4416
1590370962053, 64147, 1216, 7504, 3936
1590370962065, 64158, 1440, 7616, 3680
1590370962075, 64169, 1968, 7920, 3584
1590370962086, 64180, 2032, 8176, 3472
1590370962096, 64191, 2592, 8464, 3424
1590370962108, 64202, 2800, 8656, 3248
1590370962119, 64213, 2912, 8928, 2992
1590370962130, 64224, 3632, 9344, 2784
1590370962140, 64235, 4096, 10160, 2864
1590370962152, 64246, 4160, 10624, 2592
1590370962162, 64257, 4176, 11168, 2672
1590370962174, 64268, 4560, 11680, 3120
1590370962185, 64279, 4832, 11888, 3392
1590370962196, 64290, 4992, 11968, 3584
1590370962207, 64301, 5088, 12016, 3632
1590370962218, 64312, 5504, 12096, 3728
1590370962229, 64323, 5424, 12144, 3952
1590370962240, 64334, 5488, 12016, 3872
1590370962251, 64345, 5712, 11920, 4384
1590370962262, 64356, 6032, 11856, 4832
1590370962272, 64367, 6160, 11760, 5312
1590370962284, 64378, 6224, 12000, 6016
1590370962295, 64389, 6160, 12192, 7088
1590370962306, 64400, 6144, 12064, 8000
1590370962317, 64411, 5968, 11664, 8832
1590370962327, 64422, 5952, 11216, 9248
1590370962339, 64433, 6160, 10864, 9392
1590370962348, 64444, 6496, 10176, 9552
1590370962361, 64455, 7104, 9600, 9936
1590370962371, 64466, 7568, 8944, 10048
1590370962383, 64477, 7584, 8064, 10272
1590370962394, 64488, 7472, 6880, 10560
1590370962405, 64499, 7616, 5584, 10848
1590370962415, 64510, 7680, 4416, 11312
1590370962427, 64521, 7328, 3984, 11568
1590370962437, 64532, 5872, 3440, 11024
1590370962448, 64543, 4864, 3248, 10432
1590370962460, 64554, 4384, 2736, 10224
1590370962471, 64565, 4176, 1920, 10320
1590370962482, 64576, 3968, 1312, 10496
1590370962493, 64587, 3568, 560, 10512
1590370962504, 64598, 3360, -208, 10224
1590370962515, 64609, 2688, -896, 9840
1590370962526, 64620, 1680, -1168, 9184
1590370962537, 64631, 1008, -928, 8832
1590370962547, 64642, 464, -816, 8368
1590370962558, 64653, 32, -1040, 8224
1590370962570, 64664, -400, -976, 8288
1590370962581, 64675, -672, -1136, 8512
1590370962592, 64686, -704, -1728, 8896
1590370962603, 64697, -1072, -2128, 8864
1590370962614, 64708, -1408, -2384, 8528
1590370962625, 64719, -1520, -2208, 8032
1590370962636, 64730, -2480, -1680, 7568
1590370962647, 64741, -3056, -896, 6864
1590370962658, 64752, -3456, -384, 6352
1590370962668, 64763, -3744, -16, 5952
1590370962680, 64774, -3792, 208, 5616
1590370962688, 64785, -4000, 304, 5696
1590370962702, 64796, -4000, 224, 5856
1590370962713, 64807, -4000, 160, 6016
1590370962724, 64818, -4144, 288, 6016
1590370962735, 64829, -4272, 704, 5824
1590370962746, 64840, -4528, 1136, 5824
1590370962758, 64851, -4752, 1760, 5568
1590370962768, 64862, -5040, 2240, 5200
1590370962778, 64873, -5360, 2672, 4928
1590370962790, 64884, -5376, 2944, 4608
1590370962800, 64895, -5488, 2992, 4864
1590370962811, 64906, -5248, 3024, 5168
1590370962822, 64917, -5264, 3008, 5648
1590370962834, 64928, -5088, 3024, 5984
1590370962845, 64939, -5136, 2944, 6112
1590370962856, 64950, -5120, 2928, 6080
1590370962867, 64961, -5216, 2976, 6064
1590370962878, 64972, -5104, 3008, 6080
1590370962888, 64983, -5216, 3104, 6032
1590370962899, 64994, -5280, 3120, 5856
1590370962911, 65005, -5312, 3200, 5712
1590370962922, 65016, -5360, 3184, 5552
1590370962933, 65027, -5424, 3248, 5440
1590370962944, 65038, -5360, 3216, 5392
1590370962955, 65049, -5264, 3168, 5648
1590370962966, 65060, -5344, 2976, 5648
1590370962977, 65071, -5344, 3040, 5632
1590370962988, 65082, -5280, 3072, 5664
1590370962999, 65093, -5232, 3088, 5616
1590370963010, 65104, -5328, 3088, 5760
1590370963020, 65115, -5200, 3056, 5792
1590370963029, 65126, -5120, 3152, 5664
1590370963042, 65137, -5264, 3232, 5568
1590370963053, 65148, -5264, 3440, 5488
1590370963065, 65159, -5264, 3408, 5520
1590370963076, 65170, -5312, 3344, 5568
1590370963086, 65181, -5344, 3408, 5680
1590370963097, 65192, -5328, 3392, 5728
1590370963109, 65203, -5200, 3360, 5712
1590370963119, 65214, -5200, 3232, 5760
1590370963131, 65225, -5008, 3040, 5728
1590370963141, 65236, -4928, 2896, 5760
1590370963150, 65247, -4928, 2736, 5632
1590370963163, 65258, -4944, 2720, 5680
1590370963175, 65269, -4848, 2704, 5728
1590370963186, 65280, -4992, 2704, 5824
1590370963197, 65291, -4816, 2736, 5872
1590370963208, 65302, -4752, 2560, 5904
1590370963218, 65313, -4768, 2544, 5856
1590370963229, 65324, -4784, 2592, 5728
1590370963240, 65335, -4944, 2704, 5600
1590370963252, 65346, -4944, 2752, 5728
1590370963263, 65357, -4992, 2816, 5664
1590370963274, 65368, -4960, 2848, 5680
1590370963285, 65379, -5008, 2848, 5648
1590370963295, 65390, -4992, 2928, 5392
1590370963307, 65401, -5152, 3024, 5328
1590370963318, 65412, -5040, 3120, 5360
1590370963329, 65423, -4992, 3088, 5520
1590370963339, 65434, -5072, 3024, 5472
1590370963351, 65445, -5008, 2960, 5568
1590370963361, 65456, -4912, 2864, 5568
1590370963373, 65467, -4928, 2848, 5616
1590370963384, 65478, -4960, 2784, 5824
1590370963395, 65489, -5008, 2832, 5664
1590370963405, 65500, -5008, 2944, 5600
1590370963417, 65511, -5040, 2928, 5600
1590370963428, 65522, -5056, 3024, 5504
1590370963440, 65533, -5040, 3040, 5488
1590370963450, 65544, -5120, 3040, 5264
1590370963461, 65555, -5136, 3136, 5296
1590370963472, 65566, -5088, 3136, 5312
1590370963483, 65577, -5072, 3104, 5376
1590370963494, 65588, -5120, 3104, 5456
1590370963505, 65599, -5024, 3120, 5616
1590370963516, 65610, -5120, 3088, 5584
1590370963527, 65621, -5120, 3040, 5584
