Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371133783, 235877, -6128, 3072, 4512
1590371133793, 235888, -6272, 3040, 4528
1590371133804, 235899, -6080, 2992, 4544
1590371133815, 235910, -6160, 2976, 4512
1590371133827, 235921, -6176, 2928, 4432
1590371133838, 235932, -6112, 2928, 4432
1590371133848, 235943, -6160, 2848, 4352
1590371133860, 235954, -6096, 2928, 4368
1590371133872, 235965, -6112, 2896, 4368
1590371133881, 235976, -6128, 2800, 4368
1590371133893, 235987, -6096, 2832, 4304
1590371133903, 235998, -6144, 2800, 4208
1590371133914, 236009, -6128, 2800, 4336
1590371133926, 236020, -6096, 2896, 4352
1590371133936, 236031, -6112, 2992, 4512
1590371133947, 236042, -6176, 3008, 4464
1590371133959, 236053, -6128, 2896, 4464
1590371133970, 236064, -6064, 2832, 4448
1590371133980, 236075, -6048, 2928, 4368
1590371133992, 236086, -6128, 2928, 4272
1590371134003, 236097, -6096, 2832, 4240
1590371134014, 236108, -6080, 2736, 4224
1590371134024, 236119, -6080, 2768, 4160
1590371134035, 236130, -6112, 2880, 4336
1590371134047, 236141, -6176, 2912, 4320
1590371134058, 236152, -6176, 2960, 4432
1590371134069, 236163, -6160, 3072, 4400
1590371134080, 236174, -6176, 3024, 4464
1590371134090, 236185, -6160, 3104, 4496
1590371134102, 236196, -6192, 3072, 4464
1590371134113, 236207, -6176, 3136, 4496
1590371134124, 236218, -6208, 2944, 4496
1590371134134, 236229, -6064, 3008, 4512
1590371134145, 236240, -6112, 2976, 4528
1590371134157, 236251, -6096, 2880, 4448
1590371134168, 236262, -6144, 2880, 4528
1590371134179, 236273, -6208, 2864, 4496
1590371134189, 236284, -6256, 2784, 4560
1590371134201, 236295, -6384, 2720, 4624
1590371134212, 236306, -6400, 2640, 4880
1590371134223, 236317, -6800, 2480, 4992
1590371134234, 236328, -7056, 2352, 5264
1590371134244, 236339, -7216, 2304, 5520
1590371134255, 236350, -7216, 2288, 5920
1590371134267, 236361, -7328, 2176, 6640
1590371134278, 236372, -7328, 2032, 7440
1590371134289, 236383, -7440, 1792, 8288
1590371134300, 236394, -7488, 1328, 9008
1590371134311, 236405, -7984, 976, 9584
1590371134321, 236416, -8144, 1056, 10272
1590371134333, 236427, -8176, 1312, 11040
1590371134344, 236438, -8224, 1632, 11920
1590371134355, 236449, -8064, 1920, 13248
1590371134367, 236460, -7808, 1984, 14208
1590371134377, 236471, -7840, 1904, 14912
1590371134388, 236482, -7792, 1712, 15552
1590371134399, 236493, -7904, 1664, 15568
1590371134410, 236504, -8016, 1664, 15824
1590371134421, 236515, -7984, 1968, 15920
1590371134432, 236526, -7552, 2176, 16160
1590371134443, 236537, -6992, 2448, 16480
1590371134454, 236548, -6448, 2272, 16704
1590371134465, 236559, -6032, 2240, 16624
1590371134476, 236570, -5920, 2144, 16176
1590371134486, 236581, -4336, 2240, 15856
1590371134498, 236592, -3424, 2528, 15376
1590371134509, 236603, -3232, 3104, 14944
1590371134520, 236614, -1584, 3472, 15040
1590371134531, 236625, -608, 3632, 14848
1590371134542, 236636, 112, 4080, 14432
1590371134553, 236647, 672, 4432, 13312
1590371134564, 236658, 2064, 4608, 11856
1590371134575, 236669, 3024, 4592, 10928
1590371134586, 236680, 3840, 4944, 9952
1590371134597, 236691, 4048, 5904, 8832
1590371134608, 236702, 4384, 6960, 7920
1590371134619, 236713, 4528, 8576, 6176
1590371134629, 236724, 4528, 9264, 4320
1590371134640, 236735, 3840, 9280, 2224
1590371134652, 236746, 4192, 8576, -944
1590371134663, 236757, 4832, 7488, -3840
1590371134673, 236768, 4992, 6608, -6128
1590371134685, 236779, 4800, 7792, -6704
1590371134696, 236790, 1936, 10592, -6784
1590371134706, 236801, 112, 12992, -7936
1590371134718, 236812, -288, 14096, -8688
1590371134729, 236823, -2192, 14640, -9968
1590371134740, 236834, -3776, 13584, -11520
1590371134751, 236845, -4192, 12304, -10992
1590371134762, 236856, -4640, 10784, -10448
1590371134773, 236867, -4800, 8816, -10352
1590371134784, 236878, -4832, 7408, -10816
1590371134795, 236889, -4960, 5872, -11024
1590371134803, 236900, -5168, 4176, -10496
1590371134817, 236911, -5488, 3408, -9264
1590371134828, 236922, -5872, 2848, -8384
1590371134839, 236933, -6224, 2944, -7888
1590371134849, 236944, -6672, 3136, -8128
1590371134860, 236955, -7168, 2912, -8688
1590371134872, 236966, -7264, 2736, -8496
1590371134883, 236977, -7360, 2384, -8096
1590371134894, 236988, -7328, 1824, -7072
1590371134904, 236999, -7296, 1616, -6176
1590371134916, 237010, -7072, 1824, -5088
1590371134926, 237021, -6976, 2320, -4704
1590371134938, 237032, -7360, 3088, -4544
1590371134948, 237043, -7872, 3792, -4560
1590371134960, 237054, -7984, 3584, -4208
1590371134970, 237065, -7568, 2832, -4112
1590371134982, 237076, -7216, 2096, -4112
1590371134993, 237087, -7136, 2048, -4064
1590371135004, 237098, -7152, 2272, -4128
1590371135015, 237109, -7248, 2400, -4272
1590371135026, 237120, -7360, 2320, -4144
1590371135036, 237131, -7232, 2112, -3712
1590371135047, 237142, -7136, 2032, -3328
1590371135058, 237153, -7040, 1936, -2816
1590371135070, 237164, -6848, 1712, -2496
1590371135081, 237175, -6816, 1600, -2656
1590371135092, 237186, -6976, 1568, -3056
1590371135102, 237197, -6976, 1808, -3312
1590371135114, 237208, -7184, 1936, -3264
1590371135125, 237219, -7168, 1760, -2960
1590371135136, 237230, -7168, 1728, -2800
1590371135147, 237241, -7120, 1424, -2736
1590371135158, 237252, -7120, 1360, -2816
1590371135169, 237263, -7360, 1568, -2928
1590371135180, 237274, -7344, 1824, -2784
1590371135191, 237285, -7312, 1856, -2592
1590371135201, 237296, -7312, 1840, -2480
1590371135213, 237307, -7296, 1904, -2368
1590371135224, 237318, -7280, 2048, -2560
1590371135235, 237329, -7408, 2080, -2960
1590371135246, 237340, -7504, 2112, -3104
1590371135257, 237351, -7456, 2048, -3056
1590371135268, 237362, -7424, 1952, -2976
1590371135279, 237373, -7408, 1904, -2736
1590371135289, 237384, -7472, 1888, -2720
1590371135301, 237395, -7488, 1952, -2640
1590371135312, 237406, -7504, 1856, -2688
1590371135323, 237417, -7504, 1936, -2768
1590371135334, 237428, -7488, 2032, -2928
1590371135345, 237439, -7520, 2144, -2832
1590371135356, 237450, -7584, 2144, -2656
1590371135367, 237461, -7440, 1952, -2384
1590371135378, 237472, -7424, 1904, -2288
1590371135389, 237483, -7344, 1968, -2224
1590371135400, 237494, -7184, 2064, -2144
1590371135412, 237505, -7424, 2192, -2320
1590371135422, 237516, -7440, 2352, -2592
1590371135434, 237527, -7520, 2304, -2512
1590371135444, 237538, -7344, 2160, -2464
1590371135454, 237549, -7216, 1792, -2688
1590371135466, 237560, -7216, 1568, -2784
1590371135477, 237571, -7200, 1520, -2608
1590371135488, 237582, -7232, 1472, -2512
1590371135499, 237593, -7216, 1440, -2496
1590371135510, 237604, -7264, 1440, -2576
1590371135521, 237615, -7264, 1408, -2560
1590371135532, 237626, -7232, 1376, -2400
1590371135543, 237637, -7200, 1424, -2320
1590371135554, 237648, -7184, 1504, -2320
1590371135564, 237659, -7232, 1680, -2464
1590371135575, 237670, -7376, 1872, -2368
1590371135587, 237681, -7392, 1936, -2496
1590371135597, 237692, -7408, 1952, -2384
1590371135609, 237703, -7488, 1920, -2288
1590371135620, 237714, -7312, 1904, -2192
1590371135631, 237725, -7232, 1776, -2448
1590371135642, 237736, -7200, 1696, -2480
1590371135653, 237747, -7216, 1712, -2656
1590371135664, 237758, -7312, 1680, -2816
1590371135675, 237769, -7248, 1712, -2608
1590371135686, 237780, -7216, 1712, -2400
1590371135697, 237791, -7184, 1568, -2336
1590371135708, 237802, -7168, 1584, -2304
1590371135719, 237813, -7280, 1616, -2368
1590371135730, 237824, -7216, 1680, -2432
1590371135741, 237835, -7376, 1696, -2608
1590371135752, 237846, -7424, 1824, -2800
1590371135762, 237857, -7488, 1872, -2784
