Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371582206, 684301, -432, 2640, 7920
1590371582216, 684312, -400, 2624, 7792
1590371582229, 684323, -432, 2624, 7712
1590371582239, 684334, -400, 2528, 7888
1590371582250, 684345, -400, 2576, 7824
1590371582261, 684356, -400, 2560, 7840
1590371582272, 684367, -288, 2512, 7872
1590371582283, 684378, -352, 2512, 7904
1590371582294, 684389, -400, 2560, 7904
1590371582305, 684400, -320, 2512, 7904
1590371582316, 684411, -416, 2560, 7936
1590371582327, 684422, -352, 2560, 7744
1590371582338, 684433, -400, 2576, 7824
1590371582349, 684444, -352, 2576, 7840
1590371582360, 684455, -368, 2624, 8064
1590371582371, 684466, -384, 2624, 7744
1590371582382, 684477, -384, 2640, 7824
1590371582393, 684488, -432, 2624, 7744
1590371582404, 684499, -432, 2592, 7840
1590371582415, 684510, -464, 2576, 7856
1590371582426, 684521, -480, 2560, 7856
1590371582437, 684532, -384, 2656, 7872
1590371582448, 684543, -400, 2688, 8032
1590371582459, 684554, -400, 2656, 7968
1590371582470, 684565, -464, 2672, 7920
1590371582481, 684576, -368, 2656, 7824
1590371582492, 684587, -400, 2544, 7920
1590371582503, 684598, -352, 2544, 7904
1590371582514, 684609, -448, 2624, 7856
1590371582525, 684620, -368, 2624, 7824
1590371582536, 684631, -416, 2592, 7904
1590371582547, 684642, -400, 2544, 7840
1590371582558, 684653, -400, 2560, 7808
1590371582569, 684664, -448, 2576, 7840
1590371582580, 684675, -432, 2592, 7888
1590371582591, 684686, -448, 2624, 7952
1590371582602, 684697, -448, 2624, 7872
1590371582613, 684708, -400, 2592, 7872
1590371582624, 684719, -416, 2512, 7808
1590371582635, 684730, -384, 2544, 7872
1590371582646, 684741, -448, 2544, 7872
1590371582657, 684752, -464, 2592, 7584
1590371582668, 684763, -480, 2608, 7824
1590371582777, 684873, 0, 1, 0
1590371582789, 684884, -32, 3152, 7568
1590371582800, 684895, -16, 3328, 7536
1590371582811, 684906, 256, 3728, 7312
1590371582822, 684917, 736, 4016, 6976
1590371582834, 684928, 1312, 4400, 6416
1590371582844, 684939, 1312, 5344, 5616
1590371582855, 684950, 2400, 6560, 4912
1590371582865, 684961, 2560, 8080, 4192
1590371582877, 684972, 3264, 9568, 3968
1590371582887, 684983, 3744, 11232, 4144
1590371582899, 684994, 4384, 12704, 4064
1590371582910, 685005, 4992, 13712, 3584
1590371582921, 685016, 5424, 14288, 3056
1590371582932, 685027, 5488, 14720, 2688
1590371582943, 685038, 7152, 15424, 2784
1590371582954, 685049, 7024, 16000, 3264
1590371582965, 685060, 6960, 16576, 4080
1590371582976, 685071, 8240, 17280, 5104
1590371582987, 685082, 8096, 17872, 6576
1590371582998, 685093, 8176, 18192, 8160
1590371583009, 685104, 8576, 17920, 9840
1590371583021, 685115, 8912, 16816, 11792
1590371583031, 685126, 9200, 15808, 12960
1590371583042, 685137, 9552, 15104, 14304
1590371583053, 685148, 9616, 14080, 15088
1590371583064, 685159, 11024, 13152, 15696
1590371583075, 685170, 11520, 11952, 15920
1590371583086, 685181, 12128, 10928, 16208
1590371583095, 685192, 12576, 9968, 16208
1590371583108, 685203, 12448, 8752, 15792
1590371583119, 685214, 12960, 7808, 15728
1590371583131, 685225, 13408, 6752, 15712
1590371583141, 685236, 13408, 5264, 15328
1590371583152, 685247, 11728, 4608, 14528
1590371583163, 685258, 10256, 4176, 13584
1590371583174, 685269, 10032, 3616, 13104
1590371583185, 685280, 8624, 2688, 12560
1590371583196, 685291, 8304, 1456, 11856
1590371583207, 685302, 8128, 448, 11744
1590371583219, 685313, 7616, -688, 11600
1590371583228, 685324, 7120, -2192, 11008
1590371583241, 685335, 6672, -3280, 10512
1590371583249, 685346, 6000, -4048, 9872
1590371583262, 685357, 5776, -5040, 9584
1590371583273, 685368, 4608, -5680, 9104
1590371583284, 685379, 3904, -6320, 8672
1590371583295, 685390, 2832, -6240, 8176
1590371583307, 685401, 2096, -5840, 7872
1590371583317, 685412, 1056, -5504, 7104
1590371583328, 685423, 96, -4864, 6432
1590371583339, 685434, -928, -4032, 5680
1590371583351, 685445, -1120, -3296, 4992
1590371583362, 685456, -2576, -2608, 4688
1590371583372, 685467, -3072, -1840, 4640
1590371583383, 685478, -3248, -1584, 4624
1590371583394, 685489, -3936, -1232, 4544
1590371583405, 685500, -4208, -800, 4512
1590371583416, 685511, -4384, -464, 4544
1590371583427, 685522, -4800, -112, 4352
1590371583438, 685533, -5120, 368, 4064
1590371583449, 685544, -5488, 688, 3808
1590371583461, 685555, -5856, 1104, 3744
1590371583472, 685566, -6032, 1760, 3664
1590371583483, 685577, -6560, 1888, 3792
1590371583494, 685588, -6400, 1984, 4160
1590371583504, 685599, -6288, 1920, 4432
1590371583515, 685610, -6176, 1856, 4544
1590371583526, 685621, -6288, 2096, 4816
1590371583537, 685632, -6288, 2352, 4800
