Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371050931, 153025, 3952, 6016, 3488
1590371050941, 153036, 3920, 6080, 3344
1590371050953, 153047, 3888, 6080, 3504
1590371050963, 153058, 3888, 6096, 3488
1590371050975, 153069, 3792, 6160, 3488
1590371050986, 153080, 3888, 6176, 3520
1590371050997, 153091, 3856, 6256, 3536
1590371051008, 153102, 3936, 6176, 3440
1590371051018, 153113, 3872, 6144, 3504
1590371051030, 153124, 3872, 6096, 3536
1590371051040, 153135, 3840, 6080, 3568
1590371051052, 153146, 3856, 6128, 3600
1590371051063, 153157, 3824, 6240, 3568
1590371051073, 153168, 3872, 6224, 3616
1590371051084, 153179, 3856, 6192, 3584
1590371051096, 153190, 3872, 6192, 3696
1590371051107, 153201, 3872, 6192, 3584
1590371051118, 153212, 3920, 6144, 3504
1590371051129, 153223, 3792, 6096, 3504
1590371051140, 153234, 3952, 6064, 3472
1590371051150, 153245, 3920, 6096, 3520
1590371051162, 153256, 3920, 6080, 3504
1590371051173, 153267, 3920, 6112, 3536
1590371051183, 153278, 3872, 6080, 3472
1590371051195, 153289, 3904, 6080, 3536
1590371051206, 153300, 3920, 6080, 3488
1590371051217, 153311, 3792, 6112, 3472
1590371051228, 153322, 3920, 6064, 3472
1590371051239, 153333, 3952, 6096, 3456
1590371051249, 153344, 3920, 6096, 3520
1590371051260, 153355, 3888, 6096, 3616
1590371051271, 153366, 3904, 6096, 3792
1590371051282, 153377, 3904, 6048, 3568
1590371051294, 153388, 3888, 6096, 3600
1590371051305, 153399, 3856, 6144, 3488
1590371051316, 153410, 3856, 6176, 3632
1590371051327, 153421, 3872, 6128, 3632
1590371051338, 153432, 3872, 6192, 3568
1590371051348, 153443, 3872, 6128, 3536
1590371051360, 153454, 3856, 6176, 3520
1590371051371, 153465, 3808, 6080, 3536
1590371051382, 153476, 3920, 6096, 3568
1590371051393, 153487, 3888, 6160, 3568
1590371051404, 153498, 3840, 6208, 3616
1590371051414, 153509, 3856, 6224, 3616
1590371051426, 153520, 3968, 6192, 3600
1590371051437, 153531, 3888, 6160, 3600
1590371051447, 153542, 3824, 6176, 3488
1590371051459, 153553, 3824, 6096, 3600
1590371051470, 153564, 3808, 6176, 3632
1590371051480, 153575, 3888, 6160, 3648
1590371051491, 153586, 3920, 6128, 3648
1590371051503, 153597, 3936, 6144, 3600
1590371051514, 153608, 3936, 6160, 3632
1590371051524, 153619, 3968, 6144, 3664
1590371051535, 153630, 3920, 6112, 3664
1590371051547, 153641, 3840, 6032, 3600
1590371051558, 153652, 3952, 6128, 3632
1590371051569, 153663, 3840, 6176, 3520
1590371051580, 153674, 3904, 6144, 3616
1590371051591, 153685, 3920, 6112, 3504
1590371051602, 153696, 3872, 6096, 3408
1590371051613, 153707, 3936, 6048, 3360
1590371051624, 153718, 3872, 6112, 3280
1590371051635, 153729, 3952, 6128, 3408
1590371051645, 153740, 3856, 6112, 3456
1590371051657, 153751, 3920, 6224, 3600
1590371051668, 153762, 3792, 6192, 3600
1590371051679, 153773, 3904, 6144, 3600
1590371051690, 153784, 4000, 6000, 3488
1590371051701, 153795, 3904, 6016, 3552
1590371051712, 153806, 3808, 6064, 3584
1590371051722, 153817, 3712, 6208, 3696
1590371051734, 153828, 3728, 6256, 3776
1590371051745, 153839, 3744, 6320, 4000
1590371051756, 153850, 3808, 6176, 4320
1590371051767, 153861, 3968, 6096, 4464
1590371051778, 153872, 4016, 5824, 4848
1590371051788, 153883, 4032, 5440, 4624
1590371051800, 153894, 3808, 5120, 4688
1590371051811, 153905, 3248, 5232, 5088
1590371051821, 153916, 2704, 5648, 5824
