Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371179650, 281747, -5568, 5696, 480
1590371179664, 281758, -5536, 5728, 464
1590371179675, 281769, -5456, 5712, 688
1590371179686, 281780, -5440, 5760, 560
1590371179697, 281791, -5520, 5696, 544
1590371179707, 281802, -5616, 5728, 320
1590371179719, 281813, -5584, 5664, 368
1590371179730, 281824, -5552, 5632, 432
1590371179741, 281835, -5488, 5648, 432
1590371179749, 281846, -5472, 5680, 480
1590371179763, 281857, -5520, 5648, 576
1590371179774, 281868, -5488, 5680, 512
1590371179785, 281879, -5504, 5712, 432
1590371179795, 281890, -5536, 5680, 448
1590371179807, 281901, -5552, 5744, 496
1590371179817, 281912, -5568, 5680, 480
1590371179829, 281923, -5632, 5664, 528
1590371179840, 281934, -5488, 5680, 464
1590371179850, 281945, -5520, 5728, 608
1590371179862, 281956, -5552, 5712, 448
1590371179873, 281967, -5584, 5760, 416
1590371179884, 281978, -5520, 5760, 320
1590371179895, 281989, -5616, 5664, 368
1590371179905, 282000, -5568, 5712, 432
1590371179916, 282011, -5488, 5648, 480
1590371179928, 282022, -5552, 5600, 512
1590371179939, 282033, -5488, 5584, 208
1590371179949, 282044, -5504, 5680, 512
1590371179961, 282055, -5584, 5648, 512
1590371179972, 282066, -5504, 5696, 432
1590371179982, 282077, -5520, 5760, 560
1590371179993, 282088, -5584, 5728, 480
1590371180004, 282099, -5504, 5728, 432
1590371180015, 282110, -5600, 5808, 416
1590371180026, 282121, -5632, 5840, 368
1590371180037, 282132, -5680, 5984, 304
1590371180049, 282143, -5696, 6096, 16
1590371180060, 282154, -5984, 6416, -480
1590371180071, 282165, -5936, 6640, -848
1590371180082, 282176, -5984, 6784, -1312
1590371180092, 282187, -6208, 7136, -2032
1590371180104, 282198, -6400, 7408, -2528
1590371180115, 282209, -6432, 7712, -2960
1590371180125, 282220, -6352, 7968, -3280
1590371180137, 282231, -6512, 8064, -3392
1590371180148, 282242, -6352, 7984, -3248
1590371180158, 282253, -6016, 7872, -3264
1590371180170, 282264, -5792, 7744, -3264
1590371180180, 282275, -5600, 7568, -3648
1590371180191, 282286, -5504, 7376, -4176
1590371180203, 282297, -5232, 6960, -4832
1590371180213, 282308, -5248, 6240, -5456
1590371180223, 282319, -4560, 5472, -5712
1590371180237, 282330, -4064, 4400, -5424
1590371180248, 282341, -3824, 3600, -5024
1590371180258, 282352, -2704, 2912, -4560
1590371180269, 282363, -2208, 2288, -4048
1590371180280, 282374, -1760, 1920, -3792
1590371180291, 282385, -1248, 1648, -3440
1590371180302, 282396, -1040, 1552, -2736
1590371180312, 282407, -352, 1744, -2160
1590371180324, 282418, -208, 1904, -1504
1590371180334, 282429, -240, 2160, -736
1590371180345, 282440, 304, 2288, -128
1590371180356, 282451, 912, 2624, 672
1590371180368, 282462, 1376, 3136, 1776
1590371180379, 282473, 1344, 3840, 2912
1590371180390, 282484, 944, 4736, 3968
1590371180400, 282495, 544, 5072, 4496
1590371180411, 282506, 448, 4944, 4544
1590371180422, 282517, 544, 4544, 4320
1590371180433, 282528, 640, 4432, 4288
1590371180444, 282539, 576, 4576, 4672
1590371180456, 282550, 528, 4832, 5600
1590371180467, 282561, 688, 5152, 6752
1590371180477, 282572, 576, 5504, 8096
1590371180489, 282583, 352, 5792, 8640
1590371180500, 282594, 240, 6032, 8880
1590371180511, 282605, 256, 6160, 8784
1590371180521, 282616, 112, 6320, 8640
1590371180532, 282627, -64, 6608, 8384
1590371180544, 282638, -208, 7392, 8400
1590371180554, 282649, -800, 8032, 8448
1590371180566, 282660, -1136, 8672, 8736
1590371180577, 282671, -1104, 9040, 8880
1590371180588, 282682, -1280, 9456, 8976
1590371180598, 282693, -1376, 10320, 9168
1590371180610, 282704, -1680, 10768, 8864
1590371180621, 282715, -1840, 11072, 8176
1590371180632, 282726, -1808, 11504, 7808
1590371180643, 282737, -1872, 11792, 7536
1590371180653, 282748, -1968, 12384, 7264
1590371180665, 282759, -2000, 12912, 7456
1590371180676, 282770, -1808, 13456, 7856
1590371180687, 282781, -1792, 13888, 7904
1590371180698, 282792, -1648, 14096, 7360
1590371180709, 282803, -1712, 14304, 6496
1590371180720, 282814, -1664, 14400, 4992
1590371180730, 282825, -1872, 14496, 4000
1590371180742, 282836, -1856, 14592, 3488
1590371180753, 282847, -1824, 14720, 3248
1590371180764, 282858, -1472, 15024, 2960
1590371180775, 282869, -1328, 15568, 2336
1590371180786, 282880, -1392, 16080, 1680
1590371180797, 282891, -1216, 16256, 656
1590371180808, 282902, -1248, 16032, -240
1590371180817, 282913, -912, 16080, -672
1590371180830, 282924, -736, 15840, -944
1590371180841, 282935, -720, 15648, -1280
1590371180852, 282946, -288, 15632, -1824
1590371180863, 282957, -144, 15856, -2544
1590371180874, 282968, -256, 16064, -3504
1590371180884, 282979, -336, 16192, -4256
1590371180896, 282990, -384, 15968, -5472
1590371180907, 283001, -384, 15888, -6080
1590371180918, 283012, -384, 15728, -6256
1590371180929, 283023, -448, 15328, -5856
1590371180940, 283034, -112, 14848, -5440
1590371180950, 283045, -32, 14000, -5168
1590371180962, 283056, 320, 13200, -4752
1590371180973, 283067, 496, 12432, -4400
1590371180983, 283078, 672, 11696, -3936
1590371180995, 283089, 720, 10992, -3696
1590371181006, 283100, 752, 10400, -3456
1590371181017, 283111, 784, 9648, -3312
1590371181027, 283122, 816, 9104, -3280
1590371181040, 283133, 768, 8496, -3136
