Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371281567, 383662, -5936, 2592, 4672
1590371281578, 383673, -6176, 2656, 4656
1590371281589, 383684, -6112, 2608, 4624
1590371281600, 383695, -6192, 2640, 4720
1590371281612, 383706, -6016, 2640, 4768
1590371281623, 383717, -6016, 2736, 4576
1590371281634, 383728, -6080, 2736, 4688
1590371281644, 383739, -6080, 2752, 4640
1590371281655, 383750, -5968, 2688, 4688
1590371281667, 383761, -6096, 2704, 4672
1590371281678, 383772, -6016, 2672, 4832
1590371281689, 383783, -6032, 2592, 4656
1590371281700, 383794, -5984, 2624, 4624
1590371281711, 383805, -6048, 2672, 4608
1590371281719, 383816, -6000, 2608, 4624
1590371281732, 383827, -6000, 2672, 4672
1590371281743, 383838, -6000, 2752, 4672
1590371281754, 383849, -6032, 2704, 4656
1590371281766, 383860, -6048, 2768, 4592
1590371281777, 383871, -6016, 2688, 4480
1590371281787, 383882, -5968, 2736, 4528
1590371281798, 383893, -6016, 2736, 4512
1590371281809, 383904, -6064, 2720, 4512
1590371281820, 383915, -6032, 2656, 4592
1590371281831, 383926, -6032, 2656, 4688
1590371281843, 383937, -5984, 2624, 4608
1590371281854, 383948, -6000, 2656, 4592
1590371281865, 383959, -5984, 2688, 4624
1590371281876, 383970, -6096, 2656, 4640
1590371281887, 383981, -6192, 2752, 4688
1590371281898, 383992, -6064, 2816, 4560
1590371281908, 384003, -6240, 2816, 4640
1590371281920, 384014, -6272, 2768, 4672
1590371281931, 384025, -6240, 2640, 4832
1590371281941, 384036, -6288, 2624, 4896
1590371281952, 384047, -6256, 2624, 4928
1590371281964, 384058, -6480, 2544, 5040
1590371281975, 384069, -6544, 2464, 5072
1590371281985, 384080, -6496, 2368, 5472
1590371281996, 384091, -6624, 2096, 5664
1590371282008, 384102, -6496, 1824, 6208
1590371282018, 384113, -6288, 1664, 6400
1590371282030, 384124, -6016, 1456, 6720
1590371282039, 384135, -5360, 752, 7136
1590371282048, 384146, -4752, 384, 7296
1590371282062, 384157, -4432, -16, 7136
1590371282072, 384168, -4640, -96, 7104
1590371282081, 384179, -3792, -656, 6848
1590371282095, 384190, -3312, -1056, 6512
1590371282107, 384201, -3088, -1440, 6208
1590371282117, 384212, -2400, -1568, 5936
1590371282129, 384223, -2016, -1584, 5664
1590371282140, 384234, -1808, -1616, 5312
1590371282151, 384245, -1568, -1632, 4608
1590371282161, 384256, -1504, -1584, 3744
1590371282173, 384267, -1024, -1680, 2704
1590371282184, 384278, -496, -1616, 1248
1590371282194, 384289, -400, -2016, 352
1590371282206, 384300, 624, -1936, -256
1590371282216, 384311, 1360, -1712, -752
1590371282228, 384322, 1840, -1088, -656
1590371282238, 384333, 2304, -320, -400
1590371282250, 384344, 2864, 720, -400
1590371282260, 384355, 3168, 2160, -336
1590371282272, 384366, 3072, 3760, -480
1590371282283, 384377, 2896, 6048, -224
1590371282294, 384388, 1840, 7632, -512
1590371282305, 384399, 1520, 8960, -1136
1590371282316, 384410, 1152, 9728, -1552
1590371282327, 384421, 1008, 10416, -1360
1590371282338, 384432, 816, 11248, -928
1590371282348, 384443, 848, 12144, -480
1590371282359, 384454, 768, 13056, 48
1590371282370, 384465, 656, 14240, 976
1590371282382, 384476, 304, 14976, 1424
1590371282392, 384487, -64, 15680, 1744
1590371282403, 384498, -240, 16352, 1552
1590371282415, 384509, -1584, 16848, 1568
1590371282426, 384520, -1648, 17776, 2288
1590371282436, 384531, -912, 18480, 3472
1590371282448, 384542, -176, 18864, 5120
1590371282458, 384553, 64, 18624, 7776
1590371282469, 384564, 1296, 18064, 9632
1590371282481, 384575, 1360, 17248, 10864
1590371282492, 384586, 1376, 16304, 11248
1590371282503, 384597, 1088, 15648, 11328
1590371282514, 384608, 1264, 15312, 11600
1590371282524, 384619, 1344, 15216, 12176
1590371282535, 384630, 1488, 14944, 13056
1590371282546, 384641, 1616, 13680, 13744
1590371282557, 384652, 1840, 12368, 14032
1590371282569, 384663, 2048, 11200, 14256
1590371282580, 384674, 2032, 10352, 14304
1590371282591, 384685, 1888, 9968, 14464
1590371282602, 384696, 1760, 9728, 14640
1590371282613, 384707, 1936, 9424, 14848
1590371282624, 384718, 2320, 8704, 14768
1590371282634, 384729, 2800, 7552, 14528
1590371282646, 384740, 3312, 6448, 14240
1590371282657, 384751, 3856, 5600, 14400
1590371282668, 384762, 3904, 4896, 15056
1590371282679, 384773, 4304, 4512, 15424
1590371282689, 384784, 4352, 4288, 15520
1590371282701, 384795, 4400, 4032, 14832
1590371282712, 384806, 4080, 3536, 13888
1590371282723, 384817, 4144, 2928, 12768
1590371282733, 384828, 4016, 2544, 12176
1590371282745, 384839, 3968, 2432, 11824
1590371282756, 384850, 3872, 2528, 11616
1590371282767, 384861, 3360, 2720, 11456
1590371282777, 384872, 3120, 2848, 11360
1590371282788, 384883, 3008, 2832, 10448
1590371282800, 384894, 2512, 2592, 9584
1590371282810, 384905, 2304, 2208, 8720
1590371282821, 384916, 2384, 1904, 8128
1590371282833, 384927, 2304, 1584, 7824
1590371282844, 384938, 2224, 1024, 7584
1590371282854, 384949, 2128, 736, 7360
1590371282865, 384960, 1856, 448, 6640
1590371282876, 384971, 1760, 416, 6176
1590371282887, 384982, 1280, 400, 5760
1590371282898, 384993, 976, 448, 5232
1590371282909, 385004, 816, 528, 4896
1590371282920, 385015, 672, 544, 4656
1590371282931, 385026, 544, 480, 4432
1590371282942, 385037, 464, 384, 4176
1590371282953, 385048, 384, 320, 3872
1590371282964, 385059, 368, 384, 3456
1590371282976, 385070, 160, 528, 3152
1590371282987, 385081, 96, 688, 2800
1590371282998, 385092, 176, 800, 2512
1590371283008, 385103, 16, 928, 2464
1590371283020, 385114, -16, 640, 2304
1590371283030, 385125, 80, 432, 2384
1590371283041, 385136, -16, 784, 2208
1590371283053, 385147, -64, 1920, 1792
1590371283063, 385158, -1232, 3104, 1296
1590371283074, 385169, -2144, 4208, 96
1590371283085, 385180, -2384, 5280, -464
1590371283097, 385191, -3520, 5824, -1104
1590371283107, 385202, -4048, 6256, -1600
1590371283119, 385213, -4400, 6592, -2096
1590371283129, 385224, -4912, 7520, -2160
1590371283141, 385235, -6080, 8528, -2208
1590371283152, 385246, -6944, 9200, -1984
1590371283163, 385257, -7408, 9456, -2064
1590371283174, 385268, -7456, 9520, -2128
1590371283185, 385279, -8000, 9360, -1776
1590371283196, 385290, -8112, 9152, -1232
1590371283207, 385301, -8208, 8944, -752
1590371283217, 385312, -8384, 8608, -256
1590371283229, 385323, -8224, 7936, 384
1590371283240, 385334, -7952, 7184, 1072
1590371283251, 385345, -7632, 6352, 1712
1590371283261, 385356, -7488, 5648, 2624
1590371283273, 385367, -6816, 5152, 3504
1590371283283, 385378, -6512, 4720, 4288
1590371283295, 385389, -6432, 4272, 4768
1590371283306, 385400, -6128, 4224, 5008
1590371283316, 385411, -6128, 4256, 5200
1590371283327, 385422, -6128, 4208, 5408
1590371283338, 385433, -6144, 4096, 5344
1590371283350, 385444, -6096, 3968, 5312
1590371283361, 385455, -5968, 3888, 5344
1590371283372, 385466, -5968, 3696, 5664
1590371283383, 385477, -6064, 3584, 5376
1590371283393, 385488, -5824, 3552, 5216
1590371283405, 385499, -5712, 3344, 4992
1590371283416, 385510, -5824, 3216, 4784
1590371283425, 385521, -5920, 3200, 4720
1590371283437, 385532, -5888, 2992, 4592
1590371283449, 385543, -5712, 2928, 4496
1590371283459, 385554, -5568, 2832, 4512
1590371283471, 385565, -5648, 2848, 4432
1590371283482, 385576, -5472, 2880, 4496
1590371283492, 385587, -5488, 2960, 4320
1590371283504, 385598, -5520, 2912, 4160
1590371283514, 385609, -5680, 2944, 4128
1590371283526, 385620, -5744, 3072, 4208
1590371283536, 385631, -5808, 3232, 4352
1590371283548, 385642, -5776, 3264, 4384
1590371283560, 385653, -5696, 3312, 4400
1590371283570, 385664, -5664, 3344, 4368
1590371283581, 385675, -5680, 3376, 4368
1590371283591, 385686, -5808, 3440, 4256
1590371283603, 385697, -5872, 3584, 4256
1590371283613, 385708, -5936, 3664, 4304
1590371283625, 385719, -5968, 3744, 4368
1590371283635, 385730, -5984, 3712, 4352
1590371283647, 385741, -5920, 3776, 4432
1590371283658, 385752, -5968, 3648, 4400
1590371283668, 385763, -5968, 3600, 4288
1590371283680, 385774, -5840, 3648, 4352
1590371283691, 385785, -5984, 3616, 4368
1590371283701, 385796, -5952, 3632, 4336
1590371283712, 385807, -5952, 3648, 4352
1590371283724, 385818, -5952, 3584, 4384
1590371283734, 385829, -6000, 3552, 4384
1590371283745, 385840, -5984, 3488, 4288
1590371283757, 385851, -5952, 3552, 4272
1590371283768, 385862, -6048, 3520, 4384
1590371283779, 385873, -5920, 3536, 4384
1590371283790, 385884, -5936, 3600, 4384
1590371283800, 385895, -5920, 3584, 4480
1590371283812, 385906, -5856, 3664, 4528
1590371283822, 385917, -5792, 3536, 4592
1590371283833, 385928, -5856, 3456, 4416
1590371283844, 385939, -5888, 3472, 4384
1590371283856, 385950, -5760, 3456, 4400
1590371283867, 385961, -5824, 3408, 4496
1590371283878, 385972, -5728, 3392, 4480
1590371283889, 385983, -5728, 3360, 4464
1590371283899, 385994, -5776, 3312, 4432
1590371283911, 386005, -5840, 3392, 4400
1590371283921, 386016, -5872, 3408, 4368
1590371283933, 386027, -5872, 3472, 4384
1590371283943, 386038, -5824, 3536, 4432
1590371283955, 386049, -5808, 3504, 4480
1590371283965, 386060, -5840, 3504, 4352
1590371283976, 386071, -5840, 3536, 4384
1590371283988, 386082, -5888, 3456, 4368
1590371283998, 386093, -5840, 3504, 4224
1590371284010, 386104, -5840, 3472, 4400
1590371284020, 386115, -5888, 3536, 4480
1590371284032, 386126, -5936, 3632, 4624
1590371284042, 386137, -5904, 3616, 4400
1590371284054, 386148, -5856, 3504, 4384
1590371284065, 386159, -5920, 3440, 4432
1590371284076, 386170, -5776, 3392, 4352
1590371284087, 386181, -5808, 3408, 4176
1590371284097, 386192, -5648, 3376, 4432
1590371284107, 386203, -5808, 3504, 4416
1590371284120, 386214, -5920, 3568, 4272
1590371284130, 386225, -5840, 3552, 4320
1590371284142, 386236, -5856, 3488, 4320
1590371284152, 386247, -5824, 3472, 4336
1590371284163, 386258, -5792, 3440, 4320
1590371284174, 386269, -5872, 3520, 4368
1590371284186, 386280, -5840, 3520, 4320
1590371284196, 386291, -5904, 3440, 4320
1590371284208, 386302, -5888, 3376, 4240
1590371284219, 386313, -5888, 3424, 4384
1590371284230, 386324, -5824, 3440, 4384
1590371284241, 386335, -5872, 3504, 4496
1590371284252, 386346, -5856, 3536, 4464
1590371284263, 386357, -5856, 3536, 4512
1590371284274, 386368, -5872, 3504, 4416
1590371284285, 386379, -5840, 3472, 4416
1590371284296, 386390, -5856, 3504, 4464
1590371284306, 386401, -5792, 3408, 4432
1590371284317, 386412, -5824, 3456, 4448
1590371284329, 386423, -5904, 3488, 4272
1590371284340, 386434, -5984, 3520, 4352
1590371284350, 386445, -5824, 3632, 4352
1590371284361, 386456, -5920, 3552, 4480
1590371284372, 386467, -5760, 3376, 4464
1590371284384, 386478, -5744, 3408, 4608
1590371284395, 386489, -5744, 3488, 4432
1590371284405, 386500, -5968, 3504, 4288
1590371284416, 386511, -5856, 3488, 4064
1590371284428, 386522, -5856, 3456, 4288
1590371284440, 386533, -5872, 3424, 4368
1590371284450, 386544, -5824, 3440, 4400
1590371284460, 386555, -5776, 3376, 4400
1590371284472, 386566, -5824, 3344, 4288
1590371284482, 386577, -5904, 3376, 4384
1590371284493, 386588, -5776, 3408, 4368
1590371284505, 386599, -5808, 3520, 4368
1590371284515, 386610, -5888, 3520, 4384
1590371284526, 386621, -5936, 3552, 4400
1590371284538, 386632, -5920, 3504, 4272
1590371284549, 386643, -5904, 3504, 4320
1590371284560, 386654, -5888, 3440, 4352
1590371284570, 386665, -5872, 3424, 4400
1590371284582, 386676, -5808, 3392, 4432
1590371284592, 386687, -5824, 3360, 4384
1590371284604, 386698, -5808, 3408, 4432
1590371284615, 386709, -5792, 3472, 4480
1590371284626, 386720, -5856, 3520, 4592
1590371284637, 386731, -5824, 3408, 4432
1590371284647, 386742, -5808, 3408, 4528
1590371284658, 386753, -5808, 3344, 4416
1590371284669, 386764, -5840, 3376, 4432
1590371284681, 386775, -5808, 3408, 4624
1590371284690, 386786, -5792, 3456, 4512
1590371284701, 386797, -5824, 3440, 4432
1590371284710, 386808, -5904, 3360, 4384
1590371284724, 386819, -5872, 3408, 4368
1590371284735, 386830, -5936, 3456, 4336
1590371284747, 386841, -5952, 3520, 4336
1590371284757, 386852, -5952, 3504, 4432
1590371284769, 386863, -5872, 3504, 4688
1590371284780, 386874, -6016, 3392, 4464
1590371284791, 386885, -5744, 3392, 4416
1590371284801, 386896, -5792, 3376, 4416
1590371284813, 386907, -5808, 3392, 4432
1590371284824, 386918, -5792, 3424, 4400
1590371284835, 386929, -5936, 3456, 4400
1590371284845, 386940, -5856, 3456, 4336
1590371284857, 386951, -5808, 3424, 4256
1590371284867, 386962, -5760, 3344, 4352
1590371284878, 386973, -5856, 3440, 4416
1590371284889, 386984, -5824, 3472, 4352
1590371284901, 386995, -5936, 3440, 4416
1590371284912, 387006, -5920, 3472, 4416
1590371284922, 387017, -5872, 3536, 4288
1590371284933, 387028, -5936, 3472, 4464
1590371284944, 387039, -5936, 3552, 4480
1590371284956, 387050, -5904, 3504, 4496
1590371284967, 387061, -5888, 3488, 4448
1590371284977, 387072, -5856, 3408, 4496
1590371284989, 387083, -5904, 3424, 4480
1590371284999, 387094, -5904, 3376, 4416
1590371285010, 387105, -5808, 3392, 4480
1590371285021, 387116, -5808, 3376, 4480
1590371285032, 387127, -5776, 3376, 4480
1590371285043, 387138, -5840, 3376, 4432
1590371285053, 387149, -5824, 3408, 4448
1590371285066, 387160, -5840, 3344, 4448
1590371285076, 387171, -5824, 3328, 4384
1590371285088, 387182, -5872, 3392, 4384
1590371285098, 387193, -5920, 3360, 4320
1590371285110, 387204, -5872, 3408, 4368
1590371285120, 387215, -5776, 3408, 4384
1590371285131, 387226, -5792, 3392, 4384
