Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371465116, 567211, -5568, 2976, 5248
1590371465127, 567222, -5536, 2928, 5280
1590371465138, 567233, -5552, 2912, 5312
1590371465149, 567244, -5520, 2960, 5344
1590371465160, 567255, -5632, 2928, 5296
1590371465171, 567266, -5552, 2832, 5200
1590371465182, 567277, -5680, 2864, 5248
1590371465191, 567288, -5680, 2880, 5232
1590371465205, 567299, -5600, 2848, 5248
1590371465216, 567310, -5600, 2864, 5248
1590371465226, 567321, -5520, 2848, 5312
1590371465237, 567332, -5536, 2896, 5296
1590371465248, 567343, -5488, 2944, 5376
1590371465259, 567354, -5488, 2880, 5232
1590371465270, 567365, -5536, 2896, 5248
1590371465281, 567376, -5552, 2912, 5136
1590371465293, 567387, -5632, 2896, 5072
1590371465304, 567398, -5488, 2880, 5040
1590371465314, 567409, -5520, 2880, 5120
1590371465325, 567420, -5488, 2896, 5216
1590371465336, 567431, -5456, 2816, 5264
1590371465347, 567442, -5440, 2752, 5248
1590371465355, 567453, -5504, 2768, 5216
1590371465369, 567464, -5392, 2816, 5200
1590371465380, 567475, -5568, 2880, 5200
1590371465392, 567486, -5520, 2832, 5168
1590371465402, 567497, -5520, 2848, 5184
1590371465413, 567508, -5536, 2880, 5232
1590371465424, 567519, -5552, 2848, 5264
1590371465435, 567530, -5632, 2896, 5136
1590371465446, 567541, -5696, 2880, 5088
1590371465457, 567552, -5776, 2944, 5104
1590371465469, 567563, -5840, 2880, 5072
1590371465480, 567574, -5920, 2864, 5376
1590371465490, 567585, -5904, 2768, 5296
1590371465501, 567596, -6096, 2752, 5344
1590371465513, 567607, -6272, 2624, 5232
1590371465523, 567618, -6448, 2592, 5424
1590371465534, 567629, -6592, 2752, 5536
1590371465545, 567640, -6960, 2816, 5728
1590371465554, 567651, -7088, 3040, 5984
1590371465564, 567662, -7424, 3024, 6272
1590371465579, 567673, -7456, 3168, 6464
1590371465589, 567684, -8048, 3312, 6560
1590371465600, 567695, -8128, 3280, 6832
1590371465612, 567706, -8192, 3216, 6976
1590371465623, 567717, -8192, 3136, 7088
1590371465633, 567728, -7984, 2896, 7568
1590371465645, 567739, -7584, 2736, 7728
1590371465655, 567750, -7344, 2352, 7824
1590371465667, 567761, -7312, 1952, 7776
1590371465677, 567772, -6592, 1648, 7696
1590371465688, 567783, -6336, 1552, 7840
1590371465699, 567794, -6288, 1616, 7936
1590371465710, 567805, -5824, 1552, 8176
1590371465721, 567816, -5136, 1248, 8304
1590371465732, 567827, -4704, 880, 8304
1590371465743, 567838, -4304, 512, 8336
1590371465754, 567849, -4192, 224, 8192
1590371465765, 567860, -3536, 32, 7984
1590371465776, 567871, -3408, -144, 7728
1590371465787, 567882, -3328, -256, 7360
1590371465799, 567893, -2640, -608, 6944
1590371465809, 567904, -2224, -720, 6416
1590371465820, 567915, -1936, -736, 5984
1590371465831, 567926, -1600, -768, 5488
1590371465842, 567937, -1136, -784, 5120
1590371465853, 567948, -848, -880, 4752
1590371465864, 567959, -208, -912, 4192
1590371465875, 567970, -112, -720, 3760
1590371465886, 567981, 160, -304, 3232
1590371465894, 567992, 144, 496, 2304
1590371465908, 568003, -64, 1200, 1536
1590371465919, 568014, -192, 2112, 880
1590371465930, 568025, -464, 2896, 80
1590371465939, 568036, -320, 3456, -368
1590371465951, 568047, -256, 4096, -976
1590371465964, 568058, -400, 4848, -1696
1590371465974, 568069, -672, 5200, -2064
1590371465985, 568080, -864, 5744, -2672
1590371465996, 568091, -944, 6080, -2736
1590371466007, 568102, -1600, 6448, -2896
1590371466019, 568113, -2032, 7024, -3344
1590371466030, 568124, -2432, 7536, -3520
1590371466037, 568135, -2896, 8176, -3680
1590371466051, 568146, -3680, 8976, -3824
1590371466063, 568157, -4032, 9456, -3936
1590371466073, 568168, -4128, 9536, -4272
1590371466084, 568179, -4208, 9664, -4304
1590371466096, 568190, -4560, 10016, -4224
1590371466108, 568201, -4976, 10752, -3856
1590371466118, 568212, -5200, 11520, -3360
1590371466129, 568223, -5312, 12000, -2928
1590371466140, 568234, -5696, 12448, -2496
1590371466150, 568245, -5504, 12512, -2096
1590371466161, 568256, -5168, 12320, -1760
1590371466173, 568267, -5152, 11984, -1024
1590371466183, 568278, -4208, 11664, -560
1590371466194, 568289, -3712, 11152, -32
1590371466206, 568300, -3568, 10592, 416
1590371466216, 568311, -3296, 9776, 736
1590371466227, 568322, -2992, 8896, 1280
1590371466238, 568333, -2528, 8304, 1984
1590371466248, 568344, -2144, 7776, 2656
1590371466259, 568355, -2128, 7184, 3328
1590371466268, 568366, -1040, 6832, 3920
1590371466281, 568377, -688, 6544, 4512
1590371466293, 568388, -608, 6160, 4768
1590371466304, 568399, -48, 5888, 4960
1590371466315, 568410, 160, 5440, 5056
1590371466326, 568421, 256, 5152, 5120
1590371466337, 568432, 480, 4672, 5392
1590371466348, 568443, 864, 4224, 5920
1590371466359, 568454, 1200, 3840, 6384
1590371466370, 568465, 1488, 3568, 6896
1590371466381, 568476, 1616, 3248, 7296
1590371466392, 568487, 1792, 3072, 7696
1590371466403, 568498, 1264, 2912, 8016
1590371466414, 568509, 1024, 2928, 8080
1590371466425, 568520, 864, 2960, 8352
1590371466436, 568531, 720, 3296, 9168
1590371466448, 568542, 528, 3648, 10000
1590371466458, 568553, 368, 3808, 10720
1590371466469, 568564, 416, 3776, 11168
1590371466480, 568575, 672, 3632, 11424
1590371466491, 568586, 784, 3600, 11568
1590371466502, 568597, 784, 3728, 11552
1590371466514, 568608, 480, 3984, 11664
1590371466524, 568619, 304, 4512, 11952
1590371466535, 568630, 240, 4736, 12000
1590371466546, 568641, 304, 4880, 11920
1590371466554, 568652, 240, 5120, 11632
1590371466568, 568663, 448, 5376, 11440
1590371466580, 568674, 496, 5680, 11136
1590371466590, 568685, 640, 6176, 11248
1590371466601, 568696, 384, 6624, 11152
1590371466612, 568707, 272, 7328, 10784
1590371466623, 568718, 336, 7888, 10704
1590371466633, 568729, 416, 8304, 10288
1590371466645, 568740, 480, 9072, 9792
1590371466657, 568751, 352, 9840, 9520
1590371466667, 568762, 208, 10576, 9264
1590371466679, 568773, 112, 11264, 8800
1590371466689, 568784, 96, 11808, 8448
1590371466700, 568795, -32, 12528, 7840
1590371466711, 568806, -64, 13056, 7264
1590371466722, 568817, -672, 13504, 6624
1590371466734, 568828, -976, 13920, 6032
1590371466745, 568839, -1024, 14144, 5200
1590371466756, 568850, -1280, 14272, 4704
1590371466766, 568861, -1296, 14000, 4352
1590371466778, 568872, -1056, 13552, 4192
1590371466788, 568883, -672, 13024, 4336
1590371466800, 568894, -640, 12592, 4256
1590371466810, 568905, 96, 12272, 4208
1590371466821, 568916, 272, 11888, 3872
1590371466832, 568927, 528, 11296, 3616
1590371466841, 568938, 832, 10608, 3184
1590371466855, 568949, 1040, 9520, 2608
1590371466864, 568960, 1072, 8592, 2144
1590371466875, 568971, 1264, 7744, 1616
1590371466886, 568982, 1312, 6624, 1344
1590371466897, 568993, 1616, 5680, 864
1590371466909, 569004, 1552, 4608, 800
1590371466920, 569015, 1520, 3808, 576
1590371466931, 569026, 1584, 3232, 544
1590371466942, 569037, 1440, 2608, 832
1590371466953, 569048, 1472, 2416, 1120
1590371466964, 569059, 1280, 2208, 1424
1590371466972, 569070, 1168, 1968, 1632
1590371466983, 569081, 608, 1728, 1856
1590371466997, 569092, 464, 1712, 2224
1590371467009, 569103, 368, 1856, 2672
1590371467019, 569114, 48, 2160, 3216
1590371467030, 569125, -288, 2672, 3888
1590371467042, 569136, -432, 3184, 4208
1590371467052, 569147, -640, 3632, 4544
1590371467064, 569158, -1104, 4016, 4864
1590371467075, 569169, -1408, 4304, 5072
1590371467085, 569180, -1600, 4656, 5264
