Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371507840, 609935, -3392, 2192, 7056
1590371507852, 609946, -3472, 2176, 7120
1590371507862, 609957, -3312, 2160, 7120
1590371507873, 609968, -3376, 2128, 7072
1590371507884, 609979, -3408, 2112, 7200
1590371507893, 609990, -3360, 2144, 7264
1590371507903, 610001, -3360, 2272, 7360
1590371507917, 610012, -3408, 2256, 7424
1590371507928, 610023, -3376, 2256, 7344
1590371507939, 610034, -3344, 2160, 7232
1590371507951, 610045, -3392, 2224, 7200
1590371507961, 610056, -3392, 2208, 7264
1590371507972, 610067, -3392, 2144, 7248
1590371507981, 610078, -3392, 2144, 7232
1590371507994, 610089, -3424, 2080, 7296
1590371508005, 610100, -3376, 2176, 7280
1590371508017, 610111, -3344, 2160, 7280
1590371508027, 610122, -3344, 2176, 7296
1590371508039, 610133, -3344, 2192, 7264
1590371508049, 610144, -3376, 2128, 7008
1590371508061, 610155, -3392, 2112, 7184
1590371508070, 610166, -3360, 2112, 7184
1590371508082, 610177, -3360, 2096, 7200
1590371508094, 610188, -3312, 2064, 7168
1590371508105, 610199, -3328, 2096, 3744
1590371508113, 610210, -3312, 2128, 7376
1590371508123, 610221, -3296, 2192, 7280
1590371508137, 610232, -3376, 2208, 7312
1590371508145, 610243, -3312, 2224, 7232
1590371508158, 610254, -3408, 2240, 7232
1590371508170, 610265, -3392, 2192, 7232
1590371508179, 610276, -3376, 2208, 7200
1590371508192, 610287, -3408, 2208, 7168
1590371508203, 610298, -3392, 2128, 7136
1590371508214, 610309, -3376, 2144, 7216
1590371508225, 610320, -3312, 2128, 7200
1590371508236, 610331, -3312, 2176, 7248
1590371508246, 610342, -3344, 2208, 7280
1590371508258, 610353, -3376, 2224, 7104
1590371508270, 610364, -3280, 2336, 7296
1590371508278, 610375, -3424, 2368, 7264
1590371508291, 610386, -3472, 2448, 7136
1590371508301, 610397, -3456, 2880, 7136
1590371508313, 610408, -3744, 3712, 7056
1590371508324, 610419, -4528, 5072, 6816
1590371508334, 610430, -5040, 5872, 6368
1590371508343, 610441, -5552, 6528, 6080
1590371508357, 610452, -5664, 7008, 6064
1590371508369, 610463, -6160, 6688, 6304
1590371508379, 610474, -6160, 5456, 6432
1590371508391, 610485, -6080, 4304, 6544
1590371508401, 610496, -5312, 2864, 6880
1590371508412, 610507, -4048, -752, 7376
1590371508424, 610518, -1952, -4352, 7936
1590371508435, 610529, 160, -8656, 8416
1590371508446, 610540, 896, -14160, 8416
1590371508456, 610551, 6960, -16720, 8752
1590371508468, 610562, 8480, -16224, 10016
1590371508478, 610573, 8544, -11488, 11200
1590371508489, 610584, 6000, -5456, 11728
1590371508500, 610595, 2528, 2160, 10800
1590371508511, 610606, -288, 7600, 9216
1590371508522, 610617, -2832, 12640, 7392
1590371508534, 610628, -5712, 18160, 4240
1590371508543, 610639, -7968, 21840, 1504
1590371508552, 610650, -9536, 24080, -1760
1590371508567, 610661, -9904, 24960, -3248
1590371508575, 610672, -11776, 24512, -3936
1590371508585, 610683, -11296, 22208, -4160
1590371508599, 610694, -9536, 19520, -2992
1590371508608, 610705, -7488, 15680, -928
1590371508621, 610716, -3712, 8096, 2400
1590371508632, 610727, 448, -896, 4736
1590371508643, 610738, 4672, -11072, 6608
1590371508655, 610749, 5744, -23088, 8304
1590371508666, 610760, 13200, -29248, 10416
1590371508676, 610771, 14960, -29408, 13776
1590371508688, 610782, 15104, -23888, 15792
1590371508698, 610793, 10480, -15328, 16976
1590371508709, 610804, 6032, -4576, 15696
1590371508721, 610815, 1520, 2960, 12784
1590371508731, 610826, -3072, 9520, 8976
1590371508743, 610837, -7024, 15744, 4752
1590371508754, 610848, -8800, 19552, 2416
