Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1590371090782, 192878, 5984, 4608, 2736
1590371090795, 192889, 5952, 4640, 2784
1590371090805, 192900, 5904, 4688, 2720
1590371090817, 192911, 5952, 4688, 2688
1590371090827, 192922, 5920, 4672, 2448
1590371090838, 192933, 6000, 4816, 2592
1590371090848, 192944, 5936, 4816, 2720
1590371090857, 192955, 5840, 4704, 2672
1590371090871, 192966, 5920, 4720, 2752
1590371090882, 192977, 5936, 4656, 2752
1590371090893, 192988, 5984, 4624, 2688
1590371090905, 192999, 5904, 4704, 2784
1590371090915, 193010, 5888, 4720, 2672
1590371090927, 193021, 5904, 4816, 2688
1590371090938, 193032, 5920, 4816, 2656
1590371090948, 193043, 5968, 4720, 2592
1590371090960, 193054, 5952, 4768, 2608
1590371090970, 193065, 5984, 4672, 2656
1590371090982, 193076, 6016, 4688, 2560
1590371090993, 193087, 5952, 4704, 2672
1590371091004, 193098, 5920, 4720, 2704
1590371091014, 193109, 5968, 4720, 2688
1590371091026, 193120, 5872, 4736, 2736
1590371091037, 193131, 5936, 4688, 2784
1590371091047, 193142, 5952, 4656, 2720
1590371091059, 193153, 5936, 4624, 2656
1590371091070, 193164, 5984, 4560, 2656
1590371091080, 193175, 5936, 4608, 2512
1590371091092, 193186, 5872, 4672, 2624
1590371091102, 193197, 5840, 4784, 2576
1590371091114, 193208, 5904, 4720, 2640
1590371091124, 193219, 5904, 4688, 2784
1590371091135, 193230, 5904, 4560, 2768
1590371091147, 193241, 6000, 4480, 2864
1590371091158, 193252, 5872, 4416, 2992
1590371091169, 193263, 5984, 4320, 2976
1590371091180, 193274, 5936, 4304, 3008
1590371091191, 193285, 5744, 4224, 3168
1590371091202, 193296, 5488, 4368, 3520
1590371091213, 193307, 5152, 4448, 4016
1590371091224, 193318, 5104, 4368, 4432
1590371091234, 193329, 4512, 4224, 4608
1590371091245, 193340, 4304, 4080, 4976
1590371091257, 193351, 4256, 3920, 5232
1590371091269, 193362, 3872, 3952, 5616
1590371091279, 193373, 3504, 4048, 6032
1590371091290, 193384, 3360, 4176, 6448
1590371091301, 193395, 3104, 4016, 6960
1590371091312, 193406, 2976, 3824, 7552
1590371091322, 193417, 3152, 3504, 8256
1590371091333, 193428, 3664, 3408, 9504
1590371091345, 193439, 3856, 3456, 10432
1590371091355, 193450, 5024, 3328, 11248
1590371091367, 193461, 5376, 3280, 12048
1590371091376, 193472, 5856, 3152, 12256
1590371091389, 193483, 6048, 3120, 12640
1590371091400, 193494, 6768, 3088, 13120
1590371091411, 193505, 7312, 3008, 13184
1590371091422, 193516, 7680, 3120, 13552
1590371091433, 193527, 7744, 3760, 13632
1590371091444, 193538, 8720, 4528, 13600
1590371091454, 193549, 8992, 5696, 13552
1590371091466, 193560, 9440, 6352, 13440
1590371091477, 193571, 10016, 6784, 13216
1590371091488, 193582, 10960, 6992, 12928
1590371091499, 193593, 11840, 6816, 12496
1590371091510, 193604, 12656, 6576, 11952
1590371091521, 193615, 13024, 6192, 10992
1590371091533, 193626, 14288, 6000, 10432
1590371091542, 193637, 14528, 5856, 9184
1590371091554, 193648, 14416, 5824, 8512
1590371091565, 193659, 14816, 6080, 7744
1590371091576, 193670, 14320, 6144, 6480
1590371091587, 193681, 13920, 6336, 5648
1590371091598, 193692, 13680, 6608, 4864
1590371091609, 193703, 13536, 6608, 3952
1590371091621, 193714, 12720, 6624, 3296
1590371091631, 193725, 11936, 6240, 1616
1590371091642, 193736, 11696, 6016, 880
1590371091652, 193747, 10032, 6096, 512
1590371091664, 193758, 8320, 6112, 1024
1590371091675, 193769, 7344, 5424, 208
1590371091686, 193780, 6832, 4784, -48
1590371091697, 193791, 6352, 4256, -304
1590371091707, 193802, 5872, 3952, -32
1590371091719, 193813, 5504, 3776, 112
1590371091730, 193824, 5408, 3744, 464
1590371091740, 193835, 5008, 3616, 640
1590371091752, 193846, 4544, 3328, 704
1590371091763, 193857, 4512, 2672, 48
1590371091773, 193868, 2960, 2624, 752
1590371091785, 193879, 2416, 2144, -432
1590371091795, 193890, 2176, 2080, -240
1590371091806, 193901, 1616, 2528, 704
1590371091818, 193912, 1376, 3168, 1824
1590371091829, 193923, 480, 3728, 2992
1590371091840, 193934, 384, 4336, 4112
1590371091851, 193945, 336, 4624, 4944
1590371091861, 193956, 0, 4512, 5472
1590371091873, 193967, 16, 3984, 6192
1590371091884, 193978, -64, 3168, 6224
1590371091894, 193989, 0, 2320, 6080
1590371091906, 194000, 128, 1712, 6192
1590371091917, 194011, 80, 1744, 6528
1590371091928, 194022, -16, 2096, 7056
1590371091939, 194033, -112, 2736, 7376
1590371091950, 194044, -704, 3136, 7600
1590371091961, 194055, -944, 3264, 7376
1590371091972, 194066, -1040, 3104, 7376
1590371091983, 194077, -1008, 2848, 7296
1590371091993, 194088, -992, 2656, 7472
1590371092004, 194099, -912, 2688, 7584
1590371092016, 194110, -992, 2704, 7712
1590371092027, 194121, -816, 2768, 7872
1590371092038, 194132, -1024, 2880, 7840
1590371092049, 194143, -1040, 2752, 7824
1590371092060, 194154, -1088, 2704, 7712
1590371092071, 194165, -944, 2496, 7664
1590371092082, 194176, -720, 2416, 7584
1590371092093, 194187, -896, 2432, 7840
1590371092104, 194198, -880, 2480, 7936
1590371092115, 194209, -832, 2592, 7952
1590371092125, 194220, -832, 2528, 7920
1590371092136, 194231, -784, 2528, 7600
1590371092148, 194242, -864, 2640, 7552
1590371092158, 194253, -976, 2784, 7520
1590371092170, 194264, -976, 2992, 7488
1590371092181, 194275, -1008, 2944, 7488
1590371092192, 194286, -960, 2928, 7488
1590371092203, 194297, -880, 2800, 7504
1590371092214, 194308, -800, 2624, 7648
1590371092225, 194319, -656, 2496, 7728
1590371092236, 194330, -688, 2464, 7776
1590371092247, 194341, -656, 2528, 7840
1590371092258, 194352, -704, 2656, 7712
1590371092268, 194363, -720, 2576, 7824
1590371092279, 194374, -640, 2608, 7952
1590371092291, 194385, -544, 2560, 8096
1590371092302, 194396, -640, 2656, 8032
1590371092313, 194407, -656, 2592, 8048
1590371092324, 194418, -672, 2592, 7920
1590371092335, 194429, -720, 2480, 7824
1590371092346, 194440, -672, 2448, 8032
1590371092357, 194451, -608, 2416, 7888
1590371092368, 194462, -640, 2480, 7952
1590371092379, 194473, -672, 2592, 7728
1590371092390, 194484, -784, 2560, 7776
1590371092400, 194495, -880, 2656, 7648
1590371092412, 194506, -880, 2768, 7632
1590371092423, 194517, -752, 2736, 7648
1590371092433, 194528, -784, 2720, 7568
1590371092445, 194539, -896, 2736, 7792
1590371092455, 194550, -688, 2672, 7856
1590371092467, 194561, -688, 2560, 7952
1590371092478, 194572, -688, 2528, 7664
1590371092489, 194583, -688, 2512, 7696
1590371092499, 194594, -720, 2640, 7776
1590371092511, 194605, -704, 2736, 7888
1590371092521, 194616, -768, 2816, 7904
1590371092533, 194627, -720, 2752, 7936
1590371092544, 194638, -688, 2624, 7888
1590371092555, 194649, -704, 2560, 7904
1590371092567, 194660, -688, 2704, 7920
1590371092576, 194671, -704, 2720, 8032
1590371092587, 194682, -608, 2720, 8032
1590371092598, 194693, -688, 2704, 8032
1590371092610, 194704, -704, 2640, 7952
1590371092621, 194715, -720, 2720, 7856
