Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589428942850, 20517, 4464, -2656, 6416
1589428942861, 20528, 4368, -2624, 6512
1589428942872, 20539, 4448, -2736, 6432
1589428942882, 20550, 4448, -2864, 6336
1589428942893, 20561, 4464, -2768, 6288
1589428942905, 20572, 4432, -2768, 6224
1589428942915, 20583, 4416, -2736, 6176
1589428942927, 20594, 4400, -2688, 6192
1589428942937, 20605, 4416, -2656, 6256
1589428942948, 20616, 4368, -2624, 6416
1589428942960, 20627, 4384, -2640, 6432
1589428942970, 20638, 4368, -2672, 6464
1589428942981, 20649, 4400, -2752, 6448
1589428942993, 20660, 4352, -2688, 6320
1589428943003, 20671, 4416, -2672, 6224
1589428943013, 20682, 4384, -2624, 6160
1589428943024, 20693, 4432, -2624, 6160
1589428943035, 20704, 4416, -2672, 6304
1589428943046, 20715, 4480, -2592, 6256
1589428943059, 20726, 4416, -2496, 6336
1589428943070, 20737, 4464, -2640, 6400
1589428943080, 20748, 4352, -2672, 6432
1589428943091, 20759, 4448, -2704, 6416
1589428943102, 20770, 4416, -2576, 6416
1589428943112, 20781, 4448, -2736, 6320
1589428943124, 20792, 4496, -2704, 6192
1589428943135, 20803, 4464, -2752, 6176
1589428943147, 20814, 4432, -2784, 6192
1589428943157, 20825, 4432, -2672, 6144
1589428943168, 20836, 4384, -2672, 6176
1589428943180, 20847, 4432, -2608, 6080
1589428943190, 20858, 4416, -2656, 5920
1589428943201, 20869, 4432, -2704, 5856
1589428943212, 20880, 4400, -2592, 5952
1589428943223, 20891, 4416, -2560, 6112
1589428943233, 20902, 4400, -2528, 6256
1589428943245, 20913, 4416, -2272, 6720
1589428943256, 20924, 4320, -2336, 6496
1589428943267, 20935, 4384, -2544, 6480
1589428943278, 20946, 4448, -2688, 6464
1589428943289, 20957, 4368, -2768, 6384
1589428943300, 20968, 4416, -2720, 6512
1589428943311, 20979, 4336, -2592, 6832
1589428943323, 20990, 4368, -2496, 6752
1589428943334, 21001, 4336, -2560, 6400
1589428943345, 21012, 4416, -2528, 6336
1589428943355, 21023, 4432, -2448, 6352
1589428943366, 21034, 4384, -2624, 6352
1589428943378, 21045, 4432, -2592, 6560
1589428943388, 21056, 4400, -2720, 6240
1589428943399, 21067, 4464, -2704, 6256
1589428943411, 21078, 4368, -2672, 6192
1589428943422, 21089, 4352, -2640, 6112
1589428943432, 21100, 4368, -2592, 6272
1589428943443, 21111, 4384, -2544, 6224
1589428943454, 21122, 4384, -2592, 6224
1589428943465, 21133, 4336, -2624, 6208
1589428943476, 21144, 4384, -2560, 6384
1589428943487, 21155, 4288, -2512, 6320
1589428943499, 21166, 4288, -2496, 6288
1589428943510, 21177, 4352, -2496, 6208
1589428943520, 21188, 4320, -2560, 6080
1589428943532, 21199, 4320, -2592, 6080
1589428943546, 21210, 4352, -2592, 5888
1589428943556, 21221, 4304, -2592, 5840
1589428943567, 21232, 4400, -2560, 6128
1589428943578, 21243, 4320, -2576, 6064
1589428943590, 21254, 4288, -2448, 6176
1589428943603, 21265, 4240, -2368, 6096
1589428943614, 21276, 4192, -2272, 6304
1589428943625, 21287, 4160, -2160, 6192
1589428943635, 21298, 4144, -2192, 6160
1589428943647, 21309, 4144, -2384, 6048
1589428943658, 21320, 4112, -2608, 5872
1589428943669, 21331, 4160, -2752, 5824
1589428943682, 21342, 4144, -2784, 5872
1589428943693, 21353, 4128, -2624, 5840
1589428943705, 21364, 4048, -2480, 5840
1589428943716, 21375, 3936, -2288, 5920
1589428943729, 21386, 3840, -2432, 5856
1589428943740, 21397, 3888, -2624, 5568
1589428943751, 21408, 3952, -2768, 5216
1589428943763, 21419, 3888, -2896, 5248
1589428943775, 21430, 3776, -2944, 5312
1589428943786, 21441, 3680, -2880, 5792
1589428943799, 21452, 3568, -2688, 6080
1589428943810, 21463, 3488, -2560, 6320
1589428943822, 21474, 3296, -2624, 6160
1589428943834, 21485, 3248, -2768, 5888
1589428943845, 21496, 3168, -2992, 5616
1589428943857, 21507, 3120, -3328, 5184
1589428943868, 21518, 3056, -3664, 5056
1589428943878, 21529, 2976, -4048, 4880
1589428943890, 21540, 2960, -4272, 4704
1589428943900, 21551, 2816, -4208, 4432
1589428943911, 21562, 2688, -4224, 4736
1589428943921, 21573, 2512, -4352, 5248
1589428943932, 21584, 2512, -4080, 5904
1589428943943, 21595, 2064, -4016, 6560
1589428943955, 21606, 1936, -4048, 6848
1589428943965, 21617, 1792, -4256, 6560
1589428943977, 21628, 1728, -5072, 5680
1589428943988, 21639, 1488, -5600, 5232
1589428944001, 21650, 1344, -6176, 5344
1589428944012, 21661, 1152, -6464, 5456
1589428944022, 21672, 1088, -6384, 6128
1589428944031, 21683, 720, -6160, 6864
1589428944041, 21694, 640, -5920, 7328
1589428944049, 21705, 496, -5872, 7488
