Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429307175, 384848, 5296, -3440, 5088
1589429307186, 384859, 5200, -3440, 5136
1589429307198, 384870, 5280, -3584, 4976
1589429307209, 384881, 5408, -3648, 4752
1589429307219, 384892, 5456, -3840, 4704
1589429307230, 384903, 5440, -3952, 4608
1589429307242, 384914, 5584, -4144, 4576
1589429307252, 384925, 5632, -4544, 4624
1589429307264, 384936, 5600, -5056, 4864
1589429307274, 384947, 5728, -5520, 4784
1589429307286, 384958, 5504, -6128, 4864
1589429307297, 384969, 5488, -6368, 4416
1589429307307, 384980, 5440, -5824, 3952
1589429307319, 384991, 5504, -5248, 3872
1589429307329, 385002, 5232, -5024, 3936
1589429307341, 385013, 5136, -4800, 4064
1589429307351, 385024, 5072, -4672, 4000
1589429307362, 385035, 5088, -4592, 4160
1589429307375, 385046, 4976, -4544, 4176
1589429307384, 385057, 4896, -4528, 4208
1589429307396, 385068, 4928, -4448, 4096
1589429307407, 385079, 4928, -4256, 4112
1589429307418, 385090, 4880, -4096, 4080
1589429307428, 385101, 4864, -4032, 3968
1589429307439, 385112, 4848, -4064, 3920
1589429307450, 385123, 4896, -3920, 3888
1589429307461, 385134, 4816, -4064, 4064
1589429307472, 385145, 4736, -4176, 4000
1589429307483, 385156, 4832, -4544, 4112
1589429307494, 385167, 4880, -5152, 4128
1589429307505, 385178, 4672, -5840, 4224
1589429307516, 385189, 4752, -6704, 3952
1589429307527, 385200, 4976, -7456, 3552
1589429307538, 385211, 5024, -8128, 3376
1589429307549, 385222, 5344, -8592, 3136
1589429307560, 385233, 5456, -8960, 3120
1589429307572, 385244, 5552, -9200, 3072
1589429307582, 385255, 5584, -9392, 2864
1589429307594, 385266, 5968, -9616, 2688
1589429307605, 385277, 6160, -10016, 2480
1589429307615, 385288, 6256, -10176, 2368
1589429307626, 385299, 6320, -10128, 2400
1589429307637, 385310, 6512, -10048, 2672
1589429307649, 385321, 6528, -9952, 2944
1589429307660, 385332, 6512, -9936, 3408
1589429307670, 385343, 6496, -9968, 3536
1589429307681, 385354, 6336, -9888, 3792
1589429307692, 385365, 6320, -9872, 4032
1589429307703, 385376, 6336, -9744, 4128
1589429307715, 385387, 6304, -9584, 3968
1589429307726, 385398, 6304, -9456, 3808
1589429307736, 385409, 6272, -9120, 3584
1589429307747, 385420, 6256, -8656, 3344
1589429307759, 385431, 6208, -8368, 2720
1589429307770, 385442, 6032, -8192, 2192
1589429307780, 385453, 5824, -7936, 1408
1589429307791, 385464, 5616, -7616, 832
1589429307802, 385475, 5648, -7088, 368
1589429307813, 385486, 5504, -6720, 64
1589429307824, 385497, 5280, -6416, -112
1589429307835, 385508, 5184, -6240, -432
1589429307846, 385519, 5296, -5936, -944
1589429307857, 385530, 4880, -5664, -1376
1589429307868, 385541, 4752, -5520, -1696
1589429307880, 385552, 4672, -5216, -2080
1589429307891, 385563, 4688, -4912, -2432
1589429307901, 385574, 4496, -4592, -2368
