Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429716584, 794257, 7360, -2304, -3152
1589429716595, 794268, 7440, -2128, -3056
1589429716605, 794279, 7488, -1856, -2944
1589429716617, 794290, 7664, -1776, -2944
1589429716627, 794301, 7696, -2048, -2944
1589429716639, 794312, 7728, -2352, -3088
1589429716652, 794323, 7840, -2688, -3392
1589429716663, 794334, 7888, -2928, -3488
1589429716673, 794345, 7808, -3104, -3600
1589429716685, 794356, 7728, -3200, -3552
1589429716695, 794367, 7600, -3088, -3248
1589429716706, 794378, 7504, -3008, -3152
1589429716716, 794389, 7344, -2992, -3152
1589429716727, 794400, 7280, -2864, -3072
1589429716737, 794411, 7168, -2656, -2912
1589429716747, 794422, 7184, -2336, -2944
1589429716759, 794433, 7168, -2112, -2896
1589429716770, 794444, 7232, -1904, -2720
1589429716781, 794455, 7152, -1712, -2544
1589429716791, 794466, 7200, -1680, -2272
1589429716803, 794477, 7312, -1680, -2336
1589429716814, 794488, 7408, -1808, -2448
1589429716826, 794499, 7408, -1920, -2592
1589429716836, 794510, 7504, -2288, -2832
1589429716847, 794521, 7520, -2608, -2928
1589429716858, 794532, 7584, -2720, -2960
1589429716869, 794543, 7600, -2784, -2960
1589429716880, 794554, 7584, -2672, -3056
1589429716891, 794565, 7600, -2208, -3312
1589429716902, 794576, 7600, -1472, -3472
1589429716913, 794587, 7520, -1056, -3088
1589429716924, 794598, 7600, -1120, -2656
1589429716934, 794609, 7584, -1440, -2368
1589429716944, 794620, 7600, -1712, -2320
1589429716955, 794631, 7584, -2048, -2624
1589429716966, 794642, 7648, -2576, -2880
1589429716977, 794653, 7440, -2992, -2992
1589429716987, 794664, 7232, -2976, -3008
1589429717000, 794675, 7040, -2688, -2800
1589429717010, 794686, 6928, -2112, -2768
1589429717022, 794697, 6704, -1872, -2784
1589429717032, 794708, 6640, -1648, -2768
1589429717044, 794719, 6560, -1440, -2896
1589429717054, 794730, 6592, -1360, -3168
1589429717065, 794741, 6752, -1376, -3328
1589429717076, 794752, 6784, -1520, -3472
1589429717088, 794763, 6912, -1648, -3568
1589429717099, 794774, 6928, -1856, -3696
1589429717110, 794785, 7184, -2032, -3776
1589429717120, 794796, 7344, -2240, -3808
1589429717132, 794807, 7424, -2448, -3840
1589429717143, 794818, 7376, -2608, -3808
1589429717153, 794829, 7552, -2704, -3808
1589429717164, 794840, 7616, -2800, -3744
1589429717175, 794851, 7632, -2976, -3616
1589429717186, 794862, 7632, -2896, -3440
1589429717197, 794873, 7504, -2800, -3232
1589429717208, 794884, 7440, -2688, -3088
1589429717220, 794895, 7360, -2560, -3024
1589429717231, 794906, 7312, -2400, -3120
1589429717240, 794917, 7120, -2192, -3136
1589429717251, 794928, 7168, -2000, -3216
1589429717263, 794939, 7040, -1936, -3200
1589429717274, 794950, 7072, -1920, -3152
1589429717285, 794961, 7040, -1968, -3168
1589429717296, 794972, 7024, -1984, -3104
1589429717308, 794983, 6976, -1984, -3200
1589429717319, 794994, 7008, -2096, -3104
1589429717329, 795005, 6976, -2176, -3168
1589429717340, 795016, 6992, -2352, -3184
1589429717351, 795027, 6992, -2512, -3232
1589429717362, 795038, 7024, -2624, -3488
1589429717373, 795049, 6992, -2624, -3696
1589429717384, 795060, 7072, -2544, -3824
1589429717395, 795071, 6960, -2448, -3744
1589429717406, 795082, 7024, -2432, -3536
1589429717418, 795093, 6896, -2384, -3488
1589429717429, 795104, 6832, -2336, -3392
1589429717440, 795115, 6784, -2256, -3456
1589429717451, 795126, 6816, -2128, -3424
1589429717461, 795137, 6832, -2080, -3392
1589429717472, 795148, 6800, -2048, -3392
1589429717482, 795159, 6768, -2096, -3408
1589429717493, 795170, 6784, -2000, -3376
1589429717505, 795181, 6704, -1920, -3488
1589429717516, 795192, 6736, -1936, -3568
1589429717526, 795203, 6688, -1920, -3424
1589429717538, 795214, 6864, -2048, -3520
1589429717548, 795225, 6784, -2048, -3648
1589429717560, 795236, 6800, -1968, -3664
1589429717572, 795247, 6752, -1856, -3584
1589429717582, 795258, 6800, -1840, -3408
1589429717594, 795269, 6848, -1968, -3472
1589429717606, 795280, 6800, -1936, -3392
1589429717616, 795291, 6944, -1856, -3408
1589429717627, 795302, 6944, -1776, -3360
1589429717637, 795313, 7040, -1824, -3456
1589429717649, 795324, 7232, -1840, -3488
1589429717659, 795335, 7392, -1840, -3488
1589429717670, 795346, 7760, -1408, -3264
1589429717681, 795357, 8032, -1360, -3232
1589429717693, 795368, 8304, -1536, -3200
1589429717703, 795379, 8384, -1968, -3600
1589429717714, 795390, 8528, -2528, -4016
1589429717726, 795401, 8768, -2768, -5104
1589429717736, 795412, 9040, -3488, -6208
1589429717747, 795423, 9072, -3712, -7248
1589429717758, 795434, 9296, -3648, -8640
1589429717770, 795445, 9264, -3408, -8976
1589429717781, 795456, 9136, -2864, -9088
1589429717791, 795467, 8864, -2704, -8384
1589429717802, 795478, 8496, -2384, -7328
1589429717813, 795489, 8128, -2016, -6592
1589429717824, 795500, 7904, -1632, -5888
1589429717835, 795511, 7568, -1312, -4784
1589429717846, 795522, 7232, -1200, -3344
1589429717857, 795533, 7120, -944, -1984
1589429717868, 795544, 6416, -624, -720
1589429717879, 795555, 6080, -672, 336
1589429717890, 795566, 5696, -864, 960
1589429717900, 795577, 5632, -864, 960
1589429717911, 795588, 5216, -960, 368
1589429717923, 795599, 5136, -960, -352
1589429717934, 795610, 5040, -864, -1552
1589429717945, 795621, 5040, -720, -2896
1589429717955, 795632, 4912, -576, -3824
1589429717967, 795643, 4752, -496, -4080
1589429717978, 795654, 4480, -304, -3952
1589429717989, 795665, 4368, -48, -3568
1589429717999, 795676, 4000, 112, -3488
1589429718011, 795687, 3888, 528, -3760
1589429718022, 795698, 3888, 944, -4080
1589429718034, 795709, 3840, 1008, -3952
