Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429374154, 451827, 6656, -3904, -2368
1589429374167, 451838, 6624, -3968, -2384
1589429374178, 451849, 6656, -4032, -2336
1589429374190, 451860, 6592, -4032, -2320
1589429374201, 451871, 6608, -4112, -2352
1589429374211, 451882, 6592, -4112, -2480
1589429374223, 451893, 6496, -4160, -2512
1589429374235, 451904, 6592, -4176, -2576
1589429374246, 451915, 6656, -4112, -2608
1589429374255, 451926, 6688, -4064, -2464
1589429374266, 451937, 6720, -4000, -2480
1589429374277, 451948, 6624, -4032, -2464
1589429374288, 451959, 6624, -4064, -2512
1589429374299, 451970, 6624, -4048, -2416
1589429374310, 451981, 6608, -4112, -2560
1589429374322, 451992, 6608, -4160, -2560
1589429374331, 452003, 6592, -4144, -2560
1589429374342, 452014, 6640, -4048, -2432
1589429374353, 452025, 6624, -4016, -2528
1589429374364, 452036, 6656, -3936, -2400
1589429374375, 452047, 6624, -3984, -2288
1589429374386, 452058, 6608, -3952, -2448
1589429374397, 452069, 6576, -3952, -2400
1589429374407, 452080, 6624, -4000, -2368
1589429374418, 452091, 6640, -4048, -2528
1589429374429, 452102, 6640, -4304, -2624
1589429374440, 452113, 6608, -4192, -2736
1589429374451, 452124, 6656, -4176, -2560
1589429374463, 452135, 6640, -4096, -2448
1589429374474, 452146, 6544, -4016, -2144
1589429374484, 452157, 6656, -4016, -2304
1589429374497, 452168, 6592, -4032, -2336
1589429374507, 452179, 6624, -3952, -2400
1589429374518, 452190, 6624, -3984, -2448
1589429374528, 452201, 6704, -4048, -2544
1589429374539, 452212, 6624, -4016, -2560
1589429374551, 452223, 6624, -4016, -2448
1589429374561, 452234, 6656, -4048, -2432
1589429374572, 452245, 6640, -4032, -2352
1589429374583, 452256, 6672, -4048, -2368
1589429374594, 452267, 6608, -4048, -2400
1589429374605, 452278, 6688, -4064, -2624
1589429374615, 452289, 6736, -4016, -2432
1589429374627, 452300, 6640, -4000, -2464
1589429374638, 452311, 6624, -4016, -2496
1589429374650, 452322, 6608, -4064, -2384
1589429374661, 452333, 6672, -4032, -2336
1589429374672, 452344, 6608, -4016, -2400
1589429374682, 452355, 6576, -4016, -2528
1589429374693, 452366, 6560, -3968, -2592
1589429374706, 452377, 6528, -4016, -2656
1589429374716, 452388, 6608, -3984, -2624
1589429374727, 452399, 6624, -4000, -2544
1589429374737, 452410, 6688, -4064, -2784
1589429374749, 452421, 6688, -4096, -2832
1589429374760, 452432, 6688, -4096, -2784
1589429374771, 452443, 6656, -4080, -2800
1589429374781, 452454, 6656, -4112, -2768
1589429374793, 452465, 6496, -4160, -2832
1589429374804, 452476, 6640, -4208, -2896
1589429374814, 452487, 6560, -4160, -2992
1589429374826, 452498, 6656, -4192, -3120
1589429374836, 452509, 6528, -4224, -3008
1589429374847, 452520, 6688, -4176, -2960
1589429374859, 452531, 6720, -4096, -2832
1589429374870, 452542, 6656, -4080, -2784
1589429374880, 452553, 6720, -4096, -2880
1589429374892, 452564, 6752, -4144, -2832
1589429374903, 452575, 6752, -4112, -2720
1589429374914, 452586, 6928, -4128, -2496
1589429374925, 452597, 6912, -4144, -2608
1589429374936, 452608, 7120, -4080, -3024
1589429374947, 452619, 7072, -4144, -3632
1589429374959, 452630, 7136, -4240, -4400
1589429374970, 452641, 7216, -4480, -5872
1589429374981, 452652, 7088, -4720, -6912
1589429374992, 452663, 6992, -4880, -7520
1589429375003, 452674, 6928, -5120, -7760
1589429375014, 452685, 6864, -5312, -7744
1589429375024, 452696, 6672, -5280, -7680
1589429375035, 452707, 6528, -5040, -7088
1589429375046, 452718, 6464, -4704, -6576
1589429375055, 452729, 6400, -4336, -6320
1589429375067, 452740, 6080, -4080, -6080
1589429375079, 452751, 5968, -3984, -5776
1589429375091, 452762, 5808, -3872, -5568
1589429375102, 452773, 5840, -3488, -5440
1589429375113, 452784, 5328, -3344, -5168
1589429375123, 452795, 5088, -3216, -4720
1589429375134, 452806, 4944, -3136, -4352
1589429375146, 452817, 4848, -3168, -4096
1589429375156, 452828, 4656, -3072, -3920
1589429375167, 452839, 4592, -3072, -3792
1589429375178, 452850, 4608, -2960, -3520
1589429375189, 452861, 4576, -2912, -3232
1589429375199, 452872, 4368, -2752, -3056
1589429375209, 452883, 4240, -2592, -2800
1589429375223, 452894, 4160, -2416, -2576
1589429375233, 452905, 4112, -2288, -1904
1589429375244, 452916, 4032, -2176, -1936
1589429375256, 452927, 3952, -2336, -1712
1589429375266, 452938, 3856, -2368, -1344
1589429375278, 452949, 3952, -2256, -1152
1589429375288, 452960, 3856, -2256, -912
1589429375300, 452971, 3728, -2096, -976
1589429375311, 452982, 3664, -2144, -736
1589429375321, 452993, 3696, -2112, -752
1589429375333, 453004, 3712, -2256, -240
1589429375343, 453015, 3824, -2464, 144
1589429375355, 453026, 3840, -2752, 384
1589429375365, 453037, 3856, -2816, 752
1589429375377, 453048, 3824, -2768, 1344
1589429375388, 453059, 3760, -2880, 1680
1589429375400, 453070, 3760, -2816, 1792
1589429375411, 453081, 3744, -2848, 1472
1589429375420, 453092, 3920, -3120, 1280
1589429375430, 453103, 3952, -3424, 1152
1589429375441, 453114, 4048, -3712, 1120
1589429375451, 453125, 4032, -3952, 880
1589429375463, 453136, 4096, -4240, 912
1589429375474, 453147, 4096, -4656, 1008
1589429375484, 453158, 4176, -5216, 1280
1589429375496, 453169, 4128, -5808, 1312
1589429375507, 453180, 4032, -5968, 1488
1589429375519, 453191, 4096, -5744, 1664
1589429375530, 453202, 4112, -5456, 1360
1589429375540, 453213, 4112, -6032, 1584
1589429375551, 453224, 4080, -6448, 1872
1589429375563, 453235, 4048, -6560, 1776
1589429375573, 453246, 3728, -6640, 1920
1589429375584, 453257, 3568, -6464, 2144
1589429375595, 453268, 3360, -6496, 2160
1589429375606, 453279, 3152, -6816, 2320
1589429375617, 453290, 3040, -7088, 1984
1589429375629, 453301, 2912, -7520, 1440
1589429375639, 453312, 2800, -7920, 1760
1589429375650, 453323, 2640, -8144, 1680
1589429375661, 453334, 2640, -8352, 1712
1589429375672, 453345, 2432, -8816, 2224
1589429375683, 453356, 2480, -8992, 2096
1589429375694, 453367, 2560, -9328, 1936
1589429375704, 453378, 2512, -9472, 1616
1589429375716, 453389, 2448, -9904, 1680
1589429375727, 453400, 2336, -10640, 1776
1589429375738, 453411, 2448, -11440, 1888
1589429375750, 453422, 2544, -12448, 1632
1589429375761, 453433, 2592, -13712, 1440
1589429375770, 453444, 2576, -13984, 848
1589429375782, 453455, 2688, -13696, 768
1589429375793, 453466, 2672, -13424, 1552
1589429375806, 453477, 2832, -13440, 2896
1589429375817, 453488, 2528, -13536, 3856
1589429375828, 453499, 2336, -13664, 3680
1589429375838, 453510, 2128, -13792, 2288
1589429375849, 453521, 2000, -14224, 848
1589429375861, 453532, 1952, -14912, -64
1589429375873, 453543, 2048, -15872, -1168
1589429375883, 453554, 2208, -16800, -3152
1589429375895, 453565, 2240, -17248, -5584
1589429375906, 453576, 2352, -16992, -6160
1589429375916, 453587, 2192, -16304, -4912
1589429375927, 453598, 2224, -15392, -2448
1589429375938, 453609, 1952, -15056, -16
1589429375948, 453620, 1712, -15328, 0
1589429375962, 453631, 1040, -14848, -1680
1589429375973, 453642, 1088, -14720, -3472
1589429375984, 453653, 928, -14640, -4816
1589429375994, 453664, 1056, -14688, -5104
1589429376004, 453675, 944, -14592, -4928
1589429376015, 453686, 704, -14208, -4768
1589429376026, 453697, 448, -13392, -4864
1589429376038, 453708, 432, -12704, -5296
1589429376049, 453719, 464, -12528, -5296
1589429376059, 453730, 384, -12352, -5088
1589429376070, 453741, 336, -12192, -5296
1589429376082, 453752, 272, -11648, -5600
1589429376092, 453763, 560, -11280, -6048
1589429376103, 453774, 528, -10928, -6160
1589429376113, 453785, 512, -10544, -5984
1589429376124, 453796, 576, -9824, -6400
1589429376135, 453807, 608, -9296, -6592
1589429376145, 453818, 608, -8896, -6608
1589429376156, 453829, 704, -8544, -6304
1589429376167, 453840, 656, -8224, -5968
1589429376179, 453851, 832, -8016, -5952
1589429376189, 453862, 896, -7568, -6352
1589429376201, 453873, 960, -7248, -6736
1589429376211, 453884, 1024, -6944, -6656
1589429376223, 453895, 1040, -6624, -6624
1589429376234, 453906, 1136, -6256, -6544
