Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429499564, 577238, 4416, 528, 6752
1589429499575, 577249, 4384, 512, 6672
1589429499586, 577260, 4432, 496, 6688
1589429499597, 577271, 4448, 432, 6672
1589429499609, 577282, 4320, 368, 6752
1589429499620, 577293, 4448, 400, 6720
1589429499630, 577304, 4416, 496, 6720
1589429499641, 577315, 4400, 592, 6816
1589429499653, 577326, 4464, 608, 6848
1589429499664, 577337, 4400, 656, 6848
1589429499675, 577348, 4416, 688, 6864
1589429499686, 577359, 4368, 736, 6848
1589429499697, 577370, 4400, 720, 6928
1589429499708, 577381, 4368, 672, 6896
1589429499721, 577392, 4368, 608, 6928
1589429499731, 577403, 4384, 544, 6944
1589429499741, 577414, 4384, 576, 6896
1589429499752, 577425, 4432, 640, 6832
1589429499763, 577436, 4416, 560, 6800
1589429499774, 577447, 4480, 560, 6816
1589429499784, 577458, 4464, 544, 6704
1589429499795, 577469, 4384, 512, 6672
1589429499806, 577480, 4416, 512, 6768
1589429499817, 577491, 4432, 560, 6832
1589429499828, 577502, 4416, 608, 6784
1589429499838, 577513, 4336, 512, 6928
1589429499850, 577524, 4352, 560, 6944
1589429499861, 577535, 4288, 640, 6864
1589429499872, 577546, 4144, 672, 6896
1589429499883, 577557, 4352, 704, 6720
1589429499895, 577568, 4320, 752, 6752
1589429499906, 577579, 4416, 624, 6800
1589429499918, 577590, 4528, 496, 6640
1589429499928, 577601, 4480, 480, 6608
1589429499939, 577612, 4448, 416, 6592
1589429499951, 577623, 4464, 496, 6624
1589429499962, 577634, 4576, 496, 6736
1589429499972, 577645, 4448, 512, 6768
1589429499983, 577656, 4352, 480, 6816
1589429499993, 577667, 4304, 448, 6864
1589429500004, 577678, 4320, 544, 6832
1589429500014, 577689, 4368, 560, 6832
1589429500026, 577700, 4368, 592, 6784
1589429500037, 577711, 4384, 592, 6576
1589429500048, 577722, 4416, 640, 6624
1589429500059, 577733, 4400, 560, 6704
1589429500070, 577744, 4384, 464, 6624
1589429500081, 577755, 4416, 432, 6816
1589429500092, 577766, 4432, 464, 6688
1589429500103, 577777, 4464, 480, 6624
1589429500113, 577788, 4384, 528, 6544
1589429500126, 577799, 4368, 592, 6512
1589429500136, 577810, 4368, 624, 6672
1589429500149, 577821, 4352, 656, 6784
1589429500160, 577832, 4352, 704, 6896
1589429500169, 577843, 4288, 640, 6944
1589429500181, 577854, 4288, 656, 7104
1589429500193, 577865, 4336, 656, 7088
1589429500204, 577876, 4336, 624, 6960
1589429500214, 577887, 4384, 640, 6896
1589429500225, 577898, 4432, 528, 6752
1589429500236, 577909, 4464, 384, 6864
1589429500248, 577920, 4528, 384, 6816
1589429500258, 577931, 4432, 368, 6848
1589429500269, 577942, 4560, 416, 6768
1589429500280, 577953, 4432, 384, 6704
1589429500292, 577964, 4416, 400, 6640
1589429500303, 577975, 4368, 416, 6736
1589429500314, 577986, 4352, 432, 6592
1589429500324, 577997, 4384, 368, 6592
1589429500336, 578008, 4320, 416, 6576
1589429500346, 578019, 4416, 432, 6608
1589429500358, 578030, 4448, 352, 6560
1589429500367, 578041, 4448, 368, 6608
1589429500377, 578052, 4464, 304, 6656
1589429500389, 578063, 4400, 304, 6752
1589429500400, 578074, 4352, 416, 6880
1589429500411, 578085, 4448, 496, 6864
1589429500421, 578096, 4384, 576, 6960
1589429500432, 578107, 4480, 496, 7056
1589429500444, 578118, 4624, 592, 7120
1589429500455, 578129, 4528, 784, 7216
1589429500466, 578140, 4640, 1104, 7408
1589429500477, 578151, 4560, 1392, 7584
1589429500488, 578162, 4608, 1808, 8048
1589429500498, 578173, 4544, 1952, 8160
1589429500510, 578184, 4432, 2256, 8144
1589429500520, 578195, 4368, 2304, 8304
1589429500531, 578206, 4304, 2624, 8496
1589429500543, 578217, 4112, 2848, 8544
1589429500554, 578228, 4000, 2976, 8336
1589429500565, 578239, 4000, 2976, 8112
1589429500576, 578250, 3824, 2768, 7472
1589429500586, 578261, 3824, 2720, 7120
1589429500597, 578272, 3728, 2688, 6672
1589429500608, 578283, 3552, 2880, 6368
1589429500619, 578294, 3488, 3120, 5648
1589429500631, 578305, 3136, 3328, 5344
1589429500642, 578316, 3040, 3360, 4944
1589429500652, 578327, 2880, 3136, 4960
1589429500663, 578338, 2880, 2736, 4992
1589429500675, 578349, 2880, 2096, 5056
1589429500686, 578360, 2848, 912, 5200
1589429500695, 578371, 3056, 0, 5232
1589429500708, 578382, 3104, -864, 5136
1589429500719, 578393, 3264, -1584, 4992
1589429500730, 578404, 3280, -2096, 4672
1589429500742, 578415, 3328, -2256, 4544
1589429500753, 578426, 3376, -2336, 4416
1589429500764, 578437, 3072, -2144, 4096
1589429500776, 578448, 2928, -1840, 3840
1589429500787, 578459, 2688, -1408, 3520
1589429500798, 578470, 2400, -1104, 3440
1589429500809, 578481, 2176, -976, 3696
1589429500819, 578492, 2016, -976, 3936
1589429500830, 578503, 1920, -976, 3936
1589429500841, 578514, 1824, -1184, 4080
1589429500852, 578525, 1776, -1408, 4224
1589429500863, 578536, 1744, -1616, 4304
1589429500874, 578547, 1808, -2128, 4288
1589429500884, 578558, 1760, -3040, 4432
1589429500895, 578569, 1792, -4000, 4736
1589429500907, 578580, 1824, -4864, 5040
1589429500918, 578591, 1792, -5616, 5248
1589429500929, 578602, 1696, -6320, 5392
1589429500939, 578613, 1696, -6752, 5840
1589429500951, 578624, 1488, -6688, 6432
1589429500962, 578635, 1296, -6400, 6944
1589429500973, 578646, 1120, -5744, 7536
1589429500984, 578657, 880, -5072, 7440
1589429500994, 578668, 752, -4304, 7136
1589429501005, 578679, 496, -3648, 6736
1589429501015, 578690, 448, -3088, 6800
1589429501027, 578701, 240, -3072, 7248
1589429501038, 578712, 304, -3424, 7392
1589429501049, 578723, 352, -4208, 7664
1589429501059, 578734, 304, -5104, 7680
1589429501070, 578745, 240, -5616, 7600
1589429501082, 578756, -16, -5920, 8000
1589429501094, 578767, -272, -5840, 8688
1589429501104, 578778, -704, -5232, 9712
1589429501116, 578789, -1184, -4816, 10416
1589429501126, 578800, -1376, -4160, 10912
1589429501138, 578811, -1616, -3632, 11152
1589429501149, 578822, -1712, -3296, 11280
1589429501160, 578833, -1696, -3088, 11536
1589429501171, 578844, -2128, -3008, 11888
1589429501182, 578855, -2224, -3104, 12448
1589429501193, 578866, -2256, -3248, 13280
1589429501203, 578877, -2224, -3264, 13536
1589429501214, 578888, -2192, -3312, 13408
1589429501226, 578899, -2256, -3472, 13360
1589429501237, 578910, -2224, -3488, 13712
1589429501248, 578921, -2272, -3472, 13776
1589429501259, 578932, -2688, -3312, 14160
1589429501270, 578943, -2864, -2960, 14432
1589429501281, 578954, -3184, -2144, 14768
1589429501292, 578965, -3280, -1456, 15072
1589429501302, 578976, -3728, -864, 15152
1589429501313, 578987, -3808, -448, 15216
1589429501325, 578998, -3936, -16, 15328
1589429501335, 579009, -4016, 592, 15424
1589429501347, 579020, -4080, 1312, 15584
1589429501359, 579031, -4144, 1808, 15648
1589429501368, 579042, -3968, 2240, 15280
1589429501380, 579053, -3808, 2656, 14240
1589429501391, 579064, -3392, 2784, 13424
1589429501403, 579075, -3136, 3024, 12704
1589429501414, 579086, -2864, 3200, 11856
1589429501425, 579097, -2768, 2992, 11472
1589429501435, 579108, -2528, 2848, 11008
1589429501446, 579119, -2480, 2864, 10704
1589429501456, 579130, -2352, 2944, 10192
1589429501467, 579141, -2352, 2928, 9600
1589429501478, 579152, -2144, 2912, 9136
1589429501489, 579163, -1968, 2944, 8624
1589429501500, 579174, -1888, 2928, 8320
1589429501511, 579185, -1808, 2752, 8016
1589429501521, 579196, -1296, 2688, 7296
1589429501533, 579207, -1056, 2480, 6560
1589429501544, 579218, -864, 2256, 5984
1589429501554, 579229, -896, 1936, 5584
1589429501566, 579240, -352, 1648, 5200
1589429501576, 579251, -128, 1312, 4752
1589429501587, 579262, 48, 1040, 4192
1589429501598, 579273, 112, 784, 4016
1589429501609, 579284, 496, 592, 3744
1589429501621, 579295, 256, -272, 4176
1589429501633, 579306, 912, 880, 3008
1589429501643, 579317, 1008, 320, 2832
1589429501655, 579328, 1136, -176, 2368
1589429501665, 579339, 1328, -240, 2096
1589429501677, 579350, 1584, -656, 2320
1589429501688, 579361, 1648, -1344, 1952
1589429501699, 579372, 2144, -1920, 1728
1589429501710, 579383, 2432, -2304, 1472
1589429501721, 579394, 2704, -2704, 1472
1589429501731, 579405, 2816, -3264, 1632
1589429501742, 579416, 3440, -3680, 1808
1589429501753, 579427, 3744, -4016, 2112
1589429501764, 579438, 4000, -4384, 2416
1589429501775, 579449, 4032, -4720, 2720
1589429501786, 579460, 4512, -4816, 3040
1589429501798, 579471, 4864, -4976, 3472
1589429501808, 579482, 5072, -4752, 3904
1589429501819, 579493, 5072, -4464, 4272
1589429501830, 579504, 5664, -4288, 4688
1589429501841, 579515, 5824, -4144, 5296
1589429501852, 579526, 6032, -4096, 5728
1589429501863, 579537, 6144, -4144, 6256
1589429501873, 579548, 6288, -3984, 6336
1589429501884, 579559, 6256, -3792, 6640
1589429501896, 579570, 6160, -3472, 7008
1589429501907, 579581, 6080, -2960, 7440
1589429501918, 579592, 5920, -2640, 7792
1589429501929, 579603, 5712, -2368, 7952
1589429501940, 579614, 5424, -1872, 8144
1589429501951, 579625, 5392, -1296, 8112
1589429501961, 579636, 4960, -896, 8208
1589429501972, 579647, 4784, -512, 8304
1589429501984, 579658, 4656, -224, 8304
1589429501995, 579669, 4656, 48, 7952
1589429502006, 579680, 4528, 176, 7824
1589429502017, 579691, 4560, 192, 7792
1589429502028, 579702, 4544, 240, 7568
1589429502039, 579713, 4528, 128, 7424
1589429502049, 579724, 4576, 16, 7024
1589429502061, 579735, 4608, 0, 6928
1589429502073, 579746, 4560, 144, 6800
1589429502084, 579757, 4528, 256, 6480
1589429502095, 579768, 4592, 272, 6272
1589429502107, 579779, 4512, 320, 6224
1589429502117, 579790, 4656, 256, 6096
1589429502129, 579801, 4672, -32, 6400
1589429502140, 579812, 4752, -160, 6192
1589429502149, 579823, 4704, -112, 6080
1589429502160, 579834, 4784, -16, 6112
1589429502170, 579845, 4752, 16, 6112
1589429502181, 579856, 4768, 48, 6128
1589429502192, 579867, 4752, 64, 6176
1589429502203, 579878, 4784, 80, 6128
1589429502215, 579889, 4768, 64, 6016
1589429502226, 579900, 4816, 64, 6304
1589429502235, 579911, 4736, 0, 6592
1589429502247, 579922, 4784, -144, 6880
1589429502259, 579933, 4784, -288, 6800
1589429502270, 579944, 4848, -288, 6688
1589429502280, 579955, 4896, -288, 6672
1589429502292, 579966, 4912, -256, 6544
1589429502303, 579977, 4896, -160, 6384
1589429502314, 579988, 4912, -192, 6384
1589429502325, 579999, 4880, -352, 6352
1589429502336, 580010, 4912, -352, 6432
1589429502348, 580021, 4864, -256, 6512
1589429502358, 580032, 4832, -96, 6800
1589429502367, 580043, 4864, -96, 6912
1589429502379, 580054, 4800, -160, 6704
