Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429549217, 626892, 4832, 1024, 6512
1589429549227, 626903, 4784, 1040, 6544
1589429549239, 626914, 4848, 1008, 6432
1589429549250, 626925, 4800, 1008, 6448
1589429549260, 626936, 4864, 944, 6432
1589429549272, 626947, 4864, 912, 6464
1589429549283, 626958, 4816, 864, 6160
1589429549293, 626969, 4752, 800, 6288
1589429549304, 626980, 4864, 816, 6384
1589429549316, 626991, 4848, 800, 6432
1589429549326, 627002, 4768, 928, 6512
1589429549337, 627013, 4736, 896, 6512
1589429549349, 627024, 4848, 848, 6528
1589429549359, 627035, 4816, 800, 6512
1589429549371, 627046, 4832, 736, 6480
1589429549382, 627057, 4864, 608, 6448
1589429549393, 627068, 4864, 576, 6368
1589429549403, 627079, 4880, 624, 6336
1589429549414, 627090, 4880, 752, 6256
1589429549425, 627101, 4800, 736, 6240
1589429549437, 627112, 4800, 848, 6288
1589429549447, 627123, 4800, 816, 6368
1589429549460, 627134, 4768, 864, 6416
1589429549471, 627145, 4912, 976, 6528
1589429549482, 627156, 4688, 912, 6512
1589429549494, 627167, 4736, 928, 6528
1589429549504, 627178, 4720, 944, 6464
1589429549515, 627189, 4688, 896, 6528
1589429549526, 627200, 4768, 800, 6512
1589429549537, 627211, 4832, 752, 6464
1589429549549, 627222, 4800, 656, 6448
1589429549559, 627233, 4864, 592, 6480
1589429549569, 627244, 4864, 624, 6480
1589429549581, 627255, 4832, 672, 6480
1589429549591, 627266, 4880, 576, 6496
1589429549602, 627277, 4896, 592, 6432
1589429549613, 627288, 4816, 496, 6448
1589429549624, 627299, 4880, 528, 6464
1589429549635, 627310, 4864, 560, 6432
1589429549646, 627321, 4912, 656, 6400
1589429549657, 627332, 4832, 736, 6416
1589429549668, 627343, 4832, 736, 6448
1589429549680, 627354, 4864, 752, 6416
1589429549690, 627365, 4816, 880, 6400
1589429549701, 627376, 4800, 784, 6432
1589429549713, 627387, 4768, 816, 6512
1589429549724, 627398, 4768, 816, 6464
1589429549735, 627409, 4640, 752, 6352
1589429549746, 627420, 4784, 816, 6448
1589429549756, 627431, 4752, 864, 6528
1589429549767, 627442, 4752, 816, 6624
1589429549779, 627453, 4784, 896, 6608
1589429549790, 627464, 4800, 896, 6544
1589429549801, 627475, 4768, 800, 6496
1589429549812, 627486, 4768, 752, 6544
1589429549822, 627497, 4608, 688, 6544
1589429549833, 627508, 4800, 720, 6400
1589429549845, 627519, 4816, 688, 6336
1589429549855, 627530, 4816, 640, 6224
1589429549867, 627541, 4880, 592, 6288
1589429549878, 627552, 4912, 592, 6304
1589429549889, 627563, 4912, 640, 6320
1589429549900, 627574, 4928, 720, 6384
1589429549911, 627585, 4816, 736, 6496
1589429549922, 627596, 4784, 768, 6512
1589429549932, 627607, 4736, 784, 6528
1589429549943, 627618, 4768, 800, 6592
1589429549953, 627629, 4720, 736, 6496
1589429549965, 627640, 4816, 688, 6448
