Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429599993, 677668, 3968, 1728, 6944
1589429600004, 677679, 3936, 1648, 6864
1589429600015, 677690, 3984, 1600, 6848
1589429600028, 677701, 3984, 1568, 6832
1589429600037, 677712, 3984, 1488, 6752
1589429600048, 677723, 3968, 1520, 6784
1589429600059, 677734, 3984, 1616, 6752
1589429600069, 677745, 4000, 1632, 6768
1589429600081, 677756, 4032, 1552, 6688
1589429600092, 677767, 4016, 1504, 6720
1589429600103, 677778, 4032, 1344, 6592
1589429600115, 677789, 4016, 1440, 6816
1589429600125, 677800, 4000, 1392, 6896
1589429600136, 677811, 3968, 1472, 6944
1589429600147, 677822, 3920, 1600, 7024
1589429600158, 677833, 3936, 1712, 7072
1589429600170, 677844, 3856, 1776, 7024
1589429600181, 677855, 3920, 1760, 7056
1589429600191, 677866, 3904, 1808, 7024
1589429600202, 677877, 3904, 1760, 6992
1589429600212, 677888, 3952, 1744, 6944
1589429600223, 677899, 3968, 1744, 6896
1589429600234, 677910, 3952, 1664, 6944
1589429600246, 677921, 4016, 1616, 6944
1589429600257, 677932, 4032, 1632, 6896
1589429600268, 677943, 3984, 1616, 6944
1589429600279, 677954, 3952, 1728, 6880
1589429600290, 677965, 3984, 1776, 6944
1589429600301, 677976, 3952, 1744, 6928
1589429600312, 677987, 3952, 1728, 6896
1589429600323, 677998, 3936, 1744, 6928
1589429600334, 678009, 4000, 1632, 6816
1589429600345, 678020, 3984, 1680, 6816
1589429600356, 678031, 4000, 1664, 6832
1589429600367, 678042, 3952, 1632, 6800
1589429600377, 678053, 4000, 1664, 6720
1589429600389, 678064, 3984, 1648, 6768
1589429600399, 678075, 3952, 1584, 6864
1589429600411, 678086, 3936, 1664, 6976
1589429600421, 678097, 3792, 1712, 7056
1589429600433, 678108, 3952, 1680, 6976
1589429600445, 678119, 3968, 1712, 6976
1589429600455, 678130, 3952, 1696, 6864
1589429600466, 678141, 3872, 1664, 6752
1589429600477, 678152, 3984, 1696, 6848
1589429600488, 678163, 4000, 1696, 6832
1589429600499, 678174, 3952, 1696, 6784
1589429600510, 678185, 3952, 1648, 6880
1589429600522, 678196, 3984, 1600, 6912
1589429600532, 678207, 4000, 1632, 6896
1589429600543, 678218, 3984, 1632, 6976
