Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429642057, 719732, 4800, -3488, 5824
1589429642068, 719743, 4656, -3408, 5872
1589429642079, 719754, 4608, -3344, 5840
1589429642090, 719765, 4592, -3248, 5824
1589429642102, 719776, 4624, -3264, 5760
1589429642112, 719787, 4608, -3376, 5760
1589429642124, 719798, 4576, -3408, 5760
1589429642134, 719809, 4640, -3392, 5744
1589429642145, 719820, 4784, -3360, 5808
1589429642156, 719831, 4640, -3504, 5680
1589429642168, 719842, 4656, -3472, 5728
1589429642178, 719853, 4672, -3376, 5808
1589429642188, 719864, 4656, -3328, 5680
1589429642200, 719875, 4624, -3424, 5840
1589429642209, 719886, 4672, -3504, 5824
1589429642223, 719897, 4720, -3536, 5920
1589429642233, 719908, 4688, -3440, 5856
1589429642244, 719919, 4672, -3440, 5744
1589429642256, 719930, 4720, -3328, 5616
1589429642266, 719941, 4704, -3360, 5568
1589429642277, 719952, 4768, -3424, 5568
1589429642288, 719963, 4640, -3552, 5552
1589429642299, 719974, 4656, -3472, 5648
1589429642309, 719985, 4640, -3472, 5776
1589429642321, 719996, 4592, -3376, 5824
1589429642332, 720007, 4640, -3392, 5888
1589429642343, 720018, 4608, -3440, 5968
1589429642354, 720029, 4624, -3456, 5936
1589429642364, 720040, 4544, -3456, 5840
1589429642376, 720051, 4656, -3376, 5776
1589429642387, 720062, 4672, -3392, 5696
1589429642398, 720073, 4688, -3472, 5760
1589429642410, 720084, 4752, -3552, 5888
1589429642421, 720095, 4656, -3504, 5824
1589429642431, 720106, 4656, -3456, 5824
1589429642443, 720117, 4656, -3472, 5744
1589429642453, 720128, 4560, -3488, 5696
1589429642464, 720139, 4656, -3472, 5744
1589429642475, 720150, 4672, -3600, 5824
1589429642486, 720161, 4672, -3632, 5904
1589429642497, 720172, 4640, -3488, 5904
1589429642508, 720183, 4656, -3392, 6000
1589429642518, 720194, 4672, -3504, 5856
1589429642531, 720205, 4720, -3568, 5792
1589429642541, 720216, 4736, -3440, 5664
1589429642553, 720227, 4720, -3296, 5552
1589429642563, 720238, 4752, -3232, 5472
1589429642574, 720249, 4672, -3200, 5328
1589429642585, 720260, 4640, -3232, 5440
1589429642597, 720271, 4640, -3472, 5504
1589429642608, 720282, 4640, -3552, 5744
1589429642619, 720293, 4656, -3632, 5840
1589429642630, 720304, 4576, -3728, 6096
1589429642641, 720315, 4672, -3728, 6016
1589429642651, 720326, 4624, -3680, 6000
1589429642662, 720337, 4688, -3536, 6000
1589429642672, 720348, 4624, -3472, 6224
1589429642684, 720359, 4608, -3712, 6464
1589429642695, 720370, 4720, -3904, 6688
1589429642705, 720381, 4736, -4032, 6720
1589429642717, 720392, 4688, -4080, 6608
1589429642728, 720403, 4784, -3824, 6496
1589429642738, 720414, 4848, -3776, 6416
1589429642750, 720425, 4864, -3856, 6496
1589429642761, 720436, 4800, -3728, 6304
1589429642773, 720447, 4816, -3584, 6096
1589429642783, 720458, 4832, -3248, 5600
1589429642795, 720469, 4928, -3152, 5408
1589429642805, 720480, 4816, -3184, 5280
1589429642816, 720491, 4896, -3008, 5120
1589429642828, 720502, 4848, -2960, 4912
1589429642839, 720513, 4832, -2992, 4944
1589429642850, 720524, 4864, -3056, 5040
1589429642860, 720535, 4832, -3136, 4912
1589429642871, 720546, 4944, -3040, 4896
1589429642882, 720557, 4864, -2976, 4928
1589429642893, 720568, 4848, -3168, 5056
1589429642904, 720579, 4864, -3328, 5328
1589429642915, 720590, 4800, -3440, 5584
1589429642926, 720601, 4848, -3536, 6048
1589429642937, 720612, 4880, -3600, 6128
1589429642949, 720623, 4832, -3680, 6240
1589429642959, 720634, 4896, -3616, 6192
1589429642970, 720645, 4896, -3520, 6128
1589429642981, 720656, 4928, -3440, 6160
1589429642992, 720667, 5024, -3408, 6080
1589429643003, 720678, 5008, -3472, 6080
1589429643014, 720689, 5056, -3600, 6192
1589429643025, 720700, 5024, -3568, 6368
1589429643037, 720711, 5088, -3520, 6240
1589429643047, 720722, 5136, -3648, 6448
1589429643059, 720733, 5104, -3616, 6432
1589429643069, 720744, 5200, -3696, 6496
1589429643080, 720755, 5216, -3696, 6384
1589429643091, 720766, 5264, -3616, 6176
1589429643102, 720777, 5376, -3520, 5968
1589429643114, 720788, 5376, -3344, 5648
1589429643124, 720799, 5328, -3136, 5328
1589429643134, 720810, 5440, -3104, 5088
1589429643146, 720821, 5472, -3104, 5024
1589429643157, 720832, 5488, -3392, 5168
1589429643168, 720843, 5408, -3712, 5232
1589429643179, 720854, 5456, -3968, 5200
1589429643190, 720865, 5472, -4032, 4992
1589429643202, 720876, 5488, -3888, 4768
1589429643213, 720887, 5328, -3040, 4576
1589429643225, 720898, 5248, -2320, 4192
1589429643234, 720909, 5168, -1744, 3808
1589429643247, 720920, 5120, -1136, 2912
1589429643257, 720931, 5072, -400, 2288
1589429643267, 720942, 4720, -80, 1328
1589429643278, 720953, 4432, 304, 432
1589429643290, 720964, 4144, 1200, -1168
1589429643302, 720975, 4192, 2912, -2784
1589429643313, 720986, 3904, 4112, -4624
1589429643325, 720997, 4128, 5024, -7360
1589429643334, 721008, 4496, 6368, -9488
1589429643346, 721019, 4608, 9360, -10784
1589429643357, 721030, 4704, 7232, -10064
1589429643368, 721041, 2240, -1280, -2960
1589429643379, 721052, 656, -13200, 14208
1589429643390, 721063, 976, -31312, 31472
1589429643402, 721074, 2272, -32400, 32576
1589429643412, 721085, 4816, -23616, 32640
1589429643423, 721096, 4416, -13312, 23520
1589429643434, 721107, 4064, -6560, 13968
1589429643445, 721118, 5296, -4512, 7648
1589429643455, 721129, 5488, -2880, 2816
1589429643466, 721140, 5152, -1488, -816
1589429643478, 721151, 5120, -512, -2160
1589429643488, 721162, 5040, 256, -3168
1589429643499, 721173, 4560, 976, -3664
1589429643509, 721184, 4320, 1872, -4176
1589429643520, 721195, 4288, 2784, -5072
1589429643532, 721206, 4176, 3264, -6960
1589429643543, 721217, 4160, 4656, -8528
1589429643554, 721228, 3856, 6368, -9024
1589429643564, 721239, 3776, 7120, -8128
1589429643575, 721250, 3312, 5888, -6672
1589429643586, 721261, 3152, 4560, -5008
1589429643598, 721272, 3264, 3168, -3664
1589429643608, 721283, 3280, -1088, -688
1589429643618, 721294, 3344, -6992, 3680
1589429643632, 721305, 3424, -17856, 11648
1589429643643, 721316, 2352, -26720, 24784
1589429643654, 721327, 2880, -27456, 29216
1589429643665, 721338, 5248, -19344, 28448
1589429643676, 721349, 4192, -11472, 24432
1589429643687, 721360, 3824, -6320, 18544
1589429643697, 721371, 3840, -2720, 9808
1589429643707, 721382, 4368, -1552, 5264
1589429643718, 721393, 4208, -704, 1856
1589429643728, 721404, 4128, 176, -368
1589429643740, 721415, 4112, 1616, -2592
1589429643751, 721426, 4032, 2768, -4224
1589429643763, 721437, 3984, 4096, -5488
1589429643773, 721448, 3984, 5136, -6736
1589429643785, 721459, 3968, 6688, -8128
1589429643796, 721470, 4080, 7856, -8720
1589429643806, 721481, 3936, 8144, -8880
1589429643817, 721492, 3648, 7296, -8208
1589429643828, 721503, 3680, 2080, -5296
1589429643839, 721514, 3456, -4224, -464
1589429643850, 721525, 3552, -12288, 7392
1589429643862, 721536, 3248, -22112, 17936
1589429643873, 721547, 3344, -29072, 26464
1589429643883, 721558, 5152, -26016, 28704
1589429643895, 721569, 4992, -16960, 26624
1589429643906, 721580, 4656, -9264, 20704
1589429643916, 721591, 4688, -4368, 13488
1589429643928, 721602, 4432, -3264, 8400
1589429643939, 721613, 4480, -2208, 4544
1589429643950, 721624, 4336, -1392, 1360
1589429643962, 721635, 4256, -16, -1808
1589429643973, 721646, 4096, 1456, -3728
1589429643983, 721657, 4224, 2816, -5600
1589429643993, 721668, 4176, 3984, -6896
1589429644006, 721679, 4240, 5632, -7536
1589429644016, 721690, 3840, 6688, -7248
1589429644026, 721701, 3632, 7504, -6928
1589429644036, 721712, 3504, 7104, -5776
1589429644048, 721723, 3392, 4992, -3808
1589429644059, 721734, 3440, 1744, -1712
1589429644071, 721745, 3472, -3184, 1776
1589429644081, 721756, 3776, -9792, 7056
1589429644094, 721767, 3872, -19824, 16704
1589429644103, 721778, 4592, -24912, 22144
1589429644116, 721789, 5056, -23584, 24256
1589429644126, 721800, 5328, -16576, 23168
1589429644137, 721811, 5056, -8560, 18096
1589429644148, 721822, 4896, -5040, 13536
