Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429270204, 347877, -3008, -7568, 528
1589429270215, 347888, -2832, -7184, 608
1589429270226, 347899, -2848, -7072, 656
1589429270238, 347910, -2896, -7008, 640
1589429270249, 347921, -2752, -6976, 560
1589429270259, 347932, -2704, -6944, 352
1589429270271, 347943, -2640, -6992, 208
1589429270282, 347954, -2624, -7200, 192
1589429270292, 347965, -2736, -7312, 368
1589429270303, 347976, -2784, -7312, 464
1589429270315, 347987, -2864, -7616, 848
1589429270326, 347998, -2768, -7840, 912
1589429270337, 348009, -3152, -7728, 992
1589429270347, 348020, -3200, -7440, 880
1589429270359, 348031, -2944, -6736, 1008
1589429270370, 348042, -3040, -6400, 592
1589429270380, 348053, -3040, -6816, 112
1589429270392, 348064, -2928, -7264, -160
1589429270403, 348075, -2832, -7552, -448
1589429270414, 348086, -2848, -7328, -304
1589429270425, 348097, -2880, -7648, -256
1589429270436, 348108, -3040, -7536, -176
1589429270447, 348119, -2992, -7072, -736
1589429270460, 348130, -2976, -6032, -960
1589429270469, 348141, -3200, -5696, -1296
1589429270481, 348152, -3360, -6000, -1712
1589429270493, 348163, -3408, -6656, -1792
1589429270503, 348174, -3408, -7632, -2000
1589429270514, 348185, -4272, -7472, -2320
1589429270525, 348196, -4256, -6176, -2624
1589429270536, 348207, -4848, -4432, -2496
1589429270547, 348218, -5424, -2960, -2480
1589429270558, 348229, -5808, -2800, -2416
1589429270569, 348240, -5680, -2992, -2208
1589429270579, 348251, -6128, -4176, -1104
1589429270589, 348262, -6304, -6016, -416
1589429270601, 348273, -6480, -7104, 112
1589429270611, 348284, -6224, -7376, 688
1589429270622, 348295, -6368, -7344, 1040
1589429270634, 348306, -6480, -7296, 1104
1589429270644, 348317, -6096, -7488, 784
1589429270655, 348328, -5984, -7616, 400
1589429270667, 348339, -5792, -7360, 160
1589429270678, 348350, -5856, -7104, -208
1589429270688, 348361, -5888, -7120, -80
1589429270699, 348372, -5248, -6368, -112
1589429270710, 348383, -4512, -5152, 416
1589429270722, 348394, -4560, -5744, 416
1589429270733, 348405, -3936, -6848, -400
1589429270745, 348416, -4256, -7936, -1472
1589429270755, 348427, -4448, -8016, -1568
1589429270766, 348438, -4544, -7744, -1872
1589429270776, 348449, -4320, -6512, -2832
1589429270788, 348460, -4672, -5232, -3872
1589429270800, 348471, -4944, -3984, -4736
1589429270811, 348482, -4992, -2352, -3568
1589429270822, 348493, -3520, -2224, -2784
1589429270833, 348504, -2864, -3216, -2272
1589429270844, 348515, -2128, -5232, -1984
1589429270854, 348526, -1952, -5920, -288
1589429270866, 348537, -1984, -5824, 944
1589429270877, 348548, -1488, -5600, 2256
1589429270888, 348559, -1552, -5584, 2784
1589429270899, 348570, -1776, -5008, 1664
1589429270911, 348581, -3680, -3904, 1040
1589429270921, 348592, -3696, -3536, 512
1589429270931, 348603, -3552, -3680, 640
1589429270943, 348614, -3488, -4320, 1440
1589429270954, 348625, -2816, -4992, 2336
1589429270965, 348636, -2672, -5904, 3488
1589429270978, 348647, -2720, -6720, 4160
1589429270988, 348658, -2736, -6704, 5456
1589429270998, 348669, -3904, -6240, 5312
1589429271009, 348680, -4768, -5328, 6288
1589429271020, 348691, -4928, -4208, 6592
1589429271031, 348702, -6560, -3104, 6896
1589429271041, 348713, -7248, -3568, 3952
1589429271052, 348724, -8224, -3472, 3984
1589429271062, 348735, -9136, -4240, 3248
1589429271073, 348746, -10016, -6032, 3232
1589429271085, 348757, -10816, -7936, 3472
1589429271096, 348768, -11264, -9760, 3728
1589429271107, 348779, -11808, -10720, 4032
1589429271119, 348790, -12576, -11024, 3968
1589429271129, 348801, -13808, -11184, 4080
1589429271141, 348812, -15104, -11312, 4416
1589429271151, 348823, -16752, -11168, 4512
1589429271163, 348834, -18960, -9856, 4608
1589429271173, 348845, -20544, -8400, 4448
1589429271185, 348856, -22144, -8048, 5040
1589429271196, 348867, -23632, -7504, 5200
1589429271207, 348878, -24928, -8032, 4720
1589429271217, 348889, -25888, -8912, 3984
1589429271227, 348900, -26608, -9440, 3456
1589429271239, 348911, -26896, -9808, 2400
1589429271251, 348922, -27216, -10160, 624
1589429271262, 348933, -26880, -9456, -48
1589429271272, 348944, -26352, -8624, -848
1589429271284, 348955, -25792, -8000, -944
1589429271295, 348966, -25072, -7504, -240
1589429271304, 348977, -24512, -7504, 240
1589429271316, 348988, -23920, -7424, 816
1589429271328, 348999, -23328, -7424, 1344
1589429271338, 349010, -22672, -7440, 928
1589429271350, 349021, -22528, -7280, 208
1589429271363, 349032, -20848, -6688, -1440
1589429271372, 349043, -20064, -6928, -3232
1589429271384, 349054, -19600, -5536, -5904
1589429271394, 349065, -19200, -4768, -6448
1589429271406, 349076, -14304, -5104, -6176
1589429271417, 349087, -11472, -3936, -7296
1589429271427, 349098, -10704, -2992, -6672
1589429271439, 349109, -10848, -3472, -5696
1589429271450, 349120, -10256, -3008, -4736
1589429271460, 349131, -9904, -1952, -3584
1589429271472, 349142, -8976, -1504, -2224
1589429271483, 349153, -8816, -1632, -1856
1589429271493, 349164, -7008, -3392, -2128
1589429271503, 349175, -6480, -5216, -1968
1589429271513, 349186, -5904, -3936, -1344
1589429271525, 349197, -5872, -1968, -1632
1589429271535, 349208, -5488, -1456, -1696
1589429271547, 349219, -2992, -1776, -912
1589429271558, 349230, -2608, -2048, -752
1589429271569, 349241, -2640, -2944, -224
1589429271579, 349252, -3504, -3184, 816
1589429271591, 349263, -3744, -3200, 2128
1589429271601, 349274, -3520, -2560, 3040
1589429271613, 349285, -3424, -1152, 2592
1589429271623, 349296, -2528, -480, 1872
1589429271634, 349307, -2032, -592, 1840
1589429271646, 349318, -1952, -1728, 2624
1589429271657, 349329, -1872, -3248, 3584
1589429271668, 349340, -2080, -3488, 4272
1589429271678, 349351, -2016, -3200, 5152
1589429271690, 349362, -2128, -2672, 6032
1589429271701, 349373, -2016, -2064, 6496
1589429271712, 349384, -2384, -1680, 6464
1589429271723, 349395, -2416, -1680, 6128
1589429271734, 349406, -2320, -1568, 5904
1589429271746, 349417, -2400, -2624, 5632
1589429271757, 349428, -1680, -3696, 6624
1589429271768, 349439, -3216, -2992, 7040
1589429271778, 349450, -2736, -1344, 7680
1589429271789, 349461, -2400, -896, 7872
1589429271801, 349472, -2640, -1408, 7952
1589429271812, 349483, -2592, -1696, 7840
1589429271824, 349494, -2304, -1840, 6560
1589429271834, 349505, -2224, -1968, 5472
1589429271845, 349516, -2448, -2176, 5648
1589429271856, 349527, -2432, -2528, 6704
1589429271868, 349538, -2080, -2896, 7136
1589429271879, 349549, -2016, -2720, 7504
1589429271889, 349560, -2352, -2816, 7856
1589429271901, 349571, -2400, -2768, 7328
