Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429118455, 214436, -96, 192, 7888
1589429118466, 214447, -80, 224, 7792
1589429118477, 214458, -96, 224, 7696
1589429118488, 214469, -128, 208, 7744
1589429118499, 214480, -64, 192, 7808
1589429118510, 214491, -64, 112, 7760
1589429118521, 214502, -48, 176, 7792
1589429118532, 214513, 0, 160, 7792
1589429118543, 214524, -64, 176, 7744
1589429118554, 214535, 16, 192, 7760
1589429118565, 214546, -80, 192, 7792
1589429118576, 214557, -80, 240, 7856
1589429118587, 214568, -48, 208, 7696
1589429118598, 214579, -64, 208, 7872
1589429118609, 214590, -48, 256, 7936
1589429118620, 214601, -80, 224, 7904
1589429118631, 214612, -16, 224, 7776
1589429118643, 214623, -32, 176, 7744
1589429118654, 214634, -16, 224, 7808
1589429118664, 214645, -48, 192, 7808
1589429118674, 214656, 0, 176, 7760
1589429118686, 214667, -32, 160, 7808
1589429118697, 214678, -48, 144, 7856
1589429118708, 214689, -80, 192, 7824
1589429118719, 214700, 16, 256, 7776
1589429118730, 214711, -64, 240, 7744
1589429118741, 214722, -128, 272, 7808
1589429118752, 214733, -48, 256, 7888
1589429118763, 214744, -64, 224, 7856
1589429118774, 214755, -96, 208, 7792
1589429118785, 214766, -16, 240, 7744
1589429118796, 214777, -48, 160, 7728
1589429118807, 214788, -80, 176, 7792
1589429118818, 214799, -128, 240, 7840
1589429118829, 214810, -48, 240, 7808
1589429118840, 214821, -48, 224, 7840
1589429118851, 214832, -64, 272, 7856
1589429118862, 214843, -96, 208, 7824
1589429118873, 214854, -32, 208, 7824
1589429118884, 214865, 32, 240, 7808
1589429118895, 214876, -80, 160, 7744
1589429118906, 214887, -112, 192, 7856
1589429118917, 214898, -48, 176, 7792
1589429118928, 214909, 0, 272, 7840
1589429118939, 214920, -32, 256, 7888
1589429118950, 214931, -48, 208, 7760
1589429118961, 214942, -32, 192, 7792
1589429118972, 214953, -64, 192, 7840
1589429118984, 214964, -112, 192, 7808
1589429118995, 214975, -112, 176, 7840
1589429119006, 214986, -112, 224, 7856
1589429119017, 214997, -48, 224, 7840
1589429119028, 215008, -16, 192, 7792
1589429119038, 215019, 0, 208, 7792
1589429119049, 215030, -32, 208, 7840
1589429119060, 215041, -64, 208, 7840
1589429119071, 215052, -96, 240, 7840
1589429119082, 215063, -128, 240, 7824
1589429119093, 215074, -96, 272, 7888
1589429119104, 215085, -96, 304, 7648
1589429119115, 215096, -64, 240, 7792
1589429119126, 215107, -48, 256, 7792
1589429119137, 215118, -16, 240, 7712
1589429119148, 215129, -16, 176, 7808
1589429119159, 215140, -64, 224, 7840
1589429119170, 215151, -64, 192, 7952
1589429119181, 215162, -96, 256, 7888
1589429119192, 215173, -64, 256, 7872
1589429119203, 215184, -16, 224, 7872
1589429119214, 215195, -64, 176, 7808
1589429119225, 215206, -64, 176, 7856
1589429119236, 215217, -64, 208, 7808
1589429119247, 215228, -64, 208, 7904
1589429119258, 215239, -32, 272, 7760
1589429119269, 215250, -112, 272, 7824
1589429119280, 215261, -96, 256, 7840
1589429119291, 215272, -96, 240, 7728
1589429119302, 215283, -96, 256, 7696
1589429119313, 215294, -48, 192, 7760
1589429119324, 215305, -48, 224, 7808
1589429119335, 215316, -112, 240, 7824
1589429119346, 215327, -64, 224, 7776
1589429119357, 215338, 0, 208, 7728
1589429119368, 215349, 48, 160, 7808
1589429119379, 215360, -32, 176, 7792
1589429119390, 215371, -32, 256, 7824
1589429119401, 215382, -80, 272, 7968
1589429119412, 215393, -64, 240, 7904
1589429119424, 215404, -80, 272, 7872
1589429119434, 215415, 0, 240, 7872
1589429119445, 215426, -48, 192, 7872
1589429119457, 215437, -32, 224, 7856
1589429119467, 215448, -80, 256, 7808
1589429119478, 215459, -64, 256, 7888
1589429119489, 215470, -48, 192, 7872
1589429119500, 215481, -64, 240, 7856
1589429119511, 215492, -112, 224, 7824
1589429119522, 215503, 0, 224, 7824
1589429119533, 215514, -32, 176, 7760
1589429119544, 215525, -80, 176, 7616
1589429119555, 215536, 0, 224, 7792
1589429119566, 215547, -64, 272, 7824
1589429119577, 215558, -64, 224, 7920
1589429119588, 215569, -48, 240, 7856
