Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589428964740, 60722, -1392, 800, 7712
1589428964751, 60733, -1392, 848, 7776
1589428964762, 60744, -1456, 784, 7616
1589428964773, 60755, -1456, 720, 7568
1589428964784, 60766, -1552, 720, 7792
1589428964795, 60777, -1536, 832, 7968
1589428964806, 60788, -1568, 848, 8048
1589428964817, 60799, -1504, 864, 8128
1589428964828, 60810, -1488, 560, 8000
1589428964839, 60821, -1424, 496, 7920
1589428964850, 60832, -1376, 448, 7888
1589428964861, 60843, -1424, 432, 7952
1589428964872, 60854, -1360, 368, 7936
1589428964884, 60865, -1392, 320, 7856
1589428964894, 60876, -1328, 224, 7776
1589428964905, 60887, -1296, 240, 7712
1589428964917, 60898, -1280, 288, 7616
1589428964928, 60909, -1312, 336, 7568
1589428964939, 60920, -1296, 352, 7712
1589428964950, 60931, -1328, 384, 7616
1589428964961, 60942, -1376, 416, 7664
1589428964971, 60953, -1424, 464, 7696
1589428964982, 60964, -1312, 416, 7696
1589428964993, 60975, -1344, 320, 7648
1589428965004, 60986, -1472, 288, 7680
1589428965015, 60997, -1536, 304, 7792
1589428965026, 61008, -1680, 448, 7872
1589428965037, 61019, -1696, 512, 8144
1589428965048, 61030, -1712, 400, 8160
1589428965059, 61041, -1648, 320, 8240
1589428965070, 61052, -1632, 144, 8336
1589428965081, 61063, -1600, -112, 8592
1589428965092, 61074, -1696, -480, 9344
1589428965103, 61085, -1616, -768, 10272
1589428965114, 61096, -1360, -880, 11632
1589428965125, 61107, -832, -1168, 12208
1589428965136, 61118, -736, -1696, 12608
1589428965147, 61129, -304, -2464, 12512
1589428965158, 61140, -208, -3120, 12528
1589428965169, 61151, 48, -3568, 12544
1589428965180, 61162, 80, -3984, 12928
1589428965191, 61173, 144, -4272, 13648
1589428965202, 61184, 944, -3984, 13856
1589428965213, 61195, 528, -3168, 13936
1589428965224, 61206, 112, -1728, 13696
1589428965235, 61217, 0, -976, 13040
1589428965246, 61228, 176, -752, 12352
1589428965257, 61239, 208, -1744, 12016
1589428965268, 61250, 400, -2432, 12112
1589428965280, 61261, 960, -2352, 12208
1589428965290, 61272, 704, -1504, 12064
1589428965301, 61283, 544, -288, 11296
1589428965312, 61294, 816, 384, 10336
1589428965323, 61305, 1184, 432, 9520
1589428965334, 61316, 1520, 272, 8480
1589428965345, 61327, 1920, -16, 8336
1589428965356, 61338, 2160, -176, 7984
1589428965368, 61349, 2224, -128, 7472
1589428965379, 61360, 2240, -160, 6976
1589428965390, 61371, 2848, 384, 6224
1589428965401, 61382, 2912, 992, 5632
1589428965411, 61393, 3040, 1648, 5408
1589428965422, 61404, 3344, 1280, 5120
1589428965433, 61415, 3664, 928, 4480
1589428965444, 61426, 3568, 1200, 3600
1589428965455, 61437, 3232, 992, 3136
1589428965466, 61448, 3264, 1584, 2704
1589428965477, 61459, 3008, 1280, 3088
1589428965488, 61470, 3024, 1808, 2592
1589428965499, 61481, 2464, 2496, 2128
1589428965510, 61492, 1920, 3040, 1248
1589428965521, 61503, 1760, 3520, 464
1589428965532, 61514, 1712, 3744, 32
1589428965543, 61525, 1632, 2944, 176
1589428965554, 61536, 2096, 2640, -160
1589428965566, 61547, 2096, 2240, -224
1589428965577, 61558, 2064, 2784, -848
1589428965588, 61569, 1616, 3856, -1952
1589428965599, 61580, 1520, 5312, -3248
1589428965610, 61591, 560, 6016, -3568
1589428965620, 61602, 688, 6112, -3536
1589428965631, 61613, 688, 5552, -3616
1589428965642, 61624, 592, 5408, -3504
1589428965653, 61635, 32, 5408, -2752
1589428965664, 61646, -960, 5824, -1616
1589428965675, 61657, -1264, 6320, -1696
1589428965686, 61668, -3200, 6640, -2320
1589428965697, 61679, -3888, 6800, -3248
1589428965708, 61690, -4016, 6688, -4416
1589428965719, 61701, -4960, 6704, -5456
1589428965730, 61712, -5008, 6592, -6560
1589428965741, 61723, -4800, 6720, -7904
1589428965752, 61734, -4848, 6864, -8304
1589428965763, 61745, -5104, 6864, -8272
1589428965774, 61756, -5824, 6688, -7152
1589428965785, 61767, -5792, 7008, -6096
1589428965796, 61778, -7488, 7344, -5088
1589428965807, 61789, -9232, 7792, -4352
1589428965818, 61800, -9664, 8784, -4080
1589428965829, 61811, -14432, 10144, -4176
