Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429078426, 174407, -832, -1376, 7664
1589429078437, 174418, -784, -1392, 7584
1589429078448, 174429, -864, -1296, 7520
1589429078459, 174440, -880, -1024, 7712
1589429078470, 174451, -960, -944, 7680
1589429078481, 174462, -1008, -928, 7840
1589429078492, 174473, -896, -1024, 7920
1589429078503, 174484, -864, -1088, 7808
1589429078514, 174495, -864, -1056, 7808
1589429078525, 174506, -928, -880, 7856
1589429078536, 174517, -1008, -640, 8000
1589429078547, 174528, -1088, -464, 8128
1589429078558, 174539, -1088, -464, 8128
1589429078569, 174550, -1184, -608, 8032
1589429078580, 174561, -1136, -608, 8032
1589429078591, 174572, -1088, -656, 8000
1589429078603, 174583, -1168, -512, 7984
1589429078614, 174594, -1088, -512, 8128
1589429078625, 174605, -1264, -496, 8128
1589429078635, 174616, -992, -384, 7904
1589429078647, 174627, -1024, -432, 7792
1589429078658, 174638, -976, -576, 8208
1589429078668, 174649, -992, -688, 8240
1589429078679, 174660, -1184, -512, 8272
1589429078690, 174671, -1232, -512, 8416
1589429078701, 174682, -1104, -736, 8544
1589429078712, 174693, -1088, -960, 8624
1589429078723, 174704, -912, -1040, 8448
1589429078734, 174715, -1088, -800, 8144
1589429078746, 174726, -1024, -560, 8080
1589429078756, 174737, -1072, -304, 8208
1589429078767, 174748, -1232, -352, 8384
1589429078779, 174759, -1232, -432, 8496
1589429078790, 174770, -1104, -816, 8480
1589429078800, 174781, -976, -944, 8416
1589429078811, 174792, -848, -1008, 8400
1589429078822, 174803, -784, -1056, 8480
1589429078834, 174814, -752, -1152, 8832
1589429078845, 174825, -1088, -1168, 9088
1589429078856, 174836, -1488, -1168, 9248
1589429078867, 174847, -1648, -1200, 9216
1589429078877, 174858, -1520, -1248, 9568
1589429078888, 174869, -1328, -1296, 9568
1589429078899, 174880, -1296, -1504, 9344
1589429078910, 174891, -1424, -1616, 9360
1589429078921, 174902, -1520, -1792, 9744
1589429078932, 174913, -1616, -1984, 10000
1589429078944, 174924, -1696, -2496, 10144
1589429078954, 174935, -1088, -3040, 10096
1589429078965, 174946, -608, -3248, 9584
1589429078976, 174957, -448, -3312, 9648
1589429078987, 174968, -704, -3264, 9712
1589429078998, 174979, -736, -3408, 9728
1589429079009, 174990, -1344, -3472, 9568
1589429079020, 175001, -1248, -3456, 10016
1589429079031, 175012, -1264, -3472, 10192
1589429079042, 175023, -1136, -3680, 9888
1589429079053, 175034, -1104, -3696, 9104
1589429079064, 175045, -864, -3648, 8688
1589429079075, 175056, -992, -3424, 8496
1589429079086, 175067, -624, -3200, 8304
1589429079097, 175078, -704, -3232, 8368
1589429079108, 175089, -544, -3424, 8304
1589429079119, 175100, -192, -3664, 8000
1589429079130, 175111, -16, -3920, 7968
1589429079141, 175122, 96, -3808, 7984
1589429079152, 175133, 176, -3584, 7840
1589429079163, 175144, 176, -3360, 7920
1589429079174, 175155, 16, -3392, 8144
1589429079185, 175166, -144, -3632, 7984
1589429079196, 175177, 48, -3696, 7856
1589429079207, 175188, 352, -3792, 7808
1589429079218, 175199, 464, -3696, 7696
1589429079229, 175210, 432, -3632, 7264
1589429079240, 175221, 416, -3472, 7056
1589429079251, 175232, 224, -3216, 7216
1589429079262, 175243, 112, -3232, 7568
1589429079273, 175254, 160, -3456, 7424
1589429079284, 175265, 688, -3712, 6864
1589429079295, 175276, 1104, -3968, 6464
1589429079307, 175287, 1440, -4144, 6432
1589429079318, 175298, 1360, -4416, 6496
1589429079329, 175309, 1200, -4720, 6752
