Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429131006, 226987, -1264, 144, 7728
1589429131017, 226998, -1232, 64, 7680
1589429131028, 227009, -1200, 32, 7616
1589429131039, 227020, -1136, 80, 7616
1589429131050, 227031, -1152, 64, 7536
1589429131061, 227042, -1104, 16, 7360
1589429131072, 227053, -1152, -64, 7552
1589429131083, 227064, -1072, 0, 7456
1589429131094, 227075, -1088, 80, 7616
1589429131105, 227086, -1024, 80, 7664
1589429131116, 227097, -960, 48, 7600
1589429131127, 227108, -976, 48, 7728
1589429131138, 227119, -1024, 96, 7712
1589429131150, 227130, -1136, 176, 7744
1589429131161, 227141, -1040, 192, 7760
1589429131172, 227152, -1168, 144, 7728
1589429131183, 227163, -1136, 128, 7792
1589429131194, 227174, -1088, 272, 7904
1589429131205, 227185, -1248, 272, 7824
1589429131216, 227196, -1280, 304, 8000
1589429131227, 227207, -1200, 272, 8032
1589429131238, 227218, -1120, 240, 7968
1589429131249, 227229, -1056, 224, 7888
1589429131260, 227240, -1120, 208, 7808
1589429131271, 227251, -1056, 288, 7808
1589429131282, 227262, -1184, 368, 7920
1589429131293, 227273, -1152, 368, 7904
1589429131303, 227284, -1056, 208, 7936
1589429131314, 227295, -944, 144, 7680
1589429131325, 227306, -912, 112, 7712
1589429131336, 227317, -912, 128, 7680
1589429131347, 227328, -1072, 112, 7824
1589429131358, 227339, -1104, 112, 7824
1589429131369, 227350, -1120, 0, 7728
1589429131380, 227361, -1072, 0, 7760
1589429131391, 227372, -1024, 64, 7552
1589429131402, 227383, -960, -48, 7552
1589429131413, 227394, -880, -48, 7520
1589429131424, 227405, -1104, 16, 7600
1589429131435, 227416, -1088, 48, 7712
1589429131446, 227427, -1184, 16, 7664
1589429131457, 227438, -1088, 16, 7360
1589429131468, 227449, -1072, -32, 7488
1589429131479, 227460, -976, -64, 7440
1589429131490, 227471, -992, -176, 7344
1589429131501, 227482, -992, -368, 7360
1589429131512, 227493, -928, -496, 7488
1589429131524, 227504, -1072, -416, 7568
1589429131535, 227515, -1040, -544, 7648
1589429131546, 227526, -1088, -640, 7488
1589429131557, 227537, -880, -704, 7440
1589429131568, 227548, -960, -720, 7456
1589429131579, 227559, -928, -752, 7376
1589429131590, 227570, -896, -672, 7408
1589429131601, 227581, -848, -736, 7312
1589429131611, 227592, -832, -800, 7296
1589429131622, 227603, -832, -704, 7280
1589429131633, 227614, -992, -512, 7456
1589429131644, 227625, -1168, -464, 7424
1589429131655, 227636, -1248, -560, 7600
1589429131666, 227647, -1200, -704, 7744
1589429131678, 227658, -1104, -928, 7648
1589429131689, 227669, -1120, -1152, 7648
1589429131700, 227680, -848, -1392, 7648
1589429131710, 227691, -992, -1424, 7568
1589429131721, 227702, -1024, -1312, 7744
1589429131732, 227713, -1376, -1248, 7888
1589429131743, 227724, -1488, -1296, 8016
1589429131754, 227735, -1520, -1312, 8144
1589429131765, 227746, -1600, -1440, 8240
1589429131776, 227757, -1536, -1632, 8176
1589429131787, 227768, -1456, -1888, 8128
1589429131799, 227779, -1600, -2144, 8320
1589429131810, 227790, -1408, -2496, 8352
1589429131821, 227801, -1456, -2688, 8224
1589429131832, 227812, -1440, -2624, 8336
1589429131843, 227823, -1488, -2304, 8448
1589429131854, 227834, -1680, -2080, 8368
1589429131865, 227845, -1712, -2080, 8432
1589429131876, 227856, -1584, -2320, 8304
1589429131887, 227867, -1472, -2608, 8128
1589429131898, 227878, -1488, -2672, 7936
1589429131909, 227889, -1504, -2304, 8240
1589429131920, 227900, -1792, -2064, 8640
1589429131931, 227911, -2016, -1856, 8832
1589429131942, 227922, -2096, -1600, 9024
1589429131953, 227933, -2032, -1632, 9184
1589429131964, 227944, -1904, -1776, 9008
1589429131975, 227955, -1888, -1696, 8736
1589429131986, 227966, -1936, -1440, 8992
1589429131997, 227977, -2112, -1280, 9104
1589429132008, 227988, -2160, -1152, 9168
1589429132019, 227999, -2176, -960, 9248
1589429132029, 228010, -2144, -880, 9312
1589429132040, 228021, -2240, -800, 9072
1589429132051, 228032, -2240, -608, 9200
1589429132062, 228043, -2352, -592, 9344
1589429132073, 228054, -2368, -432, 9536
1589429132084, 228065, -2416, -144, 9728
1589429132095, 228076, -2368, -64, 9952
1589429132106, 228087, -2288, -208, 10048
1589429132117, 228098, -2256, -224, 9680
1589429132128, 228109, -2032, -256, 9824
1589429132139, 228120, -1968, -112, 9760
1589429132150, 228131, -1808, 80, 9888
1589429132161, 228142, -1856, 288, 9824
1589429132172, 228153, -1904, 448, 9936
1589429132183, 228164, -1904, 256, 10064
1589429132194, 228175, -1792, 0, 10064
1589429132205, 228186, -1408, 0, 9920
1589429132216, 228197, -1200, 64, 9792
1589429132227, 228208, -1136, 192, 9408
1589429132238, 228219, -1008, 272, 9408
1589429132250, 228230, -1024, 272, 9456
1589429132261, 228241, -1024, 176, 9408
1589429132271, 228252, -960, -96, 9392
1589429132283, 228263, -848, -128, 9248
1589429132293, 228274, -720, 48, 8768
1589429132305, 228285, -608, 320, 8496
1589429132316, 228296, -576, 400, 8320
1589429132327, 228307, -448, 400, 8272
1589429132338, 228318, -400, 416, 8064
1589429132349, 228329, -272, 400, 7840
1589429132360, 228340, -112, 480, 7632
1589429132371, 228351, 48, 496, 7504
1589429132382, 228362, 16, 528, 7504
1589429132393, 228373, 112, 576, 7600
1589429132403, 228384, 240, 432, 7520
1589429132414, 228395, 240, 544, 7280
1589429132425, 228406, 544, 752, 7008
1589429132436, 228417, 832, 864, 6992
1589429132447, 228428, 1136, 672, 7184
1589429132458, 228439, 1264, 544, 7408
1589429132469, 228450, 1184, 256, 7600
1589429132480, 228461, 1328, 80, 7456
1589429132491, 228472, 1424, 176, 7456
1589429132502, 228483, 1344, 528, 7136
1589429132513, 228494, 1312, 752, 6960
1589429132524, 228505, 1232, 976, 6896
1589429132535, 228516, 1232, 1008, 7008
1589429132546, 228527, 1264, 1120, 6560
1589429132557, 228538, 1424, 1472, 6352
1589429132568, 228549, 1664, 1776, 5888
1589429132579, 228560, 1776, 1984, 5776
1589429132590, 228571, 1968, 1904, 5952
1589429132601, 228582, 2048, 1472, 5920
1589429132613, 228593, 2176, 1024, 5840
1589429132623, 228604, 2464, 848, 5792
1589429132634, 228615, 2560, 736, 5888
1589429132645, 228626, 2816, 768, 5728
1589429132656, 228637, 2976, 944, 5424
1589429132667, 228648, 2832, 1296, 5280
1589429132678, 228659, 2896, 1504, 5392
1589429132689, 228670, 2752, 1360, 5472
1589429132700, 228681, 2448, 1040, 5312
1589429132711, 228692, 2432, 784, 5440
1589429132723, 228703, 2960, 544, 5584
1589429132734, 228714, 3200, 352, 5408
1589429132745, 228725, 3264, 176, 5200
1589429132756, 228736, 3552, 64, 5024
1589429132767, 228747, 3632, -112, 5008
1589429132778, 228758, 3360, -256, 4416
1589429132789, 228769, 3104, -160, 4512
1589429132799, 228780, 3376, 80, 4320
1589429132810, 228791, 3408, 160, 4176
1589429132821, 228802, 3424, -64, 4224
1589429132832, 228813, 3776, -464, 4176
1589429132843, 228824, 3744, -640, 4240
1589429132854, 228835, 3712, -736, 3888
1589429132865, 228846, 3712, -448, 3536
1589429132876, 228857, 3664, -32, 3216
1589429132887, 228868, 3584, 112, 3776
1589429132898, 228879, 3744, -304, 3888
1589429132909, 228890, 3728, -880, 3648
1589429132920, 228901, 3904, -1392, 3472
1589429132931, 228912, 4016, -1488, 2992
1589429132942, 228923, 4368, -912, 2576
1589429132953, 228934, 4112, -192, 2416
1589429132964, 228945, 4096, -64, 3168
1589429132975, 228956, 3568, -944, 3760
1589429132986, 228967, 3376, -2080, 4144
1589429132997, 228978, 3376, -3216, 4416
1589429133008, 228989, 3504, -3472, 3808
1589429133020, 229000, 3840, -2752, 2848
1589429133031, 229011, 3568, -1680, 2736
1589429133042, 229022, 3488, -1568, 3264
1589429133053, 229033, 3120, -1968, 3744
1589429133064, 229044, 3088, -2800, 3904
1589429133075, 229055, 3040, -3616, 3936
1589429133085, 229066, 3056, -3680, 3760
1589429133096, 229077, 3104, -3568, 3856
1589429133107, 229088, 2688, -3504, 4208
1589429133118, 229099, 2704, -3856, 4624
1589429133129, 229110, 2768, -4016, 4832
1589429133140, 229121, 2672, -4512, 5152
1589429133151, 229132, 2704, -4912, 5248
1589429133162, 229143, 2944, -5024, 5008
1589429133173, 229154, 3152, -4688, 4752
1589429133184, 229165, 3104, -4352, 5184
1589429133195, 229176, 2576, -4176, 5424
1589429133206, 229187, 2224, -4432, 5488
1589429133217, 229198, 2016, -4912, 6000
1589429133228, 229209, 1984, -5312, 6176
1589429133239, 229220, 2000, -5728, 5904
1589429133251, 229231, 2544, -4880, 5296
1589429133261, 229242, 2480, -4672, 6144
1589429133272, 229253, 1856, -4608, 6768
1589429133284, 229264, 1504, -4928, 7072
