Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429238389, 334369, 5296, -5872, 560
1589429238400, 334380, 5248, -6032, 432
1589429238411, 334391, 5264, -6016, 512
1589429238422, 334402, 5200, -5952, 448
1589429238433, 334413, 5280, -5712, 384
1589429238444, 334424, 5280, -5648, 384
1589429238455, 334435, 5568, -5776, 368
1589429238466, 334446, 5600, -6000, 384
1589429238477, 334457, 5600, -6256, 336
1589429238488, 334468, 5440, -6336, 416
1589429238499, 334479, 5600, -6384, 496
1589429238510, 334490, 5664, -6496, 432
1589429238521, 334501, 5664, -6464, 528
1589429238532, 334512, 5568, -6448, 720
1589429238544, 334523, 5616, -6464, 512
1589429238554, 334534, 5600, -6448, 560
1589429238565, 334545, 5552, -6304, 608
1589429238576, 334556, 5408, -6224, 720
1589429238587, 334567, 5424, -6048, 720
1589429238598, 334578, 5392, -5904, 624
1589429238609, 334589, 5424, -5824, 656
1589429238620, 334600, 5248, -5552, 560
1589429238631, 334611, 5200, -5408, 640
1589429238642, 334622, 5104, -5264, 640
1589429238653, 334633, 5072, -5152, 608
1589429238664, 334644, 5024, -5200, 560
1589429238675, 334655, 4976, -5248, 416
1589429238686, 334666, 5056, -5344, 256
1589429238697, 334677, 5056, -5568, 160
1589429238708, 334688, 5360, -5632, 272
1589429238719, 334699, 5472, -5696, 400
1589429238730, 334710, 5344, -5712, 352
1589429238741, 334721, 5504, -5776, 192
1589429238752, 334732, 5568, -5760, 128
1589429238764, 334743, 5840, -5824, 112
1589429238774, 334754, 5920, -5904, 112
1589429238785, 334765, 6784, -6960, 400
1589429238797, 334776, 7008, -8128, 624
1589429238808, 334787, 7168, -9504, 704
1589429238819, 334798, 7456, -10272, 960
1589429238830, 334809, 7552, -10720, 1280
1589429238841, 334820, 7392, -10704, 1616
1589429238851, 334831, 7040, -10464, 2112
1589429238862, 334842, 6592, -9824, 2416
1589429238873, 334853, 5952, -8960, 2880
1589429238884, 334864, 5728, -7424, 2912
1589429238895, 334875, 4960, -5792, 3136
1589429238906, 334886, 4784, -4768, 3616
1589429238917, 334897, 4640, -4896, 3904
1589429238928, 334908, 4816, -5376, 4048
1589429238939, 334919, 4688, -6096, 3760
1589429238950, 334930, 4336, -6016, 3680
1589429238961, 334941, 4144, -5168, 3632
1589429238972, 334952, 3936, -4272, 3408
1589429238983, 334963, 3792, -3152, 3168
1589429238994, 334974, 3648, -2448, 2992
1589429239005, 334985, 3440, -2320, 2464
1589429239016, 334996, 3488, -2736, 1728
1589429239027, 335007, 3568, -3488, 1088
1589429239038, 335018, 4336, -3856, 768
1589429239049, 335029, 4928, -3712, 352
1589429239060, 335040, 4832, -3936, 464
1589429239071, 335051, 4928, -4080, 912
1589429239082, 335062, 4720, -4480, 1136
