Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589429264768, 360747, -17968, -4016, 21408
1589429264779, 360758, -14576, -18352, 31952
1589429264790, 360769, -4704, -16512, 32624
1589429264801, 360780, -2624, -13728, 32624
1589429264811, 360791, 5520, -11696, 22000
1589429264822, 360802, 4272, -9616, 12032
1589429264833, 360813, 4768, -3616, 3136
1589429264844, 360824, 5696, -1008, 2192
1589429264855, 360835, 6064, -32, 3104
1589429264866, 360846, 5472, -2336, 2896
1589429264877, 360857, 4928, -2704, 3040
1589429264888, 360868, 4064, -576, 1648
1589429264900, 360879, 3200, 2064, -1040
1589429264911, 360890, 3040, 4432, -2880
1589429264922, 360901, 1328, 5376, -3936
1589429264932, 360912, -240, 6080, -4384
1589429264943, 360923, -768, 6672, -5168
1589429264954, 360934, -2960, 7168, -6000
1589429264965, 360945, -3088, 7744, -7552
1589429264976, 360956, -2144, 7728, -10384
1589429264987, 360967, -384, 7632, -13264
1589429264998, 360978, 96, 7424, -15568
1589429265009, 360989, -96, 7072, -16256
1589429265020, 361000, -32, 7328, -13952
1589429265032, 361011, -4192, 6576, -10112
1589429265042, 361022, -8160, 4880, -5520
1589429265053, 361033, -8864, -1184, 3312
1589429265064, 361044, -13200, -11600, 15376
1589429265075, 361055, -9056, -15056, 30544
1589429265086, 361066, -5904, -7776, 32576
1589429265097, 361077, -6128, -2256, 32640
1589429265108, 361088, -5728, 1696, 32640
1589429265119, 361099, -4336, 5072, 30800
1589429265131, 361110, -3760, 3248, 21008
1589429265142, 361121, 1424, 816, 12912
1589429265153, 361132, 2560, -2624, 8016
1589429265164, 361143, 2768, -6832, 4576
1589429265175, 361154, 5376, -6832, 4144
1589429265186, 361165, 4560, -5264, 4272
1589429265197, 361176, 2848, -1392, 3392
1589429265207, 361187, 1888, 1360, 1824
1589429265218, 361198, 1200, 3360, 144
1589429265229, 361209, 336, 4480, -1728
1589429265240, 361220, 64, 5168, -3056
1589429265251, 361231, -1536, 5600, -4128
1589429265262, 361242, -2368, 6048, -5216
1589429265273, 361253, -2432, 6832, -6464
1589429265284, 361264, -2944, 7232, -8000
1589429265295, 361275, -1472, 7376, -11088
1589429265306, 361286, 240, 8032, -14800
1589429265317, 361297, 672, 8176, -15616
1589429265328, 361308, 304, 7696, -14624
1589429265339, 361319, -1472, 6928, -10880
1589429265350, 361330, -2256, 4944, -6496
1589429265362, 361341, -10272, 3168, -384
1589429265372, 361352, -12672, 320, 9760
1589429265384, 361363, -11680, -14688, 29792
1589429265395, 361374, -3680, -16224, 32464
1589429265406, 361385, -992, -12064, 32640
1589429265417, 361396, 128, -11072, 32640
1589429265428, 361407, 2688, -10224, 27040
