Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589871232376, 288452, 608, 112, 7968
1589871232387, 288463, 640, 96, 7968
1589871232397, 288474, 624, 64, 8016
1589871232408, 288485, 656, 96, 8032
1589871232420, 288496, 688, 64, 8064
1589871232431, 288507, 608, 144, 8032
1589871232441, 288518, 576, 96, 8032
1589871232453, 288529, 640, 64, 8000
1589871232463, 288540, 624, 32, 8032
1589871232474, 288551, 608, 96, 8016
1589871232485, 288562, 640, 64, 8032
1589871232497, 288573, 592, 144, 7888
1589871232508, 288584, 624, 128, 7920
1589871232519, 288595, 656, 96, 7872
1589871232529, 288606, 592, 96, 8112
1589871232541, 288617, 640, 80, 7968
1589871232552, 288628, 592, 96, 8000
1589871232562, 288639, 672, 16, 8016
1589871232574, 288650, 624, 112, 8064
1589871232585, 288661, 672, 112, 8000
1589871232596, 288672, 688, 192, 8000
1589871232607, 288683, 736, 160, 7920
1589871232618, 288694, 608, 48, 7936
1589871232630, 288705, 688, 48, 8032
1589871232640, 288716, 576, 176, 8016
1589871232651, 288727, 672, 112, 8016
1589871232661, 288738, 672, 80, 8048
1589871232673, 288749, 672, 112, 8016
1589871232684, 288760, 624, 128, 7904
1589871232694, 288771, 688, 80, 7856
1589871232706, 288782, 592, 32, 7888
1589871232717, 288793, 544, 128, 7840
1589871232727, 288804, 592, 48, 8000
1589871232739, 288815, 672, 64, 8080
1589871232749, 288826, 672, 96, 8000
1589871232761, 288837, 672, 112, 8064
1589871232772, 288848, 624, 96, 7984
1589871232782, 288859, 672, 48, 7904
1589871232793, 288870, 736, 80, 7952
1589871232805, 288881, 656, 96, 7984
1589871232816, 288892, 720, 144, 7872
1589871232827, 288903, 704, 112, 8000
1589871232838, 288914, 672, 144, 8016
1589871232849, 288925, 656, 112, 7920
1589871232859, 288936, 720, 64, 8000
1589871232871, 288947, 640, 16, 8016
1589871232881, 288958, 592, 80, 7936
1589871232892, 288969, 544, 80, 7904
1589871232904, 288980, 656, 64, 7904
1589871232914, 288991, 672, 16, 7952
1589871232926, 289002, 560, 192, 7872
1589871232937, 289013, 656, 128, 8000
1589871232947, 289024, 672, 80, 8096
1589871232959, 289035, 720, 160, 8048
1589871232970, 289046, 688, 128, 8032
1589871232981, 289057, 688, 160, 7952
1589871232991, 289068, 640, 64, 7824
1589871233003, 289079, 592, 32, 7840
1589871233013, 289090, 688, 32, 7968
1589871233025, 289101, 608, 112, 7968
1589871233036, 289112, 592, 176, 8064
1589871233047, 289123, 528, 128, 8048
1589871233057, 289134, 672, 80, 7968
1589871233069, 289145, 544, 32, 7856
