Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589870996229, 52304, -208, 752, 8112
1589870996240, 52315, -176, 768, 8080
1589870996251, 52326, -160, 640, 8016
1589870996262, 52337, -144, 528, 8000
1589870996273, 52348, -96, 448, 8096
1589870996284, 52359, -16, 480, 8080
1589870996295, 52370, -96, 576, 8064
1589870996306, 52381, -160, 624, 7904
1589870996317, 52392, -96, 640, 7728
1589870996328, 52403, -112, 592, 7952
1589870996339, 52414, -208, 608, 8048
1589870996350, 52425, -96, 576, 8048
1589870996361, 52436, -176, 544, 7904
1589870996372, 52447, -176, 624, 7600
1589870996383, 52458, -224, 704, 7376
1589870996394, 52469, -144, 704, 7440
1589870996405, 52480, -192, 656, 7680
1589870996416, 52491, -176, 720, 8000
1589870996427, 52502, -272, 864, 8032
1589870996438, 52513, -304, 944, 7776
1589870996449, 52524, -336, 960, 7616
1589870996460, 52535, -352, 928, 7520
1589870996471, 52546, -320, 944, 7728
1589870996482, 52557, -368, 976, 7776
1589870996493, 52568, -320, 992, 7744
1589870996504, 52579, -320, 1024, 7696
1589870996515, 52590, -384, 960, 7648
1589870996526, 52601, -240, 992, 7520
1589870996537, 52612, -272, 1072, 7616
1589870996548, 52623, -288, 1056, 7632
1589870996559, 52634, -208, 992, 7632
1589870996570, 52645, -256, 1040, 7520
1589870996581, 52656, -144, 1088, 7408
1589870996592, 52667, -192, 1120, 7360
1589870996603, 52678, -128, 1008, 7328
1589870996614, 52689, -272, 976, 7424
1589870996625, 52700, -96, 1056, 7312
1589870996636, 52711, -80, 1216, 7232
1589870996647, 52722, -128, 1584, 7088
1589870996658, 52733, -176, 1872, 6992
1589870996669, 52744, -176, 2048, 7056
1589870996680, 52755, -208, 2128, 7088
1589870996691, 52766, -192, 2144, 6928
1589870996702, 52777, -272, 2176, 6784
1589870996713, 52788, -352, 2320, 6496
1589870996724, 52799, -528, 2416, 6592
1589870996735, 52810, -672, 2448, 6880
1589870996746, 52821, -848, 2336, 7376
1589870996757, 52832, -736, 2080, 7824
1589870996768, 52843, -1232, 1568, 8112
1589870996779, 52854, -1360, 992, 8480
1589870996790, 52865, -1504, 112, 9072
1589870996801, 52876, -1440, -368, 9472
1589870996812, 52887, -1616, -1008, 10032
1589870996823, 52898, -1888, -1856, 10704
1589870996834, 52909, -2128, -3008, 10992
1589870996845, 52920, -2256, -4448, 11440
1589870996856, 52931, -2272, -6400, 12064
1589870996867, 52942, -2192, -7728, 12720
1589870996878, 52953, -2288, -8672, 13584
1589870996889, 52964, -2512, -9760, 14336
1589870996900, 52975, -2560, -10736, 14368
1589870996911, 52986, -3392, -11232, 13856
1589870996922, 52997, -3904, -11312, 12976
1589870996933, 53008, -3952, -11120, 11840
1589870996944, 53019, -4928, -10912, 11136
1589870996955, 53030, -5296, -10736, 10912
1589870996966, 53041, -6000, -10432, 11264
1589870996977, 53052, -6592, -9920, 11744
1589870996988, 53063, -7344, -9168, 11888
1589870996999, 53074, -8032, -8176, 11968
1589870997010, 53085, -8624, -7584, 11920
1589870997021, 53096, -9168, -6992, 11824
1589870997032, 53107, -9632, -6320, 11408
1589870997043, 53118, -9872, -5760, 10736
1589870997054, 53129, -10432, -5712, 9664
1589870997065, 53140, -10576, -5968, 8704
1589870997076, 53151, -10752, -5584, 8080
1589870997087, 53162, -11824, -4688, 7552
1589870997098, 53173, -12624, -3408, 6512
1589870997109, 53184, -13232, 0, 5040
