Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589871135312, 191388, 6896, 4208, -608
1589871135323, 191399, 6960, 4256, -704
1589871135334, 191410, 6896, 4352, -624
1589871135345, 191421, 6912, 4304, -528
1589871135356, 191432, 6864, 4160, -528
1589871135367, 191443, 6928, 4080, -320
1589871135378, 191454, 6880, 4064, -368
1589871135389, 191465, 6848, 4080, -464
1589871135400, 191476, 6784, 4192, -672
1589871135411, 191487, 6944, 4304, -688
1589871135422, 191498, 6928, 4368, -640
1589871135433, 191509, 6992, 4336, -672
1589871135444, 191520, 6896, 4208, -496
1589871135455, 191531, 6800, 4192, -400
1589871135466, 191542, 6704, 4128, -288
1589871135477, 191553, 6704, 4272, -128
1589871135488, 191564, 6784, 4416, -112
1589871135499, 191575, 6784, 4400, -176
1589871135510, 191586, 6752, 4208, -480
1589871135521, 191597, 6976, 4160, -640
1589871135532, 191608, 6960, 4096, -720
1589871135543, 191619, 7008, 4112, -656
1589871135554, 191630, 6912, 4160, -544
1589871135565, 191641, 6864, 4208, -512
1589871135576, 191652, 6800, 4240, -560
1589871135587, 191663, 6848, 4224, -544
1589871135598, 191674, 6896, 4144, -608
1589871135609, 191685, 6928, 4192, -608
1589871135620, 191696, 6896, 4272, -624
1589871135631, 191707, 6832, 4256, -528
1589871135642, 191718, 6736, 4224, -320
1589871135653, 191729, 6720, 4192, -208
1589871135664, 191740, 6640, 4224, -272
1589871135675, 191751, 6592, 4272, -368
1589871135687, 191762, 6528, 4432, -448
1589871135698, 191773, 6512, 4512, -496
1589871135709, 191784, 6576, 4672, -320
1589871135719, 191795, 6608, 4768, 48
1589871135730, 191806, 6656, 4688, 144
1589871135741, 191817, 6640, 4704, 400
1589871135752, 191828, 6608, 4928, 688
1589871135763, 191839, 6560, 5264, 592
1589871135774, 191850, 6752, 5712, 576
1589871135785, 191861, 6688, 6000, 464
1589871135796, 191872, 6736, 6064, 352
1589871135807, 191883, 6720, 6128, 352
1589871135818, 191894, 6816, 6192, 384
1589871135829, 191905, 6672, 6208, 544
1589871135840, 191916, 6640, 6416, 976
1589871135851, 191927, 6512, 6624, 1408
1589871135862, 191938, 6384, 7104, 1664
1589871135873, 191949, 6400, 7552, 1744
1589871135884, 191960, 6288, 7952, 1456
1589871135895, 191971, 6032, 8528, 1072
1589871135906, 191982, 5952, 9120, 672
1589871135917, 191993, 5280, 9792, 272
1589871135928, 192004, 4976, 10352, 0
1589871135939, 192015, 4864, 10672, -416
1589871135950, 192026, 5008, 10864, -752
1589871135961, 192037, 4992, 11056, -1088
1589871135972, 192048, 4512, 11072, -1040
1589871135983, 192059, 4224, 11184, -1072
1589871135994, 192070, 3952, 11712, -768
1589871136005, 192081, 3008, 12640, -640
1589871136016, 192092, 2352, 13712, -512
1589871136027, 192103, 1680, 14432, -880
1589871136038, 192114, 1088, 15168, -1504
1589871136049, 192125, 1184, 16192, -2448
1589871136060, 192136, 736, 16672, -3456
1589871136071, 192147, 80, 16528, -4160
1589871136082, 192158, -96, 15504, -4592
1589871136093, 192169, -2320, 14928, -4336
1589871136104, 192180, -3360, 14512, -3520
1589871136115, 192191, -4640, 12768, -2400
1589871136126, 192202, -5216, 10144, -1088
1589871136137, 192213, -5248, 4992, -64
1589871136148, 192224, -4992, -2288, 1280
1589871136159, 192235, -5488, -5840, 2800
1589871136170, 192246, -6448, -7056, 4000
1589871136181, 192257, -7776, -8304, 6656
1589871136192, 192268, -8352, -12208, 8288
1589871136203, 192279, -11472, -16752, 6928
1589871136214, 192290, -9952, -20864, 4208
1589871136225, 192301, -9488, -24736, 832
1589871136236, 192312, -5616, -27584, -912
1589871136247, 192323, -3776, -29136, -1728
1589871136258, 192334, -2736, -30832, -336
1589871136269, 192345, -160, -31200, 336
1589871136280, 192356, 2416, -29504, -848
1589871136291, 192367, 4624, -24464, -3216
1589871136302, 192378, 5104, -18688, -3856
1589871136313, 192389, 6864, -12992, -2208
1589871136324, 192400, 6272, -10864, 1216
1589871136335, 192411, 5936, -9072, 4688
1589871136346, 192422, 4784, -6512, 6320
1589871136357, 192433, 3872, -8672, 7424
1589871136368, 192444, 3712, -9968, 6816
1589871136379, 192455, 3152, -8976, 5664
1589871136390, 192466, 3616, -7744, 4432
1589871136401, 192477, 3584, -7136, 2704
1589871136412, 192488, 3632, -7616, 1584
1589871136423, 192499, 3824, -8848, 672
1589871136434, 192510, 3968, -10752, 16
1589871136445, 192521, 3936, -11200, -624
1589871136456, 192532, 4240, -10432, -1008
1589871136467, 192543, 4256, -9120, -1184
1589871136478, 192554, 4128, -7824, -1424
1589871136489, 192565, 3776, -7248, -1504
1589871136500, 192576, 3904, -7200, -1168
1589871136511, 192587, 3712, -7104, -496
1589871136522, 192598, 3760, -6752, -80
1589871136533, 192609, 3552, -6528, 80
1589871136544, 192620, 3696, -6688, 336
1589871136555, 192631, 3872, -7120, 176
1589871136566, 192642, 4032, -7968, 208
1589871136577, 192653, 3984, -8688, 336
1589871136588, 192664, 3872, -9168, 384
1589871136599, 192675, 3904, -8976, 256
1589871136610, 192686, 3904, -8352, 128
1589871136621, 192697, 3936, -7456, -32
1589871136632, 192708, 3920, -6928, 0
1589871136643, 192719, 3840, -6816, 192
1589871136654, 192730, 3920, -7312, 512
1589871136665, 192741, 3936, -7760, 608
1589871136676, 192752, 3952, -7888, 688
1589871136687, 192763, 4016, -7392, 496
1589871136698, 192774, 4080, -6832, 384
1589871136709, 192785, 3936, -6528, 432
1589871136720, 192796, 3968, -6640, 608
1589871136731, 192807, 4048, -7088, 912
1589871136742, 192818, 4016, -7536, 896
1589871136753, 192829, 4128, -7824, 864
1589871136764, 192840, 4128, -7840, 592
1589871136775, 192851, 4000, -7520, 336
1589871136786, 192862, 4016, -6928, 144
1589871136797, 192873, 4128, -6496, 128
1589871136808, 192884, 4016, -6528, 576
1589871136819, 192895, 4016, -6848, 1152
1589871136830, 192906, 3952, -7248, 1280
1589871136841, 192917, 3920, -7392, 1280
1589871136852, 192928, 4032, -7152, 896
1589871136863, 192939, 4112, -6944, 608
1589871136874, 192950, 4128, -6736, 784
1589871136885, 192961, 4128, -6800, 992
1589871136896, 192972, 4064, -6976, 1120
