Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589871191324, 247400, 656, -480, 7936
1589871191335, 247411, 512, -384, 7792
1589871191346, 247422, 480, -352, 7856
1589871191357, 247433, 528, -368, 7904
1589871191368, 247444, 480, -384, 7824
1589871191379, 247455, 544, -416, 7856
1589871191390, 247466, 528, -400, 7712
1589871191401, 247477, 512, -320, 7744
1589871191412, 247488, 512, -192, 7696
1589871191423, 247499, 416, -288, 7824
1589871191434, 247510, 496, -416, 8016
1589871191445, 247521, 416, -528, 8096
1589871191456, 247532, 432, -560, 8048
1589871191467, 247543, 448, -592, 7904
1589871191478, 247554, 592, -608, 7936
1589871191489, 247565, 576, -608, 7904
1589871191500, 247576, 576, -656, 8064
1589871191511, 247587, 576, -528, 7904
1589871191522, 247598, 592, -416, 7792
1589871191533, 247609, 528, -256, 7904
1589871191544, 247620, 560, -240, 7744
1589871191555, 247631, 496, -224, 7744
1589871191566, 247642, 496, -272, 7744
1589871191577, 247653, 576, -352, 8016
1589871191588, 247664, 640, -416, 8112
1589871191599, 247675, 736, -384, 8272
1589871191610, 247686, 704, -496, 8432
1589871191621, 247697, 688, -368, 8432
1589871191632, 247708, 624, -464, 8736
1589871191643, 247719, 624, -752, 9232
1589871191654, 247730, 624, -1184, 9680
1589871191665, 247741, 624, -1472, 10016
1589871191676, 247752, 592, -1840, 10416
1589871191687, 247763, 608, -2528, 10656
1589871191698, 247774, 416, -3200, 10880
1589871191709, 247785, 384, -3664, 10960
1589871191720, 247796, 432, -4112, 11120
1589871191731, 247807, 544, -4432, 11024
1589871191742, 247818, 720, -5008, 10736
1589871191753, 247829, 688, -5696, 10560
1589871191764, 247840, 848, -6128, 10288
1589871191775, 247851, 880, -6288, 9968
1589871191786, 247862, 1024, -6528, 9152
1589871191797, 247873, 912, -6672, 8384
1589871191808, 247884, 736, -6528, 7712
1589871191819, 247895, 560, -6224, 6704
1589871191830, 247906, 512, -5488, 6256
1589871191841, 247917, 176, -4800, 5488
1589871191852, 247928, 112, -4208, 4864
1589871191863, 247939, 160, -3744, 4000
1589871191874, 247950, 128, -3680, 3264
1589871191885, 247961, 448, -3792, 2720
1589871191896, 247972, 304, -3920, 1968
1589871191907, 247983, 560, -4144, 1696
1589871191918, 247994, 592, -4400, 1520
1589871191929, 248005, 288, -3952, 1088
1589871191940, 248016, 160, -3168, 1184
1589871191951, 248027, -928, -2320, 1344
1589871191962, 248038, -1440, -1424, 1472
1589871191973, 248049, -1424, -368, 1040
1589871191984, 248060, -1456, 192, 704
1589871191995, 248071, -1312, 576, 224
1589871192006, 248082, -1312, 1104, -64
1589871192017, 248093, -944, 1408, 144
1589871192028, 248104, -1088, 1536, -64
1589871192039, 248115, -1120, 1440, -880
1589871192050, 248126, -656, 1328, -1392
1589871192061, 248137, -608, 1376, -1488
1589871192072, 248148, -1008, 1520, -1328
1589871192083, 248159, -1200, 1856, -736
1589871192094, 248170, -1584, 2224, -112
1589871192105, 248181, -1792, 2528, 1008
1589871192116, 248192, -1808, 2736, 1920
1589871192127, 248203, -2432, 3248, 3008
1589871192138, 248214, -3216, 3488, 3840
1589871192149, 248225, -3504, 4064, 4048
1589871192160, 248236, -4624, 4528, 3728
1589871192171, 248247, -5056, 5536, 3296
1589871192182, 248258, -5840, 6784, 3168
1589871192193, 248269, -6304, 7280, 4400
1589871192204, 248280, -7264, 6960, 7184
1589871192215, 248291, -8752, 6384, 11360
1589871192226, 248302, -9104, 6336, 14192
1589871192237, 248313, -11216, 6096, 16352
1589871192248, 248324, -11696, 5136, 18320
1589871192259, 248335, -11728, 3008, 19488
1589871192270, 248346, -11504, 864, 20544
1589871192281, 248357, -11440, -1136, 21312
1589871192292, 248368, -11200, -3968, 22064
1589871192303, 248379, -10192, -6128, 22672
1589871192314, 248390, -9360, -8160, 23440
1589871192325, 248401, -8352, -10032, 23856
1589871192336, 248412, -8032, -11264, 23536
1589871192347, 248423, -7920, -12368, 22800
1589871192358, 248434, -7440, -13360, 21696
1589871192369, 248445, -7424, -13680, 20800
1589871192380, 248456, -7264, -13296, 20704
1589871192391, 248467, -7680, -12240, 21376
1589871192402, 248478, -7664, -11456, 22368
1589871192413, 248489, -8640, -12032, 22112
1589871192424, 248500, -8624, -13104, 20800
1589871192435, 248511, -8112, -15184, 18304
1589871192446, 248522, -7488, -16608, 16512
1589871192457, 248533, -6496, -17584, 14976
1589871192468, 248544, -5280, -18160, 13376
1589871192479, 248555, -4688, -18112, 12080
