Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589871260435, 316513, 928, -80, 7664
1589871260447, 316524, 928, -128, 7872
1589871260458, 316535, 816, -160, 7952
1589871260469, 316546, 944, -176, 8000
1589871260480, 316557, 928, -192, 8080
1589871260491, 316568, 832, -224, 8080
1589871260501, 316579, 864, -256, 8032
1589871260513, 316590, 944, -256, 7824
1589871260524, 316601, 912, -176, 8016
1589871260534, 316612, 864, -208, 8032
1589871260546, 316623, 784, -208, 8096
1589871260557, 316634, 752, -208, 8096
1589871260567, 316645, 816, -128, 8016
1589871260578, 316656, 864, -48, 7856
1589871260589, 316667, 896, -48, 7808
1589871260600, 316678, 944, -32, 7808
1589871260611, 316689, 752, -16, 7920
1589871260623, 316700, 816, -208, 8048
1589871260633, 316711, 880, -288, 8128
1589871260645, 316722, 1152, -432, 7968
1589871260656, 316733, 1408, -352, 7888
1589871260667, 316744, 1488, -256, 7616
1589871260678, 316755, 1440, -240, 7952
1589871260689, 316766, 1216, -528, 8800
1589871260700, 316777, 1120, -720, 9920
1589871260711, 316788, 1328, -736, 10704
1589871260722, 316799, 1584, -704, 11056
1589871260733, 316810, 1632, -592, 11168
1589871260744, 316821, 1776, -96, 10896
1589871260755, 316832, 1488, 640, 10608
1589871260766, 316843, 1472, 1872, 10464
1589871260777, 316854, 800, 2640, 10368
1589871260788, 316865, 544, 3440, 10240
1589871260798, 316876, 496, 4160, 9760
1589871260810, 316887, 224, 4352, 9632
1589871260820, 316898, 128, 4704, 9360
1589871260831, 316909, 32, 4992, 8672
1589871260843, 316920, -32, 5184, 8368
1589871260853, 316931, 32, 5184, 7824
1589871260865, 316942, -112, 4992, 7440
1589871260876, 316953, -160, 4816, 7072
1589871260887, 316964, -208, 4720, 6800
1589871260898, 316975, -208, 4560, 6416
1589871260909, 316986, -192, 4112, 5568
1589871260920, 316997, 64, 3616, 5008
1589871260930, 317008, 160, 3376, 4464
1589871260942, 317019, -48, 2896, 4368
1589871260952, 317030, 80, 2400, 4288
1589871260963, 317041, 224, 1968, 4080
1589871260975, 317052, 208, 1344, 3728
1589871260985, 317063, 176, 1072, 3600
1589871260998, 317074, 16, 1088, 3248
1589871261008, 317085, -144, 1216, 3120
1589871261019, 317096, -272, 1408, 2848
1589871261030, 317107, -80, 1248, 2352
1589871261041, 317118, 160, 1168, 1760
1589871261051, 317129, 256, 1072, 1392
1589871261062, 317140, 480, 736, 896
1589871261073, 317151, 544, 608, 448
1589871261084, 317162, 496, 496, 64
1589871261095, 317173, 704, 416, -32
1589871261106, 317184, 768, 32, 32
1589871261117, 317195, 528, -176, 400
1589871261128, 317206, 320, -224, 320
1589871261140, 317217, -768, -704, 240
1589871261151, 317228, -720, -1248, 384
1589871261162, 317239, -784, -1456, 736
1589871261173, 317250, -576, -1680, 976
1589871261184, 317261, -336, -2000, 1136
1589871261195, 317272, -656, -2736, 1184
1589871261206, 317283, -1600, -3136, 1392
1589871261217, 317294, -2528, -3936, 1936
1589871261228, 317305, -3472, -5088, 2944
1589871261239, 317316, -3760, -5440, 3904
1589871261250, 317327, -4096, -5568, 4592
1589871261261, 317338, -4304, -5664, 5232
1589871261272, 317349, -4304, -6224, 5424
1589871261283, 317360, -4816, -7424, 5728
