Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589871328636, 384713, -96, 2208, 7664
1589871328647, 384724, -96, 2160, 7824
1589871328658, 384735, -80, 2128, 7776
1589871328669, 384746, 0, 2144, 7824
1589871328680, 384757, 32, 2192, 7728
1589871328691, 384768, -80, 2160, 7680
1589871328702, 384779, -112, 2112, 7776
1589871328713, 384790, -112, 2048, 7712
1589871328724, 384801, -64, 2096, 7616
1589871328735, 384812, -96, 2016, 7584
1589871328746, 384823, -160, 1904, 7488
1589871328757, 384834, 0, 1888, 7440
1589871328768, 384845, -80, 1984, 7488
1589871328779, 384856, -112, 2080, 7776
1589871328790, 384867, -128, 2048, 7664
1589871328801, 384878, -128, 2032, 7568
1589871328812, 384889, -176, 1936, 7440
1589871328823, 384900, -224, 1888, 7360
1589871328834, 384911, -128, 1840, 7392
1589871328845, 384922, -144, 1712, 7504
1589871328856, 384933, -96, 1536, 7600
1589871328867, 384944, -32, 1296, 7488
1589871328878, 384955, 144, 896, 7664
1589871328889, 384966, 368, 432, 7872
1589871328900, 384977, 736, 96, 8448
1589871328911, 384988, 1360, 80, 9392
1589871328922, 384999, 1792, 464, 10976
1589871328933, 385010, 1824, 1200, 12576
1589871328944, 385021, 864, 2224, 14592
1589871328955, 385032, 112, 3424, 17168
1589871328966, 385043, 112, 4816, 18848
1589871328977, 385054, -1104, 6624, 20016
1589871328988, 385065, -2208, 8352, 19952
1589871328999, 385076, -2496, 9568, 18864
1589871329010, 385087, -2960, 9552, 17984
1589871329021, 385098, -2800, 9360, 16928
1589871329032, 385109, -3248, 9600, 14592
1589871329043, 385120, -3552, 9984, 12368
1589871329054, 385131, -3584, 9984, 10480
1589871329065, 385142, -3840, 9712, 8624
1589871329076, 385153, -4224, 9632, 7392
1589871329087, 385164, -4464, 9152, 6288
1589871329098, 385175, -4576, 8272, 4896
1589871329109, 385186, -4608, 6976, 4032
1589871329120, 385197, -4496, 6032, 2720
1589871329131, 385208, -4544, 5584, 1600
1589871329142, 385219, -4528, 5232, 176
1589871329153, 385230, -4592, 5168, -576
1589871329164, 385241, -4528, 4944, -1376
1589871329175, 385252, -4400, 4352, -2256
1589871329186, 385263, -4096, 3536, -2704
1589871329197, 385274, -3664, 2656, -3056
1589871329208, 385285, -3664, 1760, -3184
1589871329219, 385296, -3584, 1120, -3280
1589871329230, 385307, -3344, 224, -3152
1589871329241, 385318, -3152, -672, -2992
1589871329252, 385329, -3120, -2192, -2880
1589871329263, 385340, -2576, -3552, -2448
1589871329274, 385351, -2368, -4848, -1920
1589871329285, 385362, -2480, -5664, -1264
1589871329296, 385373, -2400, -6080, -1120
1589871329307, 385384, -2192, -6992, -1024
1589871329318, 385395, -1600, -9280, -640
1589871329329, 385406, -1296, -11584, -160
1589871329340, 385417, -928, -13824, 736
1589871329351, 385428, -592, -16320, 3104
1589871329362, 385439, -528, -17712, 5008
1589871329373, 385450, -112, -18464, 6352
1589871329384, 385461, -656, -19472, 7424
1589871329395, 385472, -704, -20800, 8160
1589871329406, 385483, -1104, -21424, 8832
1589871329417, 385494, -768, -21456, 9536
1589871329428, 385505, -688, -20112, 9744
1589871329439, 385516, -1024, -18336, 9376
1589871329450, 385527, -1472, -16576, 8656
1589871329461, 385538, -2112, -14304, 8016
1589871329472, 385549, -2688, -12336, 7664
1589871329483, 385560, -3184, -10496, 7216
1589871329494, 385571, -3456, -8608, 6768
1589871329506, 385582, -3472, -7184, 6352
1589871329516, 385593, -3904, -5840, 5664
1589871329527, 385604, -4064, -5088, 5216
1589871329538, 385615, -4064, -4096, 5264
1589871329549, 385626, -6448, -1872, 5520
1589871329560, 385637, -7216, 864, 5888
1589871329571, 385648, -7280, 3920, 6272
1589871329582, 385659, -7200, 6608, 5888
1589871329593, 385670, -7312, 9152, 5600
1589871329604, 385681, -7936, 11616, 5296
1589871329615, 385692, -8336, 13184, 5632
1589871329626, 385703, -8320, 14496, 6256
1589871329637, 385714, -8128, 15408, 7456
1589871329648, 385725, -8032, 15504, 7344
1589871329659, 385736, -6064, 14848, 7328
1589871329670, 385747, -5328, 13536, 7632
1589871329681, 385758, -5296, 11760, 9232
1589871329692, 385769, -6112, 10896, 11072
1589871329703, 385780, -6384, 10160, 12192
1589871329714, 385791, -6384, 9040, 12544
1589871329725, 385802, -5728, 7056, 12640
1589871329736, 385813, -4608, 4320, 14320
1589871329747, 385824, -3920, 1952, 17216
1589871329758, 385835, -3344, 1424, 19136
1589871329769, 385846, -2976, 1472, 20160
1589871329780, 385857, -3312, 1408, 20864
1589871329791, 385868, -3504, 1008, 21472
1589871329802, 385879, -4960, 768, 22736
1589871329813, 385890, -5776, -128, 24912
1589871329824, 385901, -5920, -3120, 27952
1589871329835, 385912, -5632, -6688, 28672
1589871329846, 385923, -5184, -10496, 27248
1589871329857, 385934, -4384, -14144, 23296
1589871329868, 385945, -3856, -16000, 19760
1589871329879, 385956, -3488, -17248, 16880
1589871329890, 385967, -3120, -18192, 14240
1589871329901, 385978, -3056, -18512, 12000
1589871329912, 385989, -2320, -18448, 9216
1589871329923, 386000, -1888, -17424, 5360
1589871329934, 386011, -1984, -14880, 2752
1589871329945, 386022, -2368, -12336, 832
1589871329956, 386033, -2624, -9760, -464
1589871329967, 386044, -2496, -6688, -848
1589871329978, 386055, -1952, -3936, -224
1589871329989, 386066, -2064, -1104, 992
1589871330000, 386077, -1984, 1232, 2912
1589871330011, 386088, -1488, 1616, 4064
1589871330022, 386099, -896, 1248, 4560
1589871330033, 386110, -176, 992, 4176
1589871330044, 386121, 48, 1184, 4288
1589871330055, 386132, 768, 1504, 4592
1589871330066, 386143, 528, 2304, 5248
1589871330077, 386154, 464, 2832, 6480
1589871330088, 386165, 16, 2912, 7328
1589871330099, 386176, 144, 2432, 8096
1589871330110, 386187, 448, 1792, 8784
1589871330121, 386198, 224, 1760, 8816
1589871330132, 386209, -80, 2496, 8576
1589871330143, 386220, -640, 3808, 8320
1589871330154, 386231, -720, 3456, 7552
1589871330165, 386242, -560, 4000, 8256
1589871330176, 386253, -624, 2608, 8432
