Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589871397693, 453771, 704, 512, 7888
1589871397704, 453782, 592, 528, 7824
1589871397715, 453793, 672, 624, 7664
1589871397726, 453804, 608, 688, 7552
1589871397737, 453815, 608, 672, 7712
1589871397748, 453826, 592, 560, 7904
1589871397759, 453837, 624, 544, 7936
1589871397770, 453848, 656, 528, 7984
1589871397781, 453859, 624, 576, 7936
1589871397792, 453870, 656, 672, 8048
1589871397803, 453881, 608, 560, 7856
1589871397814, 453892, 640, 560, 7856
1589871397825, 453903, 624, 576, 7920
1589871397836, 453914, 528, 624, 7904
1589871397847, 453925, 656, 560, 7696
1589871397858, 453936, 656, 704, 7632
1589871397869, 453947, 720, 768, 7952
1589871397880, 453958, 512, 704, 8096
1589871397891, 453969, 608, 720, 7968
1589871397902, 453980, 656, 672, 7632
1589871397913, 453991, 672, 512, 7728
1589871397924, 454002, 768, 528, 7824
1589871397936, 454013, 800, 576, 7856
1589871397946, 454024, 800, 640, 7824
1589871397957, 454035, 656, 832, 7840
1589871397968, 454046, 688, 784, 7920
1589871397979, 454057, 720, 672, 7856
1589871397990, 454068, 784, 608, 7872
1589871398001, 454079, 768, 560, 7968
1589871398012, 454090, 672, 560, 8112
1589871398023, 454101, 672, 688, 8144
1589871398034, 454112, 656, 720, 8224
1589871398045, 454123, 688, 688, 8272
1589871398056, 454134, 656, 608, 8176
1589871398067, 454145, 672, 448, 8192
1589871398078, 454156, 720, 144, 8224
1589871398089, 454167, 864, -416, 8128
1589871398100, 454178, 864, -1040, 7984
1589871398111, 454189, 880, -1712, 7728
1589871398122, 454200, 816, -2896, 7312
1589871398133, 454211, 1584, -4336, 7216
1589871398144, 454222, 2416, -6192, 7056
1589871398155, 454233, 3008, -8000, 6720
1589871398166, 454244, 3088, -8224, 6144
1589871398177, 454255, 2992, -7792, 5344
1589871398188, 454266, 2992, -6048, 4512
1589871398199, 454277, 2384, -3120, 4288
1589871398210, 454288, 768, 3328, 5152
1589871398222, 454299, -1952, 13024, 8688
1589871398233, 454310, -2800, 23680, 12672
1589871398244, 454321, -9600, 26816, 15936
1589871398256, 454332, -10048, 25360, 17984
1589871398266, 454343, -9776, 19344, 18736
1589871398277, 454354, -6432, 12896, 17344
1589871398287, 454365, -4208, 4752, 14160
1589871398298, 454376, -368, -6224, 9152
1589871398310, 454387, 1504, -13872, 5184
1589871398320, 454398, 2576, -19360, 1456
1589871398332, 454409, 4256, -21584, -1392
1589871398343, 454420, 5280, -21232, -2928
1589871398354, 454431, 5424, -18304, -3168
1589871398365, 454442, 4912, -12816, -1600
1589871398375, 454453, 4896, -3072, 1024
1589871398386, 454464, 1040, 5936, 6864
1589871398398, 454475, -3856, 13008, 15216
1589871398409, 454486, -4912, 20752, 24240
1589871398420, 454497, -11872, 21920, 26224
1589871398431, 454508, -9232, 16032, 21056
1589871398442, 454519, -2816, 2960, 10912
1589871398452, 454530, 2848, -9472, 3168
1589871398464, 454541, 6304, -22384, -3328
1589871398475, 454552, 8816, -31952, -7296
1589871398486, 454563, 8624, -32592, -8272
1589871398497, 454574, 7632, -26144, -8048
1589871398508, 454585, 4144, -12480, -1328
1589871398518, 454596, 3104, 7328, 8256
1589871398530, 454607, -8240, 18784, 17920
1589871398541, 454618, -12032, 26992, 24816
1589871398552, 454629, -12768, 31824, 28304
1589871398563, 454640, -13616, 28528, 26000
1589871398574, 454651, -10160, 19904, 20432
1589871398584, 454662, -4272, 5024, 14176
1589871398595, 454673, 1984, -8448, 6672
1589871398607, 454684, 6976, -20272, -1072
1589871398618, 454695, 10016, -27504, -7648
1589871398629, 454706, 10384, -25392, -9632
1589871398640, 454717, 7776, -16416, -6224
1589871398650, 454728, 3008, -2704, 2576
1589871398662, 454739, 1632, 14928, 10448
1589871398673, 454750, -10176, 24768, 17168
1589871398684, 454761, -14112, 27632, 22480
1589871398695, 454772, -14368, 16976, 22864
1589871398706, 454783, -6720, 1936, 18576
1589871398716, 454794, 304, -14800, 10608
1589871398727, 454805, 7984, -29584, 272
1589871398739, 454816, 11264, -32048, -6864
1589871398750, 454827, 11168, -28896, -12176
1589871398761, 454838, 7808, -12496, -10144
1589871398771, 454849, 6432, 6528, -480
1589871398783, 454860, -8336, 20544, 11024
1589871398794, 454871, -12448, 25728, 22832
1589871398805, 454882, -13280, 26368, 27456
1589871398816, 454893, -11696, 19984, 26096
1589871398826, 454904, -5504, 4672, 19632
1589871398838, 454915, -3616, -16016, 7040
1589871398849, 454926, 8848, -23600, -2848
1589871398860, 454937, 10768, -25904, -8544
1589871398871, 454948, 9296, -21552, -8432
1589871398881, 454959, 3760, -8832, -1856
1589871398892, 454970, -2720, 6400, 6064
1589871398904, 454981, -7472, 19360, 14464
1589871398915, 454992, -8176, 21008, 19408
1589871398926, 455003, -7856, 14208, 22240
1589871398936, 455014, -4048, 496, 19648
1589871398948, 455025, -2672, -16416, 12688
1589871398959, 455036, 7792, -22848, 5648
1589871398970, 455047, 9264, -24048, -2272
1589871398981, 455058, 9472, -20464, -8016
1589871398991, 455069, 3968, -5904, -4592
1589871399002, 455080, -5456, 15296, 4736
1589871399014, 455091, -13888, 29744, 15616
1589871399025, 455102, -16368, 31232, 21472
1589871399036, 455113, -14640, 24560, 23760
1589871399047, 455124, -9040, 6688, 19728
1589871399058, 455135, -7312, -8992, 11808
1589871399068, 455146, 7344, -21440, 1472
1589871399080, 455157, 11408, -27840, -5248
1589871399091, 455168, 11696, -29472, -6464
1589871399102, 455179, 6688, -21760, -3424
1589871399112, 455190, -160, -1984, 2128
1589871399123, 455201, -2112, 22720, 8496
1589871399135, 455212, -9312, 29472, 11472
1589871399146, 455223, -8592, 24592, 15872
1589871399156, 455234, -6608, 9520, 21984
1589871399168, 455245, -2640, -3344, 21792
1589871399179, 455256, 2368, -13520, 15632
1589871399189, 455267, 5456, -18800, 4384
1589871399201, 455278, 5744, -16656, -3376
1589871399212, 455289, 3984, -7616, -6320
1589871399222, 455300, -928, 5536, -3600
1589871399233, 455311, -2208, 13376, 5456
1589871399245, 455322, -8224, 11296, 12912
1589871399255, 455333, -5616, 4352, 16272
1589871399266, 455344, 960, -3888, 10832
1589871399277, 455355, 4752, -7328, 4336
1589871399288, 455366, 5792, -6800, 3008
1589871399299, 455377, 3200, -4176, 7200
1589871399310, 455388, 192, -1168, 10720
1589871399321, 455399, -1168, 864, 11728
1589871399332, 455410, -1248, 1920, 10080
1589871399343, 455421, -1360, 2656, 8320
1589871399354, 455432, -896, 3296, 7664
1589871399365, 455443, -768, 3168, 7808
