Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589871111695, 167771, -7552, 288, 2384
1589871111706, 167782, -7632, 448, 2416
1589871111717, 167793, -7664, 592, 2256
1589871111728, 167804, -7712, 544, 2176
1589871111739, 167815, -7600, 416, 2272
1589871111750, 167826, -7584, 272, 2304
1589871111761, 167837, -7568, 256, 2400
1589871111772, 167848, -7536, 304, 2096
1589871111783, 167859, -7568, 384, 2016
1589871111794, 167870, -7680, 384, 1984
1589871111805, 167881, -7664, 480, 2016
1589871111816, 167892, -7616, 448, 2240
1589871111827, 167903, -7696, 464, 2320
1589871111838, 167914, -7696, 448, 2320
1589871111849, 167925, -7696, 416, 2112
1589871111860, 167936, -7680, 448, 2048
1589871111871, 167947, -7696, 432, 1936
1589871111882, 167958, -7696, 400, 1936
1589871111893, 167969, -7696, 272, 2144
1589871111904, 167980, -7680, 352, 2224
1589871111915, 167991, -7680, 400, 2240
1589871111926, 168002, -7648, 448, 2048
1589871111937, 168013, -7632, 400, 1984
1589871111948, 168024, -7744, 384, 2112
1589871111959, 168035, -7696, 288, 2224
1589871111970, 168046, -7856, 336, 2240
1589871111981, 168057, -7872, 416, 2160
1589871111992, 168068, -7840, 464, 1936
1589871112003, 168079, -7728, 384, 1760
1589871112014, 168090, -7632, 288, 1760
1589871112025, 168101, -7648, 416, 1744
1589871112036, 168112, -7696, 496, 1728
1589871112047, 168123, -7728, 544, 1728
1589871112058, 168134, -7632, 560, 1824
1589871112069, 168145, -7632, 400, 1872
1589871112080, 168156, -7600, 256, 2000
1589871112091, 168167, -7568, 112, 1872
1589871112102, 168178, -7600, 80, 1744
1589871112113, 168189, -7536, 144, 1680
1589871112124, 168200, -7552, 272, 1712
1589871112135, 168211, -7424, 432, 1696
1589871112146, 168222, -7504, 512, 1840
1589871112157, 168233, -7568, 528, 1856
1589871112168, 168244, -7632, 528, 1936
1589871112179, 168255, -7600, 144, 2000
1589871112190, 168266, -7568, -64, 2000
1589871112201, 168277, -7504, -208, 1968
1589871112212, 168288, -7552, -64, 2064
1589871112223, 168299, -7696, 208, 2064
1589871112234, 168310, -7744, 384, 2096
1589871112245, 168321, -7648, 496, 2224
1589871112256, 168332, -7568, 320, 2320
1589871112267, 168343, -7344, 192, 2384
1589871112278, 168354, -7088, 224, 2384
1589871112289, 168365, -6720, 448, 2608
1589871112300, 168376, -6672, 672, 2960
1589871112311, 168387, -6720, 560, 3344
1589871112322, 168398, -6736, 240, 3936
1589871112333, 168409, -6144, 32, 4448
1589871112344, 168420, -5920, 192, 4944
1589871112355, 168431, -5952, 1104, 4944
1589871112366, 168442, -5472, 1616, 5088
1589871112377, 168453, -5520, 1600, 5120
1589871112388, 168464, -5552, 1584, 4976
1589871112399, 168475, -4368, 1600, 5104
1589871112410, 168486, -4176, 1600, 5632
1589871112421, 168497, -4048, 1520, 7024
1589871112432, 168508, -4352, 1568, 8240
1589871112443, 168519, -4768, 1968, 9520
1589871112454, 168530, -5504, 3024, 10928
1589871112465, 168541, -5696, 3904, 11952
1589871112476, 168552, -6256, 4000, 13456
1589871112487, 168563, -6800, 3648, 15664
1589871112498, 168574, -6880, 3520, 17488
1589871112509, 168585, -7408, 3584, 19792
1589871112520, 168596, -8304, 3456, 22288
1589871112531, 168607, -8624, 2800, 25344
1589871112542, 168618, -14208, 2016, 25840
1589871112553, 168629, -18192, 1440, 24032
1589871112564, 168640, -22160, 1376, 18560
1589871112575, 168651, -24544, 1424, 12672
1589871112586, 168662, -26160, 496, 6480
1589871112597, 168673, -26176, -1072, -208
1589871112608, 168684, -25888, -2928, -4384
1589871112619, 168695, -21792, -4704, -7104
1589871112630, 168706, -18912, -5696, -8512
1589871112641, 168717, -18176, -5152, -8240
1589871112652, 168728, -14640, -6112, -7616
1589871112663, 168739, -13328, -6352, -6576
1589871112674, 168750, -12384, -5712, -4896
1589871112685, 168761, -12768, -4592, -3664
1589871112696, 168772, -12672, -3024, -2192
1589871112707, 168783, -12544, -1952, -976
1589871112718, 168794, -11792, -1136, -640
1589871112729, 168805, -10320, -704, -1120
1589871112740, 168816, -9120, -496, -1888
1589871112751, 168827, -8864, -656, -2096
1589871112762, 168838, -7504, -1024, -1680
1589871112773, 168849, -6816, -1584, -464
1589871112784, 168860, -6640, -2032, 1584
1589871112795, 168871, -6064, -1568, 3296
1589871112806, 168882, -6032, -704, 4416
1589871112817, 168893, -7952, 240, 5024
1589871112828, 168904, -5744, 1392, 4608
1589871112839, 168915, -5600, 1184, 4560
1589871112850, 168926, -5520, 736, 4816
1589871112861, 168937, -4736, -448, 4272
1589871112872, 168948, -4288, 304, 6512
1589871112883, 168959, -4752, -32, 7376
1589871112894, 168970, -4864, 544, 7120
1589871112905, 168981, -4752, 832, 6448
1589871112916, 168992, -4864, 160, 6736
1589871112927, 169003, -5008, -400, 6208
1589871112938, 169014, -4016, -928, 5760
1589871112949, 169025, -3936, -544, 6432
1589871112960, 169036, -4000, -96, 6192
1589871112971, 169047, -4176, 400, 5968
1589871112982, 169058, -4240, 720, 5824
1589871112993, 169069, -4176, 688, 5920
1589871113004, 169080, -4160, 368, 6384
1589871113015, 169091, -3936, -64, 7264
1589871113026, 169102, -3824, -512, 8064
1589871113037, 169113, -3680, -528, 8240
1589871113048, 169124, -4016, -352, 8032
1589871113059, 169135, -4032, 32, 7392
1589871113070, 169146, -4064, 320, 6272
1589871113081, 169157, -3968, 336, 5968
1589871113092, 169168, -3824, 304, 6016
1589871113103, 169179, -3744, 624, 6560
1589871113114, 169190, -3840, 656, 7024
1589871113125, 169201, -3936, 672, 7456
1589871113136, 169212, -3920, 544, 7920
1589871113147, 169223, -3920, 336, 7792
1589871113158, 169234, -3888, 176, 7472
1589871113169, 169245, -3904, 256, 7104
1589871113180, 169256, -3920, 368, 7264
1589871113191, 169267, -4096, 496, 7280
1589871113202, 169278, -3984, 608, 7248
1589871113213, 169289, -3888, 752, 6832
1589871113224, 169300, -3936, 784, 6352
1589871113235, 169311, -3968, 688, 6064
1589871113246, 169322, -4048, 464, 6176
1589871113257, 169333, -4000, 464, 6576
1589871113268, 169344, -3952, 720, 6816
1589871113279, 169355, -3776, 1120, 7040
1589871113290, 169366, -3760, 1072, 7008
1589871113301, 169377, -3856, 720, 7168
1589871113312, 169388, -3872, 176, 7440
1589871113323, 169399, -3952, -272, 7680
1589871113334, 169410, -3744, -160, 7664
1589871113345, 169421, -3712, 336, 7280
1589871113356, 169432, -3968, 1088, 6592
1589871113367, 169443, -4016, 1328, 5776
1589871113378, 169454, -4000, 1424, 5472
1589871113389, 169465, -3984, 1120, 5680
1589871113400, 169476, -3824, 864, 6016
1589871113411, 169487, -3680, 528, 6368
1589871113422, 169498, -3536, 272, 6656
1589871113433, 169509, -3488, 128, 6864
1589871113444, 169520, -3648, 288, 6944
1589871113455, 169531, -3648, 528, 6848
1589871113466, 169542, -3696, 608, 6688
1589871113477, 169553, -3840, 416, 6640
1589871113488, 169564, -3728, 192, 6752
1589871113499, 169575, -3488, 272, 6896
1589871113510, 169586, -3648, 592, 6912
1589871113521, 169597, -3824, 848, 6880
1589871113532, 169608, -3888, 944, 6832
1589871113543, 169619, -3840, 880, 6880
1589871113554, 169630, -3856, 576, 7040
1589871113565, 169641, -3760, 384, 7392
1589871113576, 169652, -3648, 176, 7504
1589871113587, 169663, -3472, 240, 7440
1589871113598, 169674, -3520, 400, 7024
1589871113609, 169685, -3568, 848, 6656
1589871113620, 169696, -3744, 1104, 6816
1589871113631, 169707, -3856, 1152, 6992
1589871113642, 169718, -3776, 784, 7456
1589871113653, 169729, -3840, 528, 7680
1589871113664, 169740, -3696, 448, 7600
1589871113675, 169751, -3680, 656, 7200
1589871113686, 169762, -3792, 896, 7088
1589871113697, 169773, -3968, 960, 6944
1589871113708, 169784, -3952, 752, 7104
1589871113719, 169795, -3936, 368, 7408
1589871113730, 169806, -3584, 208, 7392
1589871113741, 169817, -3632, 480, 7248
1589871113752, 169828, -3936, 976, 6912
1589871113763, 169839, -4080, 1264, 6576
1589871113774, 169850, -4096, 1184, 6672
1589871113785, 169861, -4000, 752, 7136
1589871113796, 169872, -3888, 464, 7344
1589871113807, 169883, -3888, 288, 7536
1589871113818, 169894, -3824, 112, 7632
1589871113829, 169905, -3952, -48, 7504
1589871113840, 169916, -3920, -80, 7120
1589871113851, 169927, -3952, 32, 6752
1589871113862, 169938, -3952, 208, 6832
1589871113873, 169949, -4512, 672, 6912
1589871113884, 169960, -4384, 864, 6752
